"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45073","0","10","70","0","2008","A","","Oconee County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1563,22418,847603681,141413840,2811701,727,37809,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,0.8,192,0.9,45377786,5.7,-3292734,-2.3,-151321,-5.1,33,4.8,1716,4.8
"45073","1","10","71","0","2008","A","","Oconee County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,150,6832542,0,0,878,45677,"",1.99,0.33,0.27,0.00,0.00,0.83,0.83,"",0,0.0,-3,-2.0,15876,0.2,0,0.0,0,0.0,19,2.2,1002,2.2
"45073","1","102","72","0","2008","A","","Oconee County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,150,6832542,0,0,878,45677,"",1.99,0.33,0.28,0.00,0.00,0.83,0.83,"",0,0.0,-3,-2.0,15876,0.2,0,0.0,0,0.0,19,2.2,1002,2.2
"45073","1","1021","73","0","2008","A","","Oconee County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,121,5335334,0,0,850,44185,"",2.03,0.88,0.89,0.00,0.00,1.02,1.02,"",0,0.0,-1,-0.8,-50231,-0.9,0,0.0,0,0.0,3,0.4,131,0.3
"45073","1","1023","73","0","2008","A","","Oconee County, South Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",5.43,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"45073","1","1028","73","0","2008","A","","Oconee County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,29,1497208,0,0,999,51926,"",2.09,0.12,0.10,0.00,0.00,0.83,0.83,"",0,0.0,-1,-3.3,66107,4.6,0,0.0,0,0.0,92,10.1,4747,10.1
"45073","1","48-49","74","0","2008","A","","Oconee County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,121,5335334,0,0,850,44185,"",2.08,0.95,0.95,0.00,0.00,0.99,0.99,"",0,0.0,-1,-0.8,-50231,-0.9,0,0.0,0,0.0,3,0.4,131,0.3
"45073","1","491","75","0","2008","A","","Oconee County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,121,5335334,0,0,850,44185,"",2.10,0.97,0.98,0.00,0.00,1.01,1.01,"",0,0.0,-1,-0.8,-50231,-0.9,0,0.0,0,0.0,3,0.4,131,0.3
"45073","1","4911","76","0","2008","A","","Oconee County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,121,5335334,0,0,850,44185,"",2.10,0.97,0.98,0.00,0.00,1.01,1.01,"",0,0.0,-1,-0.8,-50231,-0.9,0,0.0,0,0.0,3,0.4,131,0.3
"45073","1","49111","77","0","2008","A","","Oconee County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,121,5335334,0,0,850,44185,"",2.10,0.97,0.98,0.00,0.00,1.01,1.01,"",0,0.0,-1,-0.8,-50231,-0.9,0,0.0,0,0.0,3,0.4,131,0.3
