"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47149","0","10","70","0","2008","A","","Rutherford County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4323,98672,4064602094,698886290,14032920,792,41193,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",116,2.8,-77,-0.1,127199923,3.2,-20317036,-2.8,1293179,10.2,25,3.3,1320,3.3
"47149","1","10","71","0","2008","A","","Rutherford County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,576,29978843,0,0,1001,52054,"",0.75,0.28,0.25,0.00,0.00,0.87,0.87,"",0,0.0,18,3.2,-14610,0.0,0,0.0,0,0.0,-34,-3.3,-1746,-3.2
"47149","1","102","72","0","2008","A","","Rutherford County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,576,29978843,0,0,1001,52054,"",0.75,0.29,0.25,0.00,0.00,0.87,0.87,"",0,0.0,18,3.2,-14610,0.0,0,0.0,0,0.0,-34,-3.3,-1746,-3.2
"47149","1","1021","73","0","2008","A","","Rutherford County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,328,17257262,0,0,1013,52681,"",0.80,0.54,0.60,0.00,0.00,1.11,1.11,"",0,0.0,3,0.9,-457405,-2.6,0,0.0,0,0.0,-35,-3.3,-1826,-3.4
"47149","1","1023","73","0","2008","A","","Rutherford County, Tennessee","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,88907,0,0,2280,118543,"",1.96,0.10,0.12,0.00,0.00,1.58,1.58,"",0,0.0,0,0.0,-8744,-9.0,0,0.0,0,0.0,402,21.4,20892,21.4
"47149","1","1026","73","0","2008","A","","Rutherford County, Tennessee","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,24,876109,0,0,709,36889,"",1.72,0.59,0.65,0.00,0.00,1.11,1.11,"",0,0.0,9,60.0,207197,31.0,0,0.0,0,0.0,-163,-18.7,-8461,-18.7
"47149","1","1028","73","0","2008","A","","Rutherford County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,224,11756565,0,0,1010,52524,"",0.68,0.21,0.16,0.00,0.00,0.77,0.77,"",0,0.0,7,3.2,244342,2.1,0,0.0,0,0.0,-11,-1.1,-589,-1.1
"47149","1","22","74","0","2008","A","","Rutherford County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,28,2172494,0,0,1506,78288,"",14.29,3.00,3.04,0.00,0.00,1.02,1.02,"",0,0.0,-2,-6.7,-144020,-6.2,0,0.0,0,0.0,-4,-0.3,-238,-0.3
"47149","1","221","75","0","2008","A","","Rutherford County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,28,2172494,0,0,1506,78288,"",14.29,3.00,3.04,0.00,0.00,1.02,1.02,"",0,0.0,-2,-6.7,-144020,-6.2,0,0.0,0,0.0,-4,-0.3,-238,-0.3
"47149","1","2211","76","0","2008","A","","Rutherford County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,28,2172494,0,0,1506,78288,"",15.22,3.18,3.18,0.00,0.00,1.01,1.01,"",0,0.0,-2,-6.7,-144020,-6.2,0,0.0,0,0.0,-4,-0.3,-238,-0.3
