"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48039","0","10","70","0","2008","A","","Brazoria County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4667,87018,3806200038,781446752,10001521,841,43741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-0.4,1003,1.2,149494867,4.1,4206355,0.5,-7568007,-43.1,23,2.8,1228,2.9
"48039","1","10","71","0","2008","A","","Brazoria County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,501,26616866,0,0,1021,53083,"",1.00,0.28,0.23,0.00,0.00,0.83,0.83,"",0,0.0,4,0.8,533414,2.0,0,0.0,0,0.0,12,1.2,601,1.1
"48039","1","102","72","0","2008","A","","Brazoria County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,501,26616866,0,0,1021,53083,"",1.00,0.29,0.24,0.00,0.00,0.84,0.84,"",0,0.0,4,0.8,533414,2.0,0,0.0,0,0.0,12,1.2,601,1.1
"48039","1","1021","73","0","2008","A","","Brazoria County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,393,20017895,0,0,979,50904,"",1.05,0.74,0.75,0.00,0.00,1.01,1.01,"",0,0.0,4,1.0,480383,2.5,0,0.0,0,0.0,14,1.5,701,1.4
"48039","1","1023","73","0","2008","A","","Brazoria County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,264149,0,0,1270,66037,"",1.82,0.47,0.39,0.00,0.00,0.83,0.83,"",0,0.0,-1,-20.0,6604,2.6,0,0.0,0,0.0,227,21.8,11817,21.8
"48039","1","1024","73","0","2008","A","","Brazoria County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,11,745810,0,0,1284,66789,"",2.47,0.26,0.24,0.00,0.00,0.91,0.91,"",0,0.0,-1,-8.3,-141635,-16.0,0,0.0,0,0.0,-109,-7.8,-5655,-7.8
"48039","1","1028","73","0","2008","A","","Brazoria County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,93,5589012,0,0,1156,60097,"",0.91,0.10,0.08,0.00,0.00,0.83,0.83,"",0,0.0,2,2.2,188062,3.5,0,0.0,0,0.0,13,1.1,637,1.1
"48039","1","48-49","74","0","2008","A","","Brazoria County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,393,20017895,0,0,979,50904,"",1.08,0.80,0.79,0.00,0.00,0.99,0.99,"",0,0.0,4,1.0,480383,2.5,0,0.0,0,0.0,14,1.5,701,1.4
"48039","1","491","75","0","2008","A","","Brazoria County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,393,20017895,0,0,979,50904,"",1.08,0.81,0.82,0.00,0.00,1.00,1.00,"",0,0.0,4,1.0,480383,2.5,0,0.0,0,0.0,14,1.5,701,1.4
"48039","1","4911","76","0","2008","A","","Brazoria County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,393,20017895,0,0,979,50904,"",1.08,0.81,0.82,0.00,0.00,1.00,1.00,"",0,0.0,4,1.0,480383,2.5,0,0.0,0,0.0,14,1.5,701,1.4
