"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48117","0","10","70","0","2008","A","","Deaf Smith County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",511,7214,224048236,64301556,490308,597,31057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-3.0,91,1.3,3612083,1.6,261192,0.4,-388382,-44.2,2,0.3,110,0.4
"48117","1","10","71","0","2008","A","","Deaf Smith County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,46,2203637,0,0,926,48167,"",1.38,0.31,0.33,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,137037,6.6,0,0.0,0,0.0,60,6.9,3159,7.0
"48117","1","102","72","0","2008","A","","Deaf Smith County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,46,2203637,0,0,926,48167,"",1.38,0.32,0.34,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,137037,6.6,0,0.0,0,0.0,60,6.9,3159,7.0
"48117","1","1021","73","0","2008","A","","Deaf Smith County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.56,0.54,0.76,0.00,0.00,1.38,1.38,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","1028","73","0","2008","A","","Deaf Smith County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,1001388,0,0,903,46940,"",2.56,0.27,0.25,0.00,0.00,0.91,0.91,"",0,0.0,1,5.0,99897,11.1,0,0.0,0,0.0,36,4.2,1865,4.1
"48117","1","48-49","74","0","2008","A","","Deaf Smith County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.58,0.59,0.81,0.00,0.00,1.35,1.35,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","491","75","0","2008","A","","Deaf Smith County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.58,0.60,0.83,0.00,0.00,1.37,1.37,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","4911","76","0","2008","A","","Deaf Smith County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.58,0.60,0.83,0.00,0.00,1.37,1.37,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","49111","77","0","2008","A","","Deaf Smith County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.58,0.60,0.83,0.00,0.00,1.37,1.37,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","491110","78","0","2008","A","","Deaf Smith County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,1202249,0,0,947,49239,"",0.58,0.60,0.83,0.00,0.00,1.37,1.37,"",0,0.0,-2,-7.7,37140,3.2,0,0.0,0,0.0,82,9.5,4283,9.5
"48117","1","92","74","0","2008","A","","Deaf Smith County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,1001388,0,0,903,46940,"",2.56,0.27,0.25,0.00,0.00,0.91,0.91,"",0,0.0,1,5.0,99897,11.1,0,0.0,0,0.0,36,4.2,1865,4.1
"48117","1","924","75","0","2008","A","","Deaf Smith County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,530212,0,0,760,39519,"",5.38,2.25,2.04,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,23772,4.7,0,0.0,0,0.0,-19,-2.4,-996,-2.5
"48117","1","9241","76","0","2008","A","","Deaf Smith County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,530212,0,0,760,39519,"",5.38,2.25,2.04,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,23772,4.7,0,0.0,0,0.0,-19,-2.4,-996,-2.5
"48117","1","92412","77","0","2008","A","","Deaf Smith County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,530212,0,0,760,39519,"",5.54,2.69,2.56,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,23772,4.7,0,0.0,0,0.0,-19,-2.4,-996,-2.5
"48117","1","924120","78","0","2008","A","","Deaf Smith County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,530212,0,0,760,39519,"",5.54,2.69,2.56,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,23772,4.7,0,0.0,0,0.0,-19,-2.4,-996,-2.5
"48117","1","926","75","0","2008","A","","Deaf Smith County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,471176,0,0,1145,59517,"",3.75,0.64,0.72,0.00,0.00,1.14,1.13,"",0,0.0,0,0.0,76125,19.3,0,0.0,0,0.0,132,13.0,6844,13.0
