"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48299","0","10","70","0","2008","A","","Llano County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",511,4576,137494619,34955292,404846,578,30045,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,180,4.1,809407,0.6,1988424,6.0,-37563,-8.5,-20,-3.3,-1047,-3.4
"48299","1","10","71","0","2008","A","","Llano County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,33,1329006,0,0,778,40477,"",2.76,0.35,0.32,0.00,0.00,0.92,0.93,"",0,0.0,-2,-5.7,-165972,-11.1,0,0.0,0,0.0,-34,-4.2,-1734,-4.1
"48299","1","102","72","0","2008","A","","Llano County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,33,1329006,0,0,778,40477,"",2.77,0.36,0.33,0.00,0.00,0.93,0.93,"",0,0.0,-2,-5.7,-165972,-11.1,0,0.0,0,0.0,-34,-4.2,-1734,-4.1
"48299","1","1021","73","0","2008","A","","Llano County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",3.95,1.07,1.26,0.00,0.00,1.16,1.16,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
"48299","1","1028","73","0","2008","A","","Llano County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,2,109285,0,0,870,45221,"",1.92,0.04,0.04,0.00,0.00,0.91,0.91,"",0,0.0,-1,-33.3,-90885,-45.4,0,0.0,0,0.0,-346,-28.5,-17991,-28.5
"48299","1","48-49","74","0","2008","A","","Llano County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",4.05,1.16,1.33,0.00,0.00,1.13,1.13,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
"48299","1","491","75","0","2008","A","","Llano County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",4.08,1.18,1.38,0.00,0.00,1.15,1.15,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
"48299","1","4911","76","0","2008","A","","Llano County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",4.08,1.18,1.38,0.00,0.00,1.15,1.15,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
"48299","1","49111","77","0","2008","A","","Llano County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",4.08,1.18,1.38,0.00,0.00,1.15,1.15,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
"48299","1","491110","78","0","2008","A","","Llano County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,30,1219721,0,0,771,40100,"",4.08,1.18,1.38,0.00,0.00,1.15,1.15,"",0,0.0,-2,-6.2,-75087,-5.8,0,0.0,0,0.0,-1,-0.1,-49,-0.1
