"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48317","0","10","70","0","2008","A","","Martin County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",160,1310,46523983,10256775,121312,683,35519,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.4,45,3.6,5112554,12.3,459316,4.7,-60068,-33.1,53,8.4,2774,8.5
"48317","1","10","71","0","2008","A","","Martin County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,18,693974,0,0,725,37682,"",5.29,0.67,0.50,0.00,0.00,0.73,0.73,"",0,0.0,-1,-5.3,-49489,-6.7,0,0.0,0,0.0,-34,-4.5,-1794,-4.5
"48317","1","102","72","0","2008","A","","Martin County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,18,693974,0,0,725,37682,"",5.30,0.68,0.51,0.00,0.00,0.73,0.73,"",0,0.0,-1,-5.3,-49489,-6.7,0,0.0,0,0.0,-34,-4.5,-1794,-4.5
"48317","1","1021","73","0","2008","A","","Martin County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.41,0.75,0.67,0.00,0.00,0.86,0.86,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","1028","73","0","2008","A","","Martin County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,474055,0,0,749,38963,"",6.13,0.86,0.57,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,-18116,-3.7,0,0.0,0,0.0,-18,-2.3,-943,-2.4
"48317","1","48-49","74","0","2008","A","","Martin County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.54,0.81,0.71,0.00,0.00,0.84,0.84,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","491","75","0","2008","A","","Martin County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.58,0.83,0.74,0.00,0.00,0.85,0.85,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","4911","76","0","2008","A","","Martin County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.58,0.83,0.74,0.00,0.00,0.85,0.85,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","49111","77","0","2008","A","","Martin County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.58,0.83,0.74,0.00,0.00,0.85,0.85,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","491110","78","0","2008","A","","Martin County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,219919,0,0,677,35187,"",5.58,0.83,0.74,0.00,0.00,0.85,0.85,"",0,0.0,-1,-14.3,-31373,-12.5,0,0.0,0,0.0,-66,-8.9,-3473,-9.0
"48317","1","92","74","0","2008","A","","Martin County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,474055,0,0,749,38963,"",6.13,0.86,0.57,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,-18116,-3.7,0,0.0,0,0.0,-18,-2.3,-943,-2.4
"48317","1","924","75","0","2008","A","","Martin County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,320345,0,0,643,33427,"",17.17,9.54,5.94,0.00,0.00,0.65,0.65,"",0,0.0,1,11.1,-22785,-6.6,0,0.0,0,0.0,-58,-8.3,-3012,-8.3
"48317","1","9241","76","0","2008","A","","Martin County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,320345,0,0,643,33427,"",17.17,9.54,5.94,0.00,0.00,0.65,0.65,"",0,0.0,1,11.1,-22785,-6.6,0,0.0,0,0.0,-58,-8.3,-3012,-8.3
"48317","1","92412","77","0","2008","A","","Martin County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,320345,0,0,643,33427,"",17.71,11.38,7.46,0.00,0.00,0.68,0.68,"",0,0.0,1,11.1,-22785,-6.6,0,0.0,0,0.0,-58,-8.3,-3012,-8.3
"48317","1","924120","78","0","2008","A","","Martin County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,320345,0,0,643,33427,"",17.71,11.38,7.46,0.00,0.00,0.68,0.68,"",0,0.0,1,11.1,-22785,-6.6,0,0.0,0,0.0,-58,-8.3,-3012,-8.3
"48317","1","926","75","0","2008","A","","Martin County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,153710,0,0,1144,59501,"",5.99,1.32,1.12,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,4669,3.1,0,0.0,0,0.0,161,16.4,8401,16.4
