"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48359","0","10","70","0","2008","A","","Oldham County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",83,724,20232304,5223879,50203,538,27964,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-5.7,-25,-3.3,418311,2.1,-143639,-2.7,-39055,-43.8,29,5.7,1516,5.7
"48359","1","10","71","0","2008","A","","Oldham County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,10,295527,0,0,573,29801,"",8.50,0.67,0.49,0.00,0.00,0.73,0.73,"",0,0.0,1,11.1,-718,-0.2,0,0.0,0,0.0,-32,-5.3,-1659,-5.3
"48359","1","102","72","0","2008","A","","Oldham County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,10,295527,0,0,573,29801,"",8.52,0.68,0.50,0.00,0.00,0.73,0.73,"",0,0.0,1,11.1,-718,-0.2,0,0.0,0,0.0,-32,-5.3,-1659,-5.3
"48359","1","1021","73","0","2008","A","","Oldham County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.43,1.35,1.36,0.00,0.00,1.03,1.04,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","1028","73","0","2008","A","","Oldham County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",7.87,0.52,0.28,0.00,0.00,0.54,0.54,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","1","48-49","74","0","2008","A","","Oldham County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.68,1.47,1.44,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","491","75","0","2008","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.76,1.49,1.49,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","4911","76","0","2008","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.76,1.49,1.49,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","49111","77","0","2008","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.76,1.49,1.49,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","491110","78","0","2008","A","","Oldham County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,194096,0,0,640,33274,"",10.76,1.49,1.49,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,11306,6.2,0,0.0,0,0.0,54,9.2,2809,9.2
"48359","1","92","74","0","2008","A","","Oldham County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",7.87,0.52,0.28,0.00,0.00,0.54,0.54,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","1","924","75","0","2008","A","","Oldham County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",33.09,6.90,4.32,0.00,0.00,0.61,0.61,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","1","9241","76","0","2008","A","","Oldham County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",33.09,6.90,4.32,0.00,0.00,0.61,0.61,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","1","92412","77","0","2008","A","","Oldham County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",34.14,8.23,5.43,0.00,0.00,0.65,0.65,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","1","924120","78","0","2008","A","","Oldham County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,101431,0,0,478,24840,"",34.14,8.23,5.43,0.00,0.00,0.65,0.65,"",0,0.0,1,33.3,-12024,-10.6,0,0.0,0,0.0,-161,-25.2,-8366,-25.2
"48359","2","10","71","0","2008","A","","Oldham County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,22,792053,0,0,703,36556,"",9.70,0.88,1.08,0.00,0.00,1.24,1.24,"",0,0.0,-1,-4.3,35238,4.7,0,0.0,0,0.0,75,11.9,3888,11.9
"48359","2","101","72","0","2008","A","N","Oldham County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","1012","73","0","2008","A","N","Oldham County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","102","72","0","2008","A","N","Oldham County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",8.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","1025","73","0","2008","A","N","Oldham County, Texas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.12,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","1028","73","0","2008","A","","Oldham County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,344844,0,0,780,40570,"",8.97,0.88,1.11,0.00,0.00,1.33,1.33,"",0,0.0,1,12.5,36515,11.8,0,0.0,0,0.0,61,8.5,3197,8.6
"48359","2","23","74","0","2008","A","N","Oldham County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","237","75","0","2008","A","N","Oldham County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","2373","76","0","2008","A","N","Oldham County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","23731","77","0","2008","A","N","Oldham County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","237310","78","0","2008","A","N","Oldham County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",61.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","62","74","0","2008","A","N","Oldham County, Texas","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",18.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","624","75","0","2008","A","N","Oldham County, Texas","State Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",40.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","6241","76","0","2008","A","N","Oldham County, Texas","State Government","Individual and family services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",53.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","62411","77","0","2008","A","N","Oldham County, Texas","State Government","Child and youth services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",141.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","624110","78","0","2008","A","N","Oldham County, Texas","State Government","Child and youth services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",141.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","92","74","0","2008","A","","Oldham County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,344844,0,0,780,40570,"",8.97,0.88,1.11,0.00,0.00,1.33,1.33,"",0,0.0,1,12.5,36515,11.8,0,0.0,0,0.0,61,8.5,3197,8.6
"48359","2","922","75","0","2008","A","N","Oldham County, Texas","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.98,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","9221","76","0","2008","A","N","Oldham County, Texas","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.98,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48359","2","92212","77","0","2008","A","N","Oldham County, Texas","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",43.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
