"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49051","0","10","70","0","2008","A","","Wasatch County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",885,6539,199231358,99922613,566814,586,30466,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,3.8,-530,-7.5,-22118383,-10.0,-9278779,-8.5,-387810,-40.6,-16,-2.7,-848,-2.7
"49051","1","10","71","0","2008","A","","Wasatch County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,56,2752747,0,0,941,48938,"",1.12,0.42,0.46,0.00,0.00,1.10,1.10,"",0,0.0,-3,-5.1,-174746,-6.0,0,0.0,0,0.0,-15,-1.6,-751,-1.5
"49051","1","102","72","0","2008","A","","Wasatch County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,56,2752747,0,0,941,48938,"",1.12,0.42,0.47,0.00,0.00,1.11,1.11,"",0,0.0,-3,-5.1,-174746,-6.0,0,0.0,0,0.0,-15,-1.6,-751,-1.5
"49051","1","1021","73","0","2008","A","","Wasatch County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",0.98,0.67,0.91,0.00,0.00,1.36,1.36,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
"49051","1","1028","73","0","2008","A","","Wasatch County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,29,1471467,0,0,962,50022,"",1.48,0.41,0.42,0.00,0.00,0.99,0.99,"",0,0.0,1,3.6,37487,2.6,0,0.0,0,0.0,-29,-2.9,-1498,-2.9
"49051","1","48-49","74","0","2008","A","","Wasatch County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",1.00,0.73,0.97,0.00,0.00,1.33,1.33,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
"49051","1","491","75","0","2008","A","","Wasatch County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",1.01,0.74,1.00,0.00,0.00,1.35,1.35,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
"49051","1","4911","76","0","2008","A","","Wasatch County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",1.01,0.74,1.00,0.00,0.00,1.35,1.35,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
"49051","1","49111","77","0","2008","A","","Wasatch County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",1.01,0.74,1.00,0.00,0.00,1.35,1.35,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
"49051","1","491110","78","0","2008","A","","Wasatch County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,27,1281280,0,0,918,47750,"",1.01,0.74,1.00,0.00,0.00,1.35,1.35,"",0,0.0,-4,-12.9,-212233,-14.2,0,0.0,0,0.0,-6,-0.6,-299,-0.6
