"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49053","0","10","70","0","2008","A","","Washington County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4958,50843,1489232105,831285701,3754676,563,29291,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-58,-1.2,-2005,-3.8,-46075799,-3.0,-36569194,-4.2,-2291180,-37.9,4,0.7,239,0.8
"49053","1","10","71","0","2008","A","","Washington County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,503,25013685,0,0,956,49713,"",0.85,0.48,0.56,0.00,0.00,1.17,1.17,"",0,0.0,19,3.9,94417,0.4,0,0.0,0,0.0,-33,-3.3,-1729,-3.4
"49053","1","102","72","0","2008","A","","Washington County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,503,25013685,0,0,956,49713,"",0.86,0.49,0.57,0.00,0.00,1.17,1.17,"",0,0.0,19,3.9,94417,0.4,0,0.0,0,0.0,-33,-3.3,-1729,-3.4
"49053","1","1021","73","0","2008","A","","Washington County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.58,0.51,0.72,0.00,0.00,1.42,1.42,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","1024","73","0","2008","A","","Washington County, Utah","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",1.16,0.04,0.05,0.00,0.00,1.35,1.35,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","1026","73","0","2008","A","","Washington County, Utah","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,165,7177949,0,0,837,43503,"",2.99,7.87,14.46,0.00,0.00,1.84,1.84,"",0,0.0,8,5.1,115583,1.6,0,0.0,0,0.0,-28,-3.2,-1480,-3.3
"49053","1","1028","73","0","2008","A","","Washington County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,179,10178240,0,0,1095,56915,"",1.12,0.33,0.39,0.00,0.00,1.17,1.17,"",0,0.0,8,4.7,-146819,-1.4,0,0.0,0,0.0,-63,-5.4,-3319,-5.5
"49053","1","48-49","74","0","2008","A","","Washington County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.60,0.55,0.77,0.00,0.00,1.39,1.39,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","491","75","0","2008","A","","Washington County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.60,0.56,0.79,0.00,0.00,1.41,1.41,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","4911","76","0","2008","A","","Washington County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.60,0.56,0.79,0.00,0.00,1.41,1.41,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","49111","77","0","2008","A","","Washington County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.60,0.56,0.79,0.00,0.00,1.41,1.41,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","491110","78","0","2008","A","","Washington County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,158,7591225,0,0,922,47945,"",0.60,0.56,0.79,0.00,0.00,1.41,1.41,"",0,0.0,4,2.6,176005,2.4,0,0.0,0,0.0,-4,-0.4,-206,-0.4
"49053","1","54","74","0","2008","A","","Washington County, Utah","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",1.23,0.04,0.06,0.00,0.00,1.33,1.33,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","541","75","0","2008","A","","Washington County, Utah","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",1.23,0.04,0.06,0.00,0.00,1.33,1.33,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","5413","76","0","2008","A","","Washington County, Utah","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",2.16,0.06,0.08,0.00,0.00,1.35,1.35,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","54133","77","0","2008","A","","Washington County, Utah","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",2.17,0.06,0.08,0.00,0.00,1.34,1.34,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","541330","78","0","2008","A","","Washington County, Utah","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,66271,0,0,1274,66271,"",2.17,0.06,0.08,0.00,0.00,1.34,1.34,"",0,0.0,-1,-50.0,-50352,-43.2,0,0.0,0,0.0,153,13.6,7959,13.6
"49053","1","71","74","0","2008","A","","Washington County, Utah","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",2,165,7177949,0,0,837,43503,"",3.89,10.79,17.21,0.00,0.00,1.60,1.60,"",0,0.0,8,5.1,115583,1.6,0,0.0,0,0.0,-28,-3.2,-1480,-3.3
