"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"50013","0","10","70","0","2008","A","","Grand Isle County, Vermont","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",243,1137,31858109,7827788,249091,539,28017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.2,-48,-4.1,-663485,-2.0,-639274,-7.6,-2077,-0.8,11,2.1,573,2.1
"50013","1","10","71","0","2008","A","","Grand Isle County, Vermont","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,962556,0,0,841,43753,"",4.07,0.94,1.01,0.00,0.00,1.07,1.07,"",0,0.0,-1,-4.3,14374,1.5,0,0.0,0,0.0,34,4.2,1767,4.2
"50013","1","102","72","0","2008","A","","Grand Isle County, Vermont","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,962556,0,0,841,43753,"",4.07,0.96,1.03,0.00,0.00,1.07,1.08,"",0,0.0,-1,-4.3,14374,1.5,0,0.0,0,0.0,34,4.2,1767,4.2
"50013","1","1021","73","0","2008","A","","Grand Isle County, Vermont","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",5.93,2.87,3.46,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","1028","73","0","2008","A","","Grand Isle County, Vermont","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,2,184902,0,0,1778,92451,"",2.69,0.16,0.33,0.00,0.00,1.99,1.99,"",0,0.0,-1,-33.3,-47272,-20.4,0,0.0,0,0.0,247,16.1,12848,16.1
"50013","1","48-49","74","0","2008","A","","Grand Isle County, Vermont","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",6.08,3.11,3.67,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","491","75","0","2008","A","","Grand Isle County, Vermont","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",6.13,3.17,3.80,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","4911","76","0","2008","A","","Grand Isle County, Vermont","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",6.13,3.17,3.80,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","49111","77","0","2008","A","","Grand Isle County, Vermont","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",6.13,3.17,3.80,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","491110","78","0","2008","A","","Grand Isle County, Vermont","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,20,777654,0,0,748,38883,"",6.13,3.17,3.80,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,61646,8.6,0,0.0,0,0.0,48,6.9,2476,6.8
"50013","1","92","74","0","2008","A","","Grand Isle County, Vermont","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,2,184902,0,0,1778,92451,"",2.69,0.16,0.33,0.00,0.00,1.99,1.99,"",0,0.0,-1,-33.3,-47272,-20.4,0,0.0,0,0.0,247,16.1,12848,16.1
