"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51139","0","10","70","0","2008","A","","Page County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",509,5926,158882314,38324003,819846,516,26810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,3.2,88,1.5,5005778,3.3,-667757,-1.7,-47963,-5.5,9,1.8,454,1.7
"51139","1","10","71","0","2008","A","","Page County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,188,8866550,0,0,909,47267,"",1.94,1.55,1.87,0.00,0.00,1.21,1.21,"",0,0.0,14,8.0,493221,5.9,0,0.0,0,0.0,-15,-1.6,-787,-1.6
"51139","1","102","72","0","2008","A","","Page County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,188,8866550,0,0,909,47267,"",1.95,1.57,1.91,0.00,0.00,1.21,1.21,"",0,0.0,14,8.0,493221,5.9,0,0.0,0,0.0,-15,-1.6,-787,-1.6
"51139","1","1021","73","0","2008","A","","Page County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,45,1944661,0,0,823,42818,"",2.27,1.24,1.74,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,73055,3.9,0,0.0,0,0.0,26,3.3,1380,3.3
"51139","1","1026","73","0","2008","A","","Page County, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,123,5864189,0,0,919,47773,"",14.58,50.32,110.75,0.00,0.00,2.20,2.21,"",0,0.0,11,9.8,255212,4.6,0,0.0,0,0.0,-44,-4.6,-2307,-4.6
"51139","1","1028","73","0","2008","A","","Page County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,19,1057700,0,0,1048,54474,"",1.28,0.30,0.38,0.00,0.00,1.22,1.23,"",0,0.0,2,11.8,164954,18.5,0,0.0,0,0.0,43,4.3,2216,4.2
"51139","1","48-49","74","0","2008","A","","Page County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,45,1944661,0,0,823,42818,"",2.32,1.34,1.84,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,73055,3.9,0,0.0,0,0.0,26,3.3,1380,3.3
"51139","1","491","75","0","2008","A","","Page County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,45,1944661,0,0,823,42818,"",2.34,1.37,1.90,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,73055,3.9,0,0.0,0,0.0,26,3.3,1380,3.3
"51139","1","4911","76","0","2008","A","","Page County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,45,1944661,0,0,823,42818,"",2.34,1.37,1.90,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,73055,3.9,0,0.0,0,0.0,26,3.3,1380,3.3
"51139","1","49111","77","0","2008","A","","Page County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,45,1944661,0,0,823,42818,"",2.34,1.37,1.90,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,73055,3.9,0,0.0,0,0.0,26,3.3,1380,3.3
