"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51141","0","10","70","0","2008","A","","Patrick County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",371,5235,127734527,38379108,698050,469,24402,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,-60,-1.1,-3001621,-2.3,-922899,-2.3,-58474,-7.7,-6,-1.3,-291,-1.2
"51141","1","10","71","0","2008","A","","Patrick County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,49,1828462,0,0,724,37636,"",4.57,0.46,0.48,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,44436,2.5,0,0.0,0,0.0,18,2.5,915,2.5
"51141","1","102","72","0","2008","A","","Patrick County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,49,1828462,0,0,724,37636,"",4.57,0.46,0.49,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,44436,2.5,0,0.0,0,0.0,18,2.5,915,2.5
"51141","1","1021","73","0","2008","A","","Patrick County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.22,1.31,1.66,0.00,0.00,1.26,1.27,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
"51141","1","1028","73","0","2008","A","","Patrick County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,6,329528,0,0,1001,52031,"",3.52,0.11,0.15,0.00,0.00,1.29,1.29,"",0,0.0,1,20.0,27178,9.0,0,0.0,0,0.0,-107,-9.7,-5559,-9.7
"51141","1","48-49","74","0","2008","A","","Patrick County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.37,1.42,1.76,0.00,0.00,1.24,1.24,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
"51141","1","491","75","0","2008","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.42,1.45,1.83,0.00,0.00,1.25,1.25,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
"51141","1","4911","76","0","2008","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.42,1.45,1.83,0.00,0.00,1.25,1.25,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
"51141","1","49111","77","0","2008","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.42,1.45,1.83,0.00,0.00,1.25,1.25,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
"51141","1","491110","78","0","2008","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,42,1498934,0,0,682,35478,"",6.42,1.45,1.83,0.00,0.00,1.25,1.25,"",0,0.0,-1,-2.3,17258,1.2,0,0.0,0,0.0,24,3.6,1285,3.8
