"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51810","0","10","70","0","2008","A","","Virginia Beach City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11633,173772,6164311143,1258679205,13649946,682,35473,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",138,1.2,-3582,-2.0,908616,0.0,-31724347,-2.5,-3667656,-21.2,14,2.1,721,2.1
"51810","1","10","71","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,5270,258086322,0,0,942,48977,"",0.67,1.48,1.40,0.00,0.00,0.95,0.95,"",3,5.8,-985,-15.7,-64315778,-19.9,0,0.0,0,0.0,-49,-4.9,-2563,-5.0
"51810","1","102","72","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,5270,258086322,0,0,942,48977,"",0.67,1.50,1.43,0.00,0.00,0.95,0.95,"",3,5.8,-985,-15.7,-64315778,-19.9,0,0.0,0,0.0,-49,-4.9,-2563,-5.0
"51810","1","1021","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",25,2526,112134885,0,0,854,44398,"",0.62,2.37,2.58,0.00,0.00,1.09,1.09,"",4,19.0,-45,-1.8,1700277,1.5,0,0.0,0,0.0,28,3.4,1444,3.4
"51810","1","1024","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,264,16469632,0,0,1202,62503,"",1.98,3.12,3.28,0.00,0.00,1.05,1.05,"",0,0.0,-5,-1.9,-2031,0.0,0,0.0,0,0.0,23,2.0,1213,2.0
"51810","1","1025","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,53,2913947,0,0,1057,54980,"",2.17,0.14,0.15,0.00,0.00,1.13,1.13,"",0,0.0,-14,-20.9,-839319,-22.4,0,0.0,0,0.0,-23,-2.1,-1179,-2.1
"51810","1","1026","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,932,12969776,0,0,268,13920,"",3.83,13.00,6.31,0.00,0.00,0.49,0.49,"",1,20.0,73,8.5,687505,5.6,0,0.0,0,0.0,-7,-2.5,-380,-2.7
"51810","1","1027","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",3,23,939757,0,0,775,40275,"",30.03,3.06,4.23,0.00,0.00,1.36,1.36,"",1,50.0,0,0.0,62556,7.1,0,0.0,0,0.0,36,4.9,1857,4.8
"51810","1","1028","73","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,1472,112658325,0,0,1472,76521,"",0.45,0.79,1.03,0.00,0.00,1.30,1.30,"",-2,-11.1,-995,-40.3,-65924766,-36.9,0,0.0,0,0.0,80,5.7,4135,5.7
"51810","1","44-45","74","0","2008","A","","Virginia Beach City, Virginia","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,1895,75885709,0,0,770,40042,"",18.34,28.26,56.11,0.00,0.00,1.99,1.99,"",3,27.3,-62,-3.2,2481499,3.4,0,0.0,0,0.0,49,6.8,2525,6.7
