"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53027","0","10","70","0","2008","A","","Grays Harbor County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2618,24826,826169463,463797595,8119228,640,33279,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-0.8,64,0.3,20920791,2.6,20488876,4.6,-670468,-7.6,15,2.4,759,2.3
"53027","1","10","71","0","2008","A","","Grays Harbor County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,232,9398480,0,0,779,40511,"",1.89,0.46,0.38,0.00,0.00,0.84,0.84,"",0,0.0,-5,-2.1,251520,2.7,0,0.0,0,0.0,36,4.8,1862,4.8
"53027","1","102","72","0","2008","A","","Grays Harbor County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,232,9398480,0,0,779,40511,"",1.89,0.46,0.39,0.00,0.00,0.84,0.84,"",0,0.0,-5,-2.1,251520,2.7,0,0.0,0,0.0,36,4.8,1862,4.8
"53027","1","1021","73","0","2008","A","","Grays Harbor County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.31,0.81,0.91,0.00,0.00,1.12,1.12,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","1024","73","0","2008","A","","Grays Harbor County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,4,313054,0,0,1505,78264,"",4.41,0.33,0.47,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,-3011,-1.0,0,0.0,0,0.0,-15,-1.0,-752,-1.0
"53027","1","1025","73","0","2008","A","","Grays Harbor County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,13,839147,0,0,1218,63332,"",14.47,0.23,0.33,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,55206,7.0,0,0.0,0,0.0,20,1.7,1032,1.7
"53027","1","1026","73","0","2008","A","","Grays Harbor County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,61,1327372,0,0,421,21880,"",5.67,5.96,4.82,0.00,0.00,0.81,0.81,"",0,0.0,-2,-3.2,104828,8.6,0,0.0,0,0.0,46,12.3,2371,12.2
"53027","1","1028","73","0","2008","A","","Grays Harbor County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,31,1639022,0,0,1020,53014,"",0.87,0.12,0.11,0.00,0.00,0.96,0.96,"",0,0.0,-2,-6.1,-36871,-2.2,0,0.0,0,0.0,28,2.8,1448,2.8
"53027","1","48-49","74","0","2008","A","","Grays Harbor County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.37,0.88,0.96,0.00,0.00,1.09,1.09,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","491","75","0","2008","A","","Grays Harbor County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.39,0.89,0.99,0.00,0.00,1.11,1.11,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","4911","76","0","2008","A","","Grays Harbor County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.39,0.89,0.99,0.00,0.00,1.11,1.11,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","49111","77","0","2008","A","","Grays Harbor County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.39,0.89,0.99,0.00,0.00,1.11,1.11,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","491110","78","0","2008","A","","Grays Harbor County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,123,5279885,0,0,824,42868,"",2.39,0.89,0.99,0.00,0.00,1.11,1.11,"",0,0.0,-2,-1.6,131368,2.6,0,0.0,0,0.0,31,3.9,1652,4.0
"53027","1","54","74","0","2008","A","","Grays Harbor County, Washington","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,313054,0,0,1505,78264,"",4.64,0.34,0.47,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,-3011,-1.0,0,0.0,0,0.0,-15,-1.0,-752,-1.0
"53027","1","541","75","0","2008","A","","Grays Harbor County, Washington","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,313054,0,0,1505,78264,"",4.64,0.34,0.47,0.00,0.00,1.38,1.38,"",0,0.0,0,0.0,-3011,-1.0,0,0.0,0,0.0,-15,-1.0,-752,-1.0
"53027","1","5413","76","0","2008","A","","Grays Harbor County, Washington","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,224947,0,0,1442,74982,"",4.09,0.36,0.48,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-17670,-7.3,0,0.0,0,0.0,-113,-7.3,-5890,-7.3
"53027","1","54133","77","0","2008","A","","Grays Harbor County, Washington","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,224947,0,0,1442,74982,"",4.10,0.38,0.50,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-17670,-7.3,0,0.0,0,0.0,-113,-7.3,-5890,-7.3
"53027","1","541330","78","0","2008","A","","Grays Harbor County, Washington","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,224947,0,0,1442,74982,"",4.10,0.38,0.50,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-17670,-7.3,0,0.0,0,0.0,-113,-7.3,-5890,-7.3
"53027","1","5417","76","0","2008","A","","Grays Harbor County, Washington","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,88107,0,0,1694,88107,"",32.42,0.63,0.84,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,14659,20.0,0,0.0,0,0.0,282,20.0,14659,20.0
"53027","1","54171","77","0","2008","A","","Grays Harbor County, Washington","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,88107,0,0,1694,88107,"",32.42,0.63,0.84,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,14659,20.0,0,0.0,0,0.0,282,20.0,14659,20.0
