"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55083","0","10","70","0","2008","A","","Oconto County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",821,9243,246550865,71163104,2501266,513,26674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,80,0.9,7686354,3.2,-1454647,-2.0,117207,4.9,12,2.4,606,2.3
"55083","1","10","71","0","2008","A","","Oconto County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,107,4364803,0,0,787,40920,"",2.41,0.56,0.59,0.00,0.00,1.05,1.05,"",0,0.0,1,0.9,107217,2.5,0,0.0,0,0.0,12,1.5,596,1.5
"55083","1","102","72","0","2008","A","","Oconto County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,107,4364803,0,0,787,40920,"",2.41,0.57,0.60,0.00,0.00,1.06,1.06,"",0,0.0,1,0.9,107217,2.5,0,0.0,0,0.0,12,1.5,596,1.5
"55083","1","1021","73","0","2008","A","","Oconto County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.51,1.23,1.54,0.00,0.00,1.24,1.25,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
"55083","1","1028","73","0","2008","A","","Oconto County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,37,1686631,0,0,889,46209,"",1.59,0.37,0.39,0.00,0.00,1.04,1.04,"",0,0.0,3,8.8,75050,4.7,0,0.0,0,0.0,-29,-3.2,-1542,-3.2
"55083","1","48-49","74","0","2008","A","","Oconto County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.60,1.34,1.63,0.00,0.00,1.22,1.22,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
"55083","1","491","75","0","2008","A","","Oconto County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.63,1.37,1.69,0.00,0.00,1.23,1.23,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
"55083","1","4911","76","0","2008","A","","Oconto County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.63,1.37,1.69,0.00,0.00,1.23,1.23,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
"55083","1","49111","77","0","2008","A","","Oconto County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.63,1.37,1.69,0.00,0.00,1.23,1.23,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
"55083","1","491110","78","0","2008","A","","Oconto County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,70,2678172,0,0,734,38169,"",3.63,1.37,1.69,0.00,0.00,1.23,1.23,"",0,0.0,-2,-2.8,32167,1.2,0,0.0,0,0.0,26,3.7,1334,3.6
