"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1550","0","10","40","0","2008","A","","Burlington, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3512,59625,2044116724,843127457,14875989,659,34283,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,0.9,-596,-1.0,48863466,2.4,13465053,1.6,-962131,-6.1,22,3.5,1151,3.5
"C1550","1","10","41","0","2008","A","","Burlington, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,268,12839270,0,0,922,47923,"",0.64,0.22,0.21,0.00,0.00,0.96,0.96,"",0,0.0,8,3.1,-134207,-1.0,0,0.0,0,0.0,-37,-3.9,-1959,-3.9
"C1550","2","10","41","0","2008","A","","Burlington, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,973,30884130,0,0,611,31757,"",0.76,0.47,0.42,0.00,0.00,0.88,0.88,"",1,5.3,16,1.7,1277447,4.3,0,0.0,0,0.0,16,2.7,825,2.7
"C1550","3","10","41","0","2008","A","","Burlington, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",58,5699,199719641,0,0,674,35045,"",0.93,0.91,1.00,0.00,0.00,1.10,1.10,"",2,3.6,195,3.5,12187606,6.5,0,0.0,0,0.0,19,2.9,975,2.9
"C1550","5","10","41","0","2008","A","","Burlington, NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3419,52686,1800673683,843127457,14875989,657,34178,"",1.01,1.05,1.05,1.02,1.01,1.00,1.00,"",29,0.9,-813,-1.5,35532620,2.0,13465053,1.6,-962131,-6.1,23,3.6,1184,3.6
"C1550","5","101","42","0","2008","A","","Burlington, NC MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",703,14009,537433945,264235257,6948996,738,38364,"",1.33,1.41,1.38,1.35,1.56,0.98,0.98,"",-20,-2.8,-938,-6.3,-31785200,-5.6,-9304431,-3.4,-904160,-11.5,6,0.8,280,0.7
"C1550","5","1011","43","0","2008","A","","Burlington, NC MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",20,109,2809855,1532758,16618,495,25739,"",0.41,0.13,0.09,0.09,0.05,0.70,0.70,"",-1,-4.8,-2,-1.8,-466657,-14.2,209384,15.8,492,3.1,-75,-13.2,-3890,-13.1
"C1550","5","1012","43","0","2008","A","","Burlington, NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",437,3344,113235156,64615945,1670890,651,33863,"",1.28,1.06,0.97,0.95,0.88,0.92,0.92,"",-15,-3.3,-379,-10.2,-11088747,-8.9,-4996495,-7.2,-128510,-7.1,9,1.4,470,1.4
"C1550","5","1013","43","0","2008","A","","Burlington, NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",247,10556,421388934,198086554,5261488,768,39920,"",1.78,1.78,1.74,1.79,2.36,0.98,0.98,"",-3,-1.2,-557,-5.0,-20229796,-4.6,-4517320,-2.2,-776142,-12.9,4,0.5,181,0.5
"C1550","5","102","42","0","2008","A","","Burlington, NC MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2716,38677,1263239738,578892200,7926993,628,32661,"",0.95,0.96,0.96,0.92,0.77,0.99,0.99,"",48,1.8,125,0.3,67317820,5.6,22769484,4.1,-57971,-0.7,31,5.2,1640,5.3
