"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1798","0","10","40","0","2008","A","","Columbus, GA-AL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6420,115861,4062928194,817134683,11484056,674,35067,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,0.3,-852,-0.7,35101066,0.9,-11985697,-1.4,-333774,-2.8,10,1.5,556,1.6
"C1798","1","10","41","0","2008","A","","Columbus, GA-AL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",94,5494,251899639,0,0,882,45849,"",2.07,2.31,2.08,0.00,0.00,0.90,0.90,"",0,0.0,216,4.1,13833111,5.8,0,0.0,0,0.0,15,1.7,746,1.7
"C1798","2","10","41","0","2008","A","N","Columbus, GA-AL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",68,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",-2,-2.9,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","3","10","41","0","2008","A","N","Columbus, GA-AL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",171,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,"N",1,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","10","41","0","2008","A","","Columbus, GA-AL MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6086,93115,3239438910,811444548,11462657,669,34790,"",0.98,0.96,0.95,1.01,1.00,1.00,1.00,"",19,0.3,-1344,-1.4,-2879515,-0.1,-11560841,-1.4,-325640,-2.8,9,1.4,465,1.4
"C1798","5","101","42","0","2008","A","","Columbus, GA-AL MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",923,16306,682009590,165504783,3534860,804,41825,"",0.95,0.85,0.88,0.87,1.03,1.04,1.04,"",-18,-1.9,-834,-4.9,-18860040,-2.7,-7019615,-4.1,-228369,-6.1,18,2.3,933,2.3
"C1798","5","1011","43","0","2008","A","N","Columbus, GA-AL MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",52,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,"N",3,6.1,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1012","43","0","2008","A","","Columbus, GA-AL MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",638,5634,192659856,60780838,1156571,658,34196,"",1.02,0.92,0.83,0.92,0.79,0.91,0.91,"N",-11,-1.7,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1013","43","0","2008","A","N","Columbus, GA-AL MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",233,0,0,0,0,0,0,"N",0.92,0,0,0,0,0,0,"N",-11,-4.5,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","102","42","0","2008","A","","Columbus, GA-AL MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5164,76808,2557429320,645939765,7927797,640,33296,"",0.98,0.98,0.97,1.06,0.99,0.99,0.99,"",39,0.8,-511,-0.7,15980525,0.6,-4541226,-0.7,-97271,-1.2,8,1.3,427,1.3
"C1798","5","1021","43","0","2008","A","","Columbus, GA-AL MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1391,18221,501775392,156915579,1949724,530,27539,"",1.02,0.81,0.76,0.83,0.86,0.93,0.93,"",24,1.8,81,0.4,6132269,1.2,-2607416,-1.6,-55096,-2.7,5,1.0,216,0.8
"C1798","5","1022","43","0","2008","A","","Columbus, GA-AL MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",106,5770,300942002,49766856,487390,1003,52159,"",1.03,2.25,2.15,2.03,1.26,0.96,0.96,"",-6,-5.4,-7,-0.1,-8782055,-2.8,-261034,-0.5,-62945,-11.4,-28,-2.7,-1452,-2.7
"C1798","5","1023","43","0","2008","A","","Columbus, GA-AL MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",809,8725,417167842,75790869,789050,920,47814,"",1.33,1.27,1.07,1.19,0.94,0.84,0.84,"N",-7,-0.9,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1024","43","0","2008","A","","Columbus, GA-AL MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",885,13296,513498741,130734488,2032589,743,38622,"",0.82,0.87,0.76,0.89,0.90,0.87,0.87,"",-5,-0.6,-105,-0.8,-8421744,-1.6,1758894,1.4,98341,5.1,-6,-0.8,-325,-0.8
"C1798","5","1025","43","0","2008","A","N","Columbus, GA-AL MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",674,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,"N",19,2.9,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1026","43","0","2008","A","","Columbus, GA-AL MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",612,13538,188815019,109130374,1225684,268,13947,"",1.18,1.18,1.12,1.36,1.29,0.96,0.96,"",17,2.9,24,0.2,7023737,3.9,2853450,2.7,128843,11.7,9,3.5,494,3.7
"C1798","5","1027","43","0","2008","A","N","Columbus, GA-AL MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",618,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",-8,-1.3,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1029","43","0","2008","A","","Columbus, GA-AL MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",70,43,1371978,571133,12037,610,31722,"",0.50,0.24,0.22,0.27,0.32,0.89,0.89,"N",5,7.7,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","11","44","0","2008","A","","Columbus, GA-AL MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",43,276,8419710,3247203,29463,587,30515,"",0.64,0.27,0.42,0.35,0.17,1.53,1.53,"",1,2.4,17,6.6,524668,6.6,176352,5.7,1569,5.6,1,0.2,42,0.1
"C1798","5","111","45","0","2008","A","","Columbus, GA-AL MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",4,25,453373,240296,1661,352,18318,"",0.13,0.05,0.05,0.06,0.02,0.97,0.97,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1114","46","0","2008","A","N","Columbus, GA-AL MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","11142","47","0","2008","A","N","Columbus, GA-AL MSA","Private","Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","111421","48","0","2008","A","N","Columbus, GA-AL MSA","Private","Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","111422","48","0","2008","A","N","Columbus, GA-AL MSA","Private","Floriculture production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1119","46","0","2008","A","N","Columbus, GA-AL MSA","Private","Other crop farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","11192","47","0","2008","A","N","Columbus, GA-AL MSA","Private","Cotton farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","111920","48","0","2008","A","N","Columbus, GA-AL MSA","Private","Cotton farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","112","45","0","2008","A","N","Columbus, GA-AL MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","1123","46","0","2008","A","N","Columbus, GA-AL MSA","Private","Poultry and egg production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C1798","5","11232","47","0","2008","A","N","Columbus, GA-AL MSA","Private","Broilers and meat type chicken production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.84,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
