"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1966","0","10","40","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",14165,161675,5325313140,1007564839,13091569,633,32938,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",229,1.6,-4585,-2.8,-27664717,-0.5,-46515287,-4.4,-1064804,-7.5,14,2.3,742,2.3
"C1966","1","10","41","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,1404,89237940,0,0,1222,63552,"",0.42,0.42,0.56,0.00,0.00,1.33,1.33,"",0,0.0,18,1.3,5706597,6.8,0,0.0,0,0.0,63,5.4,3273,5.4
"C1966","2","10","41","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",72,3067,120673657,14000,378,757,39350,"",0.68,0.55,0.62,0.00,0.05,1.13,1.13,"",0,0.0,-58,-1.9,-3750121,-3.0,14000,100.0,378,100.0,-9,-1.2,-468,-1.2
"C1966","3","10","41","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",29,18268,735016680,0,0,774,40234,"",0.12,1.07,1.41,0.00,0.00,1.32,1.32,"",-1,-3.3,-865,-4.5,7001278,1.0,-82676,-100.0,-100,-100.0,42,5.7,2184,5.7
"C1966","5","10","41","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",14021,138936,4380384863,1007550839,13091191,606,31528,"",1.02,1.02,0.98,1.02,1.01,0.96,0.96,"",228,1.7,-3680,-2.6,-36622471,-0.8,-46446611,-4.4,-1065082,-7.5,10,1.7,557,1.8
"C1966","5","101","42","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3022,22233,801116454,197228838,3182926,693,36033,"",1.42,0.83,0.79,0.84,0.81,0.95,0.95,"",-118,-3.8,-2974,-11.8,-85480677,-9.6,-30496640,-13.4,-382514,-10.7,17,2.5,860,2.4
"C1966","5","1011","43","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",149,2012,33704365,15063402,69529,322,16755,"",0.76,0.89,0.42,0.76,0.25,0.47,0.47,"",1,0.7,-113,-5.3,-2529798,-7.0,-1098145,-6.8,-7816,-10.1,-6,-1.8,-297,-1.7
"C1966","5","1012","43","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2430,11081,389638961,106898778,1730914,676,35162,"",1.77,1.30,1.29,1.31,1.04,0.99,0.99,"",-123,-4.8,-1778,-13.8,-58511508,-13.1,-19790127,-15.6,-78456,-4.3,6,0.9,310,0.9
"C1966","5","1013","43","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",443,9140,377773128,75266658,1382483,795,41331,"",0.79,0.57,0.60,0.57,0.70,1.05,1.05,"",3,0.7,-1083,-10.6,-24439371,-6.1,-9608368,-11.3,-296242,-17.6,38,5.0,1989,5.1
"C1966","5","102","42","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",11000,116703,3579268409,810322001,9908265,590,30670,"",0.95,1.07,1.04,1.07,1.09,0.97,0.97,"",347,3.3,-707,-0.6,48858206,1.4,-15949971,-1.9,-682568,-6.4,12,2.1,601,2.0
"C1966","5","1021","43","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2854,31454,850004451,238893468,2383423,520,27023,"",0.95,1.01,0.98,1.03,0.92,0.98,0.98,"",59,2.1,-1210,-3.7,-33014784,-3.7,-16610098,-6.5,-545783,-18.6,0,0.0,-11,0.0
"C1966","5","1022","43","0","2008","A","","Deltona-Daytona Beach-Ormond Beach, FL MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",177,2550,108147815,19719712,260432,816,42411,"",0.78,0.71,0.59,0.65,0.59,0.83,0.83,"",24,15.7,-408,-13.8,-7737896,-6.7,-3151902,-13.8,-60324,-18.8,63,8.4,3234,8.3
