"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2026","0","10","40","0","2008","A","","Duluth, MN-WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7777,125825,4568333519,1520129626,29228191,698,36307,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-39,-0.5,231,0.2,147172454,3.3,45230280,3.1,292271,1.0,21,3.1,1105,3.1
"C2026","1","10","41","0","2008","A","","Duluth, MN-WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",119,1668,94783214,0,0,1093,56842,"",2.16,0.65,0.70,0.00,0.00,1.08,1.08,"",-1,-0.8,6,0.4,624853,0.7,0,0.0,0,0.0,3,0.3,174,0.3
"C2026","2","10","41","0","2008","A","","Duluth, MN-WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",124,5538,279306875,1150625,8169,970,50434,"",2.14,1.28,1.69,0.14,0.45,1.32,1.32,"",4,3.3,221,4.2,24790785,9.7,40748,3.7,400,5.1,49,5.3,2564,5.4
"C2026","3","10","41","0","2008","A","","Duluth, MN-WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",378,16706,602160432,1270609,23687,693,36044,"",2.75,1.26,1.35,0.06,0.15,1.07,1.07,"",1,0.3,91,0.5,14989346,2.6,-1108743,-46.6,-99959,-80.8,13,1.9,703,2.0
"C2026","5","10","41","0","2008","A","","Duluth, MN-WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7157,101913,3592082998,1517708392,29196335,678,35247,"",0.95,0.96,0.94,1.02,1.01,0.97,0.97,"",-42,-0.6,-88,-0.1,106767470,3.1,46298275,3.1,391830,1.4,21,3.2,1078,3.2
"C2026","5","101","42","0","2008","A","","Duluth, MN-WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1304,17172,897985786,418567464,14498074,1006,52295,"",1.11,0.82,1.03,1.19,1.66,1.26,1.26,"",-13,-1.0,-321,-1.8,47485407,5.6,14692065,3.6,311427,2.2,71,7.6,3674,7.6
"C2026","5","1011","43","0","2008","A","","Duluth, MN-WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",100,3300,247317570,86282004,1037163,1441,74937,"",0.93,1.88,3.59,2.89,1.69,1.91,1.91,"",-7,-6.5,100,3.1,33443195,15.6,5453668,6.7,20137,2.0,156,12.1,8110,12.1
"C2026","5","1012","43","0","2008","A","","Duluth, MN-WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",870,5357,247735333,142785260,9589743,889,46242,"",1.15,0.81,0.95,1.16,2.57,1.18,1.18,"",-5,-0.6,-206,-3.7,5292515,2.2,8375589,6.2,270559,2.9,51,6.1,2659,6.1
"C2026","5","1013","43","0","2008","A","","Duluth, MN-WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",334,8514,402932883,189500200,3871168,910,47326,"",1.08,0.68,0.74,0.95,0.88,1.09,1.09,"",-2,-0.6,-215,-2.5,8749697,2.2,862808,0.5,20731,0.5,42,4.8,2170,4.8
"C2026","5","102","42","0","2008","A","","Duluth, MN-WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5853,84741,2694097212,1099140928,14698261,611,31792,"",0.92,1.00,0.91,0.97,0.72,0.91,0.91,"",-29,-0.5,232,0.3,59282063,2.2,31606210,3.0,80403,0.6,11,1.8,614,2.0
"C2026","5","1021","43","0","2008","A","","Duluth, MN-WI MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1782,23809,722296094,381889471,5250078,583,30337,"",1.08,0.98,0.97,1.09,0.91,0.99,0.99,"",-10,-0.6,-335,-1.4,10922430,1.5,4902892,1.3,55104,1.1,16,2.8,873,3.0
"C2026","5","1022","43","0","2008","A","","Duluth, MN-WI MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",128,2196,82034963,45461614,647540,718,37349,"",1.03,0.79,0.52,1.00,0.66,0.66,0.66,"N",-2,-1.5,0,0,0,0,0,0,0,0,0,0,0,0
"C2026","5","1023","43","0","2008","A","","Duluth, MN-WI MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",711,5474,277571311,107940529,1162536,975,50710,"",0.96,0.74,0.63,0.91,0.54,0.86,0.86,"",-22,-3.0,-98,-1.8,-25570775,-8.4,-937629,-0.9,-50239,-4.1,-71,-6.8,-3691,-6.8
"C2026","5","1024","43","0","2008","A","","Duluth, MN-WI MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",842,8431,316997392,165765770,3075944,723,37598,"",0.65,0.51,0.42,0.61,0.54,0.82,0.82,"",4,0.5,343,4.2,20281514,6.8,14561454,9.6,43838,1.4,18,2.6,914,2.5
"C2026","5","1025","43","0","2008","A","","Duluth, MN-WI MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",696,26935,1050167987,210342895,2155879,750,38988,"",0.96,1.61,1.87,1.46,0.97,1.17,1.17,"",12,1.8,461,1.7,54071736,5.4,10086069,5.0,38236,1.8,26,3.6,1363,3.6
