"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2242","0","10","40","0","2008","A","","Flint, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7877,135590,5315906721,968315100,45095409,754,39206,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-93,-1.2,-7176,-5.0,-296302798,-5.3,-65269658,-6.3,-3951041,-8.1,-2,-0.3,-104,-0.3
"C2242","1","10","41","0","2008","A","","Flint, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,1429,79520399,0,0,1070,55635,"",0.75,0.51,0.50,0.00,0.00,0.98,0.98,"",0,0.0,-1,-0.1,1080125,1.4,0,0.0,0,0.0,15,1.4,766,1.4
"C2242","2","10","41","0","2008","A","","Flint, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",31,2557,102464983,0,0,771,40078,"",0.53,0.55,0.53,0.00,0.00,0.97,0.97,"",-2,-6.1,109,4.5,5799004,6.0,0,0.0,0,0.0,12,1.6,588,1.5
"C2242","3","10","41","0","2008","A","","Flint, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",145,19595,843090732,5523823,346601,827,43027,"",1.04,1.37,1.62,0.40,1.39,1.18,1.18,"",0,0.0,-679,-3.3,14245827,1.7,442908,8.7,-9469,-2.7,41,5.2,2144,5.2
"C2242","5","10","41","0","2008","A","","Flint, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7661,112009,4290830607,962791277,44748808,737,38308,"",1.00,0.98,0.97,1.01,1.00,0.98,0.98,"",-89,-1.1,-6606,-5.6,-317427754,-6.9,-65712566,-6.4,-3941572,-8.1,-10,-1.3,-542,-1.4
"C2242","5","101","42","0","2008","A","","Flint, MI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1206,17642,1068709355,199802246,13657297,1165,60578,"",1.02,0.78,1.06,0.89,1.01,1.35,1.35,"",-54,-4.3,-4113,-18.9,-361701334,-25.3,-39240287,-16.4,-2741020,-16.7,-99,-7.8,-5174,-7.9
"C2242","5","1011","43","0","2008","A","","Flint, MI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",36,216,5420438,2044845,114274,484,25153,"",0.33,0.11,0.07,0.11,0.12,0.59,0.59,"",5,16.1,13,6.4,508764,10.4,192603,10.4,-9036,-7.3,19,4.1,977,4.0
"C2242","5","1012","43","0","2008","A","","Flint, MI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",848,4537,210944462,56751823,4890665,894,46498,"",1.11,0.63,0.70,0.72,0.85,1.10,1.10,"",-45,-5.0,-671,-12.9,-21271066,-9.2,-8012280,-12.4,-578911,-10.6,37,4.3,1910,4.3
"C2242","5","1013","43","0","2008","A","","Flint, MI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",323,12890,852344455,141005578,8652358,1272,66126,"",1.03,0.96,1.35,1.11,1.28,1.41,1.41,"",-13,-3.9,-3453,-21.1,-340939032,-28.6,-31420610,-18.2,-2153073,-19.9,-132,-9.4,-6887,-9.4
"C2242","5","102","42","0","2008","A","","Flint, MI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6455,94367,3222121252,762989031,31091511,657,34144,"",1.00,1.03,0.94,1.05,0.99,0.91,0.91,"",-36,-0.6,-2494,-2.6,44273580,1.4,-26472279,-3.4,-1200552,-3.7,26,4.1,1336,4.1
