"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2402","0","10","40","0","2008","A","","Glens Falls, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3717,53807,1858024281,354077131,11666721,664,34531,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",46,1.3,318,0.6,62713954,3.5,6160875,1.8,417504,3.7,19,2.9,967,2.9
"C2402","1","10","41","0","2008","A","","Glens Falls, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,374,18637226,0,0,959,49865,"",2.24,0.34,0.34,0.00,0.00,0.99,0.99,"",1,1.7,-18,-4.6,-415958,-2.2,0,0.0,0,0.0,24,2.6,1270,2.6
"C2402","2","10","41","0","2008","A","","Glens Falls, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15,1655,101073132,0,0,1174,61062,"",0.54,0.89,1.50,0.00,0.00,1.68,1.68,"",0,0.0,0,0.0,5581095,5.8,0,0.0,0,0.0,64,5.8,3363,5.8
"C2402","3","10","41","0","2008","A","","Glens Falls, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",95,8619,297392208,135617,2806,664,34503,"",1.44,1.52,1.64,0.03,0.04,1.08,1.08,"",-1,-1.0,69,0.8,17096699,6.1,-12932,-8.7,-522,-15.7,34,5.4,1721,5.2
"C2402","5","10","41","0","2008","A","","Glens Falls, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3548,43159,1440921715,353941514,11663915,642,33387,"",0.99,0.96,0.93,1.02,1.01,0.97,0.97,"",46,1.3,267,0.6,40452118,2.9,6173807,1.8,418026,3.7,14,2.2,736,2.3
"C2402","5","101","42","0","2008","A","","Glens Falls, NY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",666,9815,433465196,104718993,4092512,849,44165,"",1.19,1.10,1.22,1.28,1.18,1.11,1.12,"",16,2.5,49,0.5,12636694,3.0,4717617,4.7,299864,7.9,20,2.4,1072,2.5
"C2402","5","1011","43","0","2008","A","","Glens Falls, NY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",63,659,19693168,6843682,206306,575,29883,"",1.22,0.88,0.70,0.98,0.84,0.80,0.80,"",-1,-1.6,-53,-7.4,-931518,-4.5,-620428,-8.3,-16548,-7.4,18,3.2,929,3.2
"C2402","5","1012","43","0","2008","A","","Glens Falls, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",420,2517,99586628,30244352,1851057,761,39562,"",1.16,0.89,0.94,1.05,1.24,1.06,1.07,"",11,2.7,67,2.7,5717559,6.1,1827662,6.4,229496,14.2,24,3.3,1240,3.2
"C2402","5","1013","43","0","2008","A","","Glens Falls, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",183,6638,314185400,67630959,2035149,910,47328,"",1.24,1.24,1.43,1.46,1.16,1.15,1.15,"",6,3.4,34,0.5,7850653,2.6,3510383,5.5,86916,4.5,18,2.0,939,2.0
"C2402","5","102","42","0","2008","A","","Glens Falls, NY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2883,33344,1007456519,249222521,7571403,581,30214,"",0.95,0.92,0.84,0.94,0.93,0.91,0.91,"",31,1.1,217,0.7,27815424,2.8,1456190,0.6,118162,1.6,12,2.1,641,2.2
"C2402","5","1021","43","0","2008","A","","Glens Falls, NY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",841,9606,277748745,83995510,2140851,556,28915,"",1.07,0.92,0.92,1.03,0.93,1.00,1.00,"",19,2.3,4,0.0,6355644,2.3,-557341,-0.7,58073,2.8,12,2.2,651,2.3
"C2402","5","1022","43","0","2008","A","","Glens Falls, NY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",48,1072,45407983,8743625,139309,815,42375,"",0.80,0.90,0.71,0.82,0.35,0.79,0.79,"",1,2.1,1,0.1,1656925,3.8,542690,6.6,1513,1.1,29,3.7,1524,3.7
"C2402","5","1023","43","0","2008","A","","Glens Falls, NY MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",235,2103,88412429,16048521,406326,808,42041,"",0.67,0.66,0.49,0.58,0.48,0.75,0.75,"",-1,-0.4,19,0.9,-964468,-1.1,-502739,-3.0,27341,7.2,-17,-2.1,-856,-2.0
"C2402","5","1024","43","0","2008","A","","Glens Falls, NY MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",415,3888,150100961,35635610,1217130,742,38603,"",0.67,0.55,0.49,0.56,0.53,0.89,0.89,"",21,5.3,32,0.8,8478576,6.0,-1708657,-4.6,-88824,-6.8,36,5.1,1879,5.1
"C2402","5","1025","43","0","2008","A","","Glens Falls, NY MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",374,7991,290000741,28922106,711532,698,36289,"",1.08,1.12,1.27,0.86,0.80,1.14,1.14,"",12,3.3,40,0.5,9280337,3.3,1311828,4.8,71026,11.1,19,2.8,982,2.8
"C2402","5","1026","43","0","2008","A","","Glens Falls, NY MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",629,6796,117862605,65983493,2697571,334,17344,"",2.09,1.27,1.54,1.89,2.80,1.21,1.21,"",17,2.8,129,1.9,1416536,1.2,2163733,3.4,42537,1.6,-2,-0.6,-123,-0.7
"C2402","5","1027","43","0","2008","A","","Glens Falls, NY MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",285,1825,36579957,9209243,231832,386,20047,"",0.58,1.02,0.94,0.76,0.62,0.92,0.92,"",10,3.6,18,1.0,2227191,6.5,430558,4.9,14252,6.6,20,5.5,1032,5.4
"C2402","5","1029","43","0","2008","A","","Glens Falls, NY MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",58,64,1343098,684413,26852,404,21013,"",0.71,0.77,0.46,0.76,0.71,0.60,0.60,"",-47,-44.8,-25,-28.1,-635317,-32.1,-223882,-24.6,-7756,-22.4,-21,-4.9,-1113,-5.0
"C2402","5","11","44","0","2008","A","N","Glens Falls, NY MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",53,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,"N",-1,-1.9,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111","45","0","2008","A","N","Glens Falls, NY MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1112","46","0","2008","A","","Glens Falls, NY MSA","Private","Vegetable and melon farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,27,279590,231018,12335,200,10387,"",1.76,0.74,0.40,0.74,0.77,0.54,0.54,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11121","47","0","2008","A","","Glens Falls, NY MSA","Private","Vegetable and melon farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,27,279590,231018,12335,200,10387,"",1.76,0.74,0.40,0.74,0.77,0.54,0.54,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111219","48","0","2008","A","","Glens Falls, NY MSA","Private","Other vegetable and melon farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",3,27,279590,231018,12335,200,10387,"",2.35,0.87,0.48,0.93,0.94,0.55,0.55,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1113","46","0","2008","A","N","Glens Falls, NY MSA","Private","Fruit and tree nut farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11133","47","0","2008","A","N","Glens Falls, NY MSA","Private","Noncitrus fruit and tree nut farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111331","48","0","2008","A","N","Glens Falls, NY MSA","Private","Apple orchards","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1114","46","0","2008","A","","Glens Falls, NY MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",5,48,1329497,569150,27221,531,27602,"",1.33,0.73,1.02,1.06,1.41,1.40,1.40,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11142","47","0","2008","A","","Glens Falls, NY MSA","Private","Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",5,48,1329497,569150,27221,531,27602,"",1.43,0.83,1.17,1.19,1.57,1.41,1.41,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111421","48","0","2008","A","N","Glens Falls, NY MSA","Private","Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.26,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111422","48","0","2008","A","N","Glens Falls, NY MSA","Private","Floriculture production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1119","46","0","2008","A","N","Glens Falls, NY MSA","Private","Other crop farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11199","47","0","2008","A","N","Glens Falls, NY MSA","Private","All other crop farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","111998","48","0","2008","A","N","Glens Falls, NY MSA","Private","All other miscellaneous crop farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","112","45","0","2008","A","N","Glens Falls, NY MSA","Private","Animal production and aquaculture","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",21,0,0,0,0,0,0,"N",2.29,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1121","46","0","2008","A","N","Glens Falls, NY MSA","Private","Cattle ranching and farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",18,0,0,0,0,0,0,"N",3.06,0,0,0,0,0,0,"N",-1,-5.3,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11211","47","0","2008","A","N","Glens Falls, NY MSA","Private","Beef cattle ranching, farming, and feedlots","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","112111","48","0","2008","A","N","Glens Falls, NY MSA","Private","Beef cattle ranching and farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11212","47","0","2008","A","N","Glens Falls, NY MSA","Private","Dairy cattle and milk production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,"N",5.83,0,0,0,0,0,0,"N",-2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","112120","48","0","2008","A","N","Glens Falls, NY MSA","Private","Dairy cattle and milk production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,"N",5.83,0,0,0,0,0,0,"N",-2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1122","46","0","2008","A","N","Glens Falls, NY MSA","Private","Hog and pig farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11221","47","0","2008","A","N","Glens Falls, NY MSA","Private","Hog and pig farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","112210","48","0","2008","A","N","Glens Falls, NY MSA","Private","Hog and pig farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","1129","46","0","2008","A","N","Glens Falls, NY MSA","Private","Other animal production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","11292","47","0","2008","A","N","Glens Falls, NY MSA","Private","Horses and other equine production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",5.28,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","112920","48","0","2008","A","N","Glens Falls, NY MSA","Private","Horses and other equine production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",5.28,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2402","5","113","45","0","2008","A","","Glens Falls, NY MSA","Private","Forestry and logging","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",15,35,1160775,397197,16391,645,33565,"",3.47,1.42,1.71,1.51,1.54,1.22,1.22,"",0,0.0,-9,-20.5,-288899,-19.9,-59737,-13.1,-6200,-27.4,4,0.6,239,0.7
"C2402","5","1133","46","0","2008","A","","Glens Falls, NY MSA","Private","Logging","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",15,35,1160775,397197,16391,645,33565,"",3.80,1.58,1.97,1.65,1.63,1.26,1.26,"",0,0.0,-9,-20.5,-288899,-19.9,-59737,-13.1,-6200,-27.4,4,0.6,239,0.7
"C2402","5","11331","47","0","2008","A","","Glens Falls, NY MSA","Private","Logging","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",15,35,1160775,397197,16391,645,33565,"",3.80,1.58,1.97,1.65,1.63,1.26,1.26,"",0,0.0,-9,-20.5,-288899,-19.9,-59737,-13.1,-6200,-27.4,4,0.6,239,0.7
