"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2486","0","10","40","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",15892,296441,11143858280,2072026748,44442793,723,37592,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",405,2.6,2287,0.8,396589259,3.7,-34106910,-1.6,-2120528,-4.6,20,2.8,1056,2.9
"C2486","1","10","41","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",87,2152,125078226,0,0,1118,58117,"",0.77,0.35,0.38,0.00,0.00,1.06,1.06,"",-2,-2.2,27,1.3,2165987,1.8,0,0.0,0,0.0,5,0.4,265,0.5
"C2486","2","10","41","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",54,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","3","10","41","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",284,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,"N",-13,-4.4,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","10","41","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15467,254464,9368267338,2062086373,44293969,708,36816,"",1.01,1.02,1.01,1.01,1.00,0.98,0.98,"",419,2.8,795,0.3,272492272,3.0,-33552475,-1.6,-2106682,-4.5,18,2.6,959,2.7
"C2486","5","101","42","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2906,59281,2665117460,497052326,12251272,865,44957,"",1.21,1.20,1.26,1.03,0.92,1.04,1.04,"",35,1.2,-536,-0.9,35330078,1.3,-15667585,-3.1,-726160,-5.6,20,2.4,993,2.3
"C2486","5","1011","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",60,904,24969755,7763189,193496,531,27627,"",0.27,0.22,0.15,0.19,0.21,0.68,0.68,"",5,9.1,78,9.4,989967,4.1,-1209899,-13.5,18272,10.4,-28,-5.0,-1419,-4.9
"C2486","5","1012","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1931,16102,649410834,147653389,3921543,776,40331,"",1.25,1.03,1.02,0.88,0.69,1.00,1.00,"",-21,-1.1,-898,-5.3,-27733091,-4.1,-12224138,-7.6,-459975,-10.5,10,1.3,498,1.3
"C2486","5","1013","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",915,42276,1990736871,341635748,8136233,906,47089,"",1.45,1.44,1.51,1.26,1.22,1.05,1.05,"",51,5.9,284,0.7,62073202,3.2,-2233548,-0.6,-284457,-3.4,23,2.6,1160,2.5
"C2486","5","102","42","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",12561,195183,6703149878,1565034047,32042697,660,34343,"",0.97,0.98,0.93,1.01,1.04,0.95,0.95,"",384,3.2,1331,0.7,237162194,3.7,-17884890,-1.1,-1380522,-4.1,19,3.0,988,3.0
"C2486","5","1021","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",3680,60465,2151660736,500016916,8463045,684,35585,"",1.10,1.05,1.19,1.05,0.96,1.12,1.13,"",89,2.5,-1012,-1.6,62619950,3.0,-13161656,-2.6,-612371,-6.7,31,4.7,1604,4.7
"C2486","5","1022","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",242,6691,326258102,52701798,1029082,938,48764,"",0.95,1.02,0.85,0.85,0.69,0.84,0.83,"",50,26.0,378,6.0,18609604,6.0,723094,1.4,-71844,-6.5,1,0.1,28,0.1
"C2486","5","1023","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1687,13694,661809099,115697557,2092592,929,48330,"",1.12,0.78,0.62,0.71,0.64,0.79,0.79,"",72,4.5,387,2.9,11049651,1.7,2349684,2.1,38191,1.9,-11,-1.2,-574,-1.2
"C2486","5","1024","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",2818,48568,1912501803,469299208,12490466,757,39378,"",1.06,1.25,1.04,1.26,1.43,0.83,0.83,"",216,8.3,623,1.3,74058555,4.0,-4578543,-1.0,-455901,-3.5,20,2.7,1033,2.7
"C2486","5","1025","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1234,27498,1060440297,158775180,2596686,742,38565,"",0.83,0.70,0.78,0.81,0.77,1.11,1.11,"",7,0.6,866,3.3,70969566,7.2,10208,0.0,-43207,-1.6,28,3.9,1411,3.8
"C2486","5","1026","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1443,30448,399039987,209473934,4116672,252,13106,"",1.12,1.03,0.87,1.03,1.12,0.84,0.84,"",-6,-0.4,144,0.5,988059,0.2,-2209979,-1.0,-219948,-5.1,-1,-0.4,-29,-0.2
"C2486","5","1027","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1459,7821,191438054,59067654,1254094,471,24478,"",0.70,0.79,0.82,0.83,0.89,1.03,1.03,"",61,4.4,143,1.9,5090467,2.7,1280337,2.2,58635,4.9,4,0.9,208,0.9
"C2486","5","1029","43","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",0,0,1800,1800,60,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",-104,-100.0,-197,-100.0,-6223658,-100.0,-2298035,-99.9,-74077,-99.9,-609,-100.0,-31668,-100.0
"C2486","5","11","44","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",48,765,18009409,6628178,177546,453,23557,"",0.29,0.30,0.33,0.28,0.27,1.10,1.10,"",4,9.1,84,12.3,1333894,8.0,-1280743,-16.2,17896,11.2,-18,-3.8,-942,-3.8
"C2486","5","111","45","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",10,134,2747672,1217759,19107,395,20518,"",0.14,0.11,0.11,0.12,0.06,1.01,1.01,"N",-1,-9.1,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","1111","46","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","11111","47","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","111110","48","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","1112","46","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Vegetable and melon farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","11121","47","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Vegetable and melon farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","111219","48","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Other vegetable and melon farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","1113","46","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Fruit and tree nut farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","11133","47","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Noncitrus fruit and tree nut farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","111339","48","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Other noncitrus fruit farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","1114","46","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",6,70,1713908,546961,7175,474,24661,"",0.37,0.19,0.22,0.17,0.10,1.14,1.15,"",-2,-25.0,-8,-10.3,-98427,-5.4,-81912,-13.0,-1204,-14.4,28,6.3,1451,6.3
"C2486","5","11142","47","0","2008","A","","Greenville-Anderson-Mauldin, SC MSA","Private","Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",6,70,1713908,546961,7175,474,24661,"",0.40,0.22,0.25,0.19,0.11,1.16,1.16,"",-2,-25.0,-8,-10.3,-98427,-5.4,-81912,-13.0,-1204,-14.4,28,6.3,1451,6.3
"C2486","5","111421","48","0","2008","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
