"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2970","0","10","40","0","2008","A","","Laredo, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4829,88672,2622174449,662734885,5690195,569,29572,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-96,-1.9,706,0.8,70371946,2.8,-14112133,-2.1,-3299050,-36.7,11,2.0,563,1.9
"C2970","1","10","41","0","2008","A","","Laredo, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",35,2774,207308228,0,0,1437,74724,"",1.02,1.53,2.65,0.00,0.00,1.74,1.74,"",-1,-2.8,390,16.4,33462933,19.2,0,0.0,0,0.0,35,2.5,1802,2.5
"C2970","2","10","41","0","2008","A","","Laredo, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,2135,60701779,0,0,547,28430,"",0.94,0.70,0.64,0.00,0.00,0.91,0.91,"",-1,-2.9,48,2.3,3991191,7.0,0,0.0,0,0.0,24,4.6,1252,4.6
"C2970","3","10","41","0","2008","A","","Laredo, TX MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,16291,583976632,26737287,294102,689,35847,"",0.59,1.74,2.28,2.85,9.37,1.30,1.31,"",0,0.0,550,3.5,32117025,5.8,1594094,6.3,168401,134.0,15,2.2,787,2.2
"C2970","5","10","41","0","2008","A","","Laredo, TX MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4711,67472,1770187810,635997598,5396093,505,26236,"",1.01,0.91,0.81,0.98,0.95,0.89,0.89,"",-93,-1.9,-283,-0.4,800797,0.0,-15706227,-2.4,-3467451,-39.1,3,0.6,122,0.5
"C2970","5","101","42","0","2008","A","","Laredo, TX MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",475,6063,223977557,62784878,623800,710,36942,"",0.65,0.41,0.45,0.41,0.37,1.09,1.09,"",-33,-6.5,-117,-1.9,3925104,1.8,-1823546,-2.8,-530194,-45.9,25,3.6,1335,3.7
"C2970","5","1011","43","0","2008","A","","Laredo, TX MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",108,1926,113281041,19970621,159290,1131,58807,"",1.61,1.56,2.87,1.53,1.33,1.84,1.84,"",0,0.0,180,10.3,10192383,9.9,601582,3.1,-187530,-54.1,-5,-0.4,-241,-0.4
"C2970","5","1012","43","0","2008","A","","Laredo, TX MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",277,2863,80007410,29945377,334549,537,27944,"",0.59,0.61,0.54,0.56,0.46,0.88,0.88,"",-29,-9.5,-67,-2.3,-2881880,-3.5,-1199458,-3.9,-226118,-40.3,-7,-1.3,-345,-1.2
"C2970","5","1013","43","0","2008","A","","Laredo, TX MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",91,1274,30689106,12868880,129961,463,24098,"",0.48,0.14,0.10,0.15,0.15,0.68,0.68,"",-3,-3.2,-230,-15.3,-3385399,-9.9,-1225670,-8.7,-116546,-47.3,27,6.2,1445,6.4
"C2970","5","102","42","0","2008","A","","Laredo, TX MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",4235,61409,1546210253,573212720,4772293,484,25179,"",1.07,1.03,0.91,1.16,1.21,0.89,0.89,"",-61,-1.4,-166,-0.3,-3124307,-0.2,-13882681,-2.4,-2937257,-38.1,0,0.0,17,0.1
"C2970","5","1021","43","0","2008","A","","Laredo, TX MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2104,28653,805123136,278448682,2552841,540,28099,"",2.06,1.67,1.89,1.82,2.26,1.13,1.13,"",-19,-0.9,252,0.9,30145297,3.9,1793741,0.6,-1549193,-37.8,15,2.9,812,3.0
"C2970","5","1022","43","0","2008","A","","Laredo, TX MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",53,663,24386866,6280989,77478,707,36783,"",0.68,0.34,0.27,0.32,0.40,0.80,0.80,"",-3,-5.4,1,0.2,-879812,-3.5,-331969,-5.0,-48565,-38.5,-27,-3.7,-1375,-3.6
"C2970","5","1023","43","0","2008","A","","Laredo, TX MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",421,4058,119446830,36293213,273233,566,29437,"",0.92,0.77,0.47,0.70,0.65,0.61,0.61,"",3,0.7,-1075,-20.9,-68736784,-36.5,-24621925,-40.4,-367027,-57.3,-139,-19.7,-7228,-19.7
"C2970","5","1024","43","0","2008","A","","Laredo, TX MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",491,5739,148864709,60248677,662239,499,25938,"",0.61,0.49,0.34,0.50,0.59,0.70,0.70,"",0,0.0,36,0.6,3709024,2.6,1097795,1.9,-320124,-32.6,9,1.8,483,1.9
"C2970","5","1025","43","0","2008","A","","Laredo, TX MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",459,12396,308164670,107667180,760252,478,24860,"",1.02,1.05,0.96,1.72,1.75,0.91,0.91,"",14,3.1,468,3.9,25915102,9.2,6358194,6.3,-320190,-29.6,23,5.1,1196,5.1
"C2970","5","1026","43","0","2008","A","","Laredo, TX MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",360,8392,107903142,69408798,348579,247,12857,"",0.92,0.95,1.00,1.06,0.74,1.04,1.05,"",-13,-3.5,179,2.2,5659684,5.5,1990026,3.0,-261230,-42.8,8,3.3,407,3.3
"C2970","5","1027","43","0","2008","A","","Laredo, TX MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",323,1444,31073097,14024312,81686,414,21516,"",0.51,0.49,0.56,0.62,0.45,1.15,1.15,"",-13,-3.9,10,0.7,2004544,6.9,363691,2.7,-55339,-40.4,24,6.2,1251,6.2
"C2970","5","1029","43","0","2008","A","","Laredo, TX MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",25,63,1247803,840869,15985,378,19676,"",0.24,0.46,0.30,0.50,0.86,0.65,0.66,"",-30,-54.5,-39,-38.2,-941362,-43.0,-532234,-38.8,-15589,-49.4,-35,-8.5,-1786,-8.3
