"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3806","0","10","40","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",104310,1824256,81145765777,13658835927,182895595,855,44482,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2897,2.9,-51064,-2.7,-800662808,-1.0,-947472847,-6.5,-32164442,-15.0,15,1.8,785,1.8
"C3806","1","10","41","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",231,22547,1371134559,0,0,1169,60813,"",0.31,0.60,0.57,0.00,0.00,0.94,0.94,"",1,0.4,1034,4.8,58650535,4.5,0,0.0,0,0.0,-4,-0.3,-196,-0.3
"C3806","2","10","41","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",138,45286,2077032690,167999,1477,882,45865,"",0.18,0.72,0.71,0.00,0.01,0.98,0.98,"",1,0.7,-22,0.0,50633894,2.5,-120670,-41.8,-2603,-63.8,22,2.6,1140,2.5
"C3806","3","10","41","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",498,168510,7691094797,57029348,583047,878,45642,"",0.27,0.88,0.97,0.29,0.58,1.11,1.11,"",2,0.4,5490,3.4,420137447,5.8,5535793,10.8,-6467,-1.1,20,2.3,1040,2.3
"C3806","5","10","41","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",103444,1587913,70006503731,13601638580,182311071,848,44087,"",1.02,1.04,1.03,1.02,1.00,1.00,1.00,"",2894,2.9,-57566,-3.5,-1330084684,-1.9,-952887970,-6.5,-32155372,-15.0,14,1.7,734,1.7
"C3806","5","101","42","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",15403,280378,15001440859,2631976998,41304463,1029,53504,"",0.98,0.93,0.97,0.83,0.76,1.05,1.05,"",235,1.5,-37147,-11.7,-1209575563,-7.5,-438132244,-14.3,-10635969,-20.5,47,4.8,2450,4.8
"C3806","5","1011","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",671,12385,566624186,115552363,2116602,880,45751,"",0.46,0.49,0.46,0.43,0.55,0.95,0.95,"",5,0.8,-166,-1.3,66238096,13.2,-7690314,-6.2,-112599,-5.1,113,14.7,5884,14.8
"C3806","5","1012","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",11113,138253,6490911692,1417383851,23605854,903,46950,"",1.10,1.43,1.41,1.28,1.01,0.98,0.98,"",283,2.6,-29677,-17.7,-1105702021,-14.6,-347938504,-19.7,-7330409,-23.7,33,3.8,1713,3.8
"C3806","5","1013","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",3619,129741,7943904981,1099040784,15582007,1177,61229,"",0.88,0.72,0.83,0.61,0.57,1.15,1.15,"",-53,-1.4,-7303,-5.3,-170111638,-2.1,-82503426,-7.0,-3192961,-17.0,38,3.3,2021,3.4
"C3806","5","102","42","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",88041,1307535,55005062872,10969661582,141006608,809,42068,"",1.03,1.06,1.05,1.07,1.11,0.99,0.99,"",2658,3.1,-20419,-1.5,-120509121,-0.2,-514755726,-4.5,-21519403,-13.2,11,1.4,556,1.3
"C3806","5","1021","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",22959,376565,15334205248,3184607143,36740468,783,40721,"",1.04,1.07,1.16,1.01,1.01,1.09,1.09,"",1075,4.9,-8458,-2.2,-538603047,-3.4,-142422041,-4.3,-5920826,-13.9,-10,-1.3,-505,-1.2
"C3806","5","1022","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",1665,30394,1716963192,261091514,3921393,1086,56489,"",0.99,0.75,0.61,0.64,0.63,0.82,0.82,"",14,0.8,-460,-1.5,13563392,0.8,-5906592,-2.2,-496961,-11.2,24,2.3,1281,2.3
"C3806","5","1023","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",12938,145011,8175455799,1320523446,17454739,1084,56378,"",1.31,1.34,1.05,1.24,1.30,0.78,0.78,"",115,0.9,-6250,-4.1,-446385191,-5.2,-105572138,-7.4,-3340082,-16.1,-12,-1.1,-622,-1.1
"C3806","5","1024","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",22869,304010,14102842055,2952552936,43254932,892,46389,"",1.31,1.27,1.05,1.20,1.20,0.83,0.83,"",1066,4.9,-16408,-5.1,-100410559,-0.7,-230060063,-7.2,-8175900,-15.9,40,4.7,2062,4.7
"C3806","5","1025","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",10172,214371,10225301706,1379806715,18354402,917,47699,"",1.05,0.88,1.03,1.07,1.32,1.16,1.16,"",423,4.3,12932,6.4,937414038,10.1,45573473,3.4,-1110110,-5.7,30,3.4,1591,3.5
"C3806","5","1026","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",7465,185026,3859254023,1467524762,16161189,401,20858,"",0.88,1.02,1.15,1.09,1.07,1.13,1.13,"",160,2.2,-495,-0.3,15248710,0.4,-44029934,-2.9,-1654468,-9.3,3,0.8,138,0.7
"C3806","5","1027","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",7448,51025,1546467755,386703049,4804813,583,30308,"",0.54,0.84,0.91,0.83,0.82,1.08,1.08,"",106,1.4,-518,-1.0,23193378,1.5,-16722186,-4.1,-518780,-9.7,15,2.6,755,2.6
"C3806","5","1029","43","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",2526,1132,44573094,16852017,314672,757,39361,"",1.11,0.40,0.35,0.48,0.53,0.87,0.87,"",-301,-10.6,-763,-40.3,-24529842,-35.5,-15616245,-48.1,-302276,-49.0,56,8.0,2903,8.0
"C3806","5","11","44","0","2008","A","","Phoenix-Mesa-Scottsdale, AZ MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",575,8475,243720554,80069115,1124364,553,28756,"",0.53,0.54,0.61,0.52,0.41,1.13,1.13,"",-5,-0.9,-845,-9.1,-1800009,-0.7,-12881858,-13.9,-263663,-19.0,46,9.1,2411,9.2
