"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4170","0","10","40","0","2008","A","","San Antonio-New Braunfels, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",40750,837490,32558568804,6856795373,72121785,748,38876,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-222,-0.5,17528,2.1,1175601406,3.7,161931200,2.4,-38901934,-35.0,12,1.6,602,1.6
"C4170","1","10","41","0","2008","A","","San Antonio-New Braunfels, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",234,30510,1746435409,0,0,1101,57242,"",0.81,1.78,1.80,0.00,0.00,1.01,1.01,"",0,0.0,625,2.1,45018417,2.6,0,0.0,0,0.0,6,0.5,310,0.5
"C4170","2","10","41","0","2008","A","","San Antonio-New Braunfels, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",148,17817,805824525,0,0,870,45228,"",0.49,0.62,0.68,0.00,0.00,1.10,1.10,"",6,4.2,914,5.4,69716489,9.5,0,0.0,0,0.0,33,3.9,1679,3.9
"C4170","3","10","41","0","2008","A","","San Antonio-New Braunfels, TX MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",371,104707,4089728366,38434892,422642,751,39059,"",0.51,1.19,1.28,0.40,1.06,1.08,1.08,"",5,1.4,2895,2.8,257252166,6.7,1220338,3.3,236707,127.3,27,3.7,1416,3.8
"C4170","5","10","41","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",39997,684457,25916580504,6818360481,71699143,728,37864,"",1.01,0.97,0.95,1.01,1.00,0.98,0.98,"",-233,-0.6,13094,2.0,803614334,3.2,160710862,2.4,-39138641,-35.3,9,1.3,458,1.2
"C4170","5","101","42","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",5935,105703,4658260630,1198326215,14772142,847,44070,"",0.97,0.76,0.75,0.75,0.69,0.99,0.99,"",-146,-2.4,1644,1.6,264350829,6.0,26338140,2.2,-8529071,-36.6,35,4.3,1845,4.4
"C4170","5","1011","43","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",598,5971,364548950,62121305,448553,1174,61058,"",1.06,0.51,0.74,0.46,0.30,1.45,1.46,"",19,3.3,448,8.1,9059725,2.5,3062130,5.2,-246694,-35.5,-64,-5.2,-3304,-5.1
"C4170","5","1012","43","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",3887,53256,2257707553,650000456,8851763,815,42394,"",0.98,1.20,1.22,1.17,0.96,1.01,1.01,"",-124,-3.1,3278,6.6,226882165,11.2,54863722,9.2,-3520867,-28.5,34,4.4,1759,4.3
"C4170","5","1013","43","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1451,46476,2036004127,486204454,5471826,842,43807,"",0.90,0.56,0.53,0.54,0.51,0.94,0.94,"",-41,-2.7,-2082,-4.3,28408939,1.4,-31587712,-6.1,-4761510,-46.5,47,5.9,2463,6.0
"C4170","5","102","42","0","2008","A","","San Antonio-New Braunfels, TX MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",34062,578754,21258319874,5620034266,56927001,706,36731,"",1.02,1.03,1.01,1.09,1.14,0.98,0.99,"",-87,-0.3,11450,2.0,539263505,2.6,134372722,2.4,-30609570,-35.0,4,0.6,209,0.6
