"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4738","0","10","40","0","2008","A","","Waco, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4906,103290,3687270729,766456933,7830468,687,35698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-97,-1.9,-491,-0.5,88306944,2.5,1155045,0.2,-4224394,-35.0,20,3.0,1019,2.9
"C4738","1","10","41","0","2008","A","","Waco, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,3881,154200666,0,0,764,39730,"",1.50,1.83,1.40,0.00,0.00,0.76,0.76,"",0,0.0,-659,-14.5,-73912883,-32.4,0,0.0,0,0.0,-202,-20.9,-10518,-20.9
"C4738","2","10","41","0","2008","A","","Waco, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,2603,105759121,0,0,781,40626,"",0.93,0.73,0.79,0.00,0.00,1.08,1.08,"",2,6.2,131,5.3,10464178,11.0,0,0.0,0,0.0,40,5.4,2068,5.4
"C4738","3","10","41","0","2008","A","","Waco, TX MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",114,11084,387230811,3788879,41655,672,34937,"",1.31,1.02,1.07,0.35,0.96,1.05,1.05,"",14,14.0,150,1.4,15953523,4.3,191741,5.3,23691,131.9,19,2.9,981,2.9
"C4738","5","10","41","0","2008","A","","Waco, TX MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4707,85722,3040080131,762668054,7788813,682,35465,"",0.99,0.99,0.99,1.01,1.00,1.00,1.00,"",-112,-2.3,-114,-0.1,135802126,4.7,963304,0.1,-4248085,-35.3,31,4.8,1630,4.8
"C4738","5","101","42","0","2008","A","","Waco, TX MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",765,21683,1025990035,229782737,2924638,910,47319,"",1.04,1.26,1.46,1.29,1.25,1.15,1.16,"",-20,-2.5,258,1.2,59055227,6.1,3264989,1.4,-1493554,-33.8,42,4.8,2187,4.8
"C4738","5","1011","43","0","2008","A","","Waco, TX MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",51,350,11565461,3516376,17997,635,33021,"",0.75,0.24,0.21,0.23,0.11,0.86,0.86,"",5,10.9,22,6.7,819832,7.6,298531,9.3,-6308,-26.0,4,0.6,218,0.7
"C4738","5","1012","43","0","2008","A","","Waco, TX MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",464,5946,209272183,68171628,953975,677,35194,"",0.97,1.09,1.00,1.10,0.95,0.92,0.92,"",-18,-3.7,398,7.2,23152633,12.4,3692605,5.7,-410812,-30.1,32,5.0,1649,4.9
"C4738","5","1013","43","0","2008","A","","Waco, TX MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",250,15386,805152391,158094733,1952666,1006,52330,"",1.29,1.50,1.84,1.57,1.66,1.23,1.23,"",-7,-2.7,-163,-1.0,35082762,4.6,-726147,-0.5,-1076434,-35.5,54,5.7,2803,5.7
"C4738","5","102","42","0","2008","A","","Waco, TX MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3942,64039,2014090096,532885317,4864175,605,31451,"",0.98,0.92,0.85,0.93,0.89,0.92,0.92,"",-93,-2.3,-372,-0.6,76746899,4.0,-2301685,-0.4,-2754531,-36.2,27,4.7,1373,4.6
