"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"04017","0","10","70","0","2010","A","","Navajo County, Arizona","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1785,25899,874427573,131585349,2852866,649,33762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-81,-4.3,-486,-1.8,-25644899,-2.8,-1428328,-1.1,833325,41.3,-7,-1.1,-351,-1.0
"04017","1","10","71","0","2010","A","","Navajo County, Arizona","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,1825,96121063,0,0,1013,52659,"",4.96,3.02,3.18,0.00,0.00,1.05,1.05,"",1,1.5,104,6.0,5589419,6.2,0,0.0,0,0.0,1,0.1,52,0.1
"04017","1","102","72","0","2010","A","","Navajo County, Arizona","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",66,1825,96121063,0,0,1013,52659,"",4.97,3.07,3.24,0.00,0.00,1.06,1.06,"",1,1.5,104,6.0,5589419,6.2,0,0.0,0,0.0,1,0.1,52,0.1
"04017","1","1021","73","0","2010","A","","Navajo County, Arizona","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.36,0.84,0.99,0.00,0.00,1.19,1.19,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","1023","73","0","2010","A","","Navajo County, Arizona","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",5.71,1.23,1.00,0.00,0.00,0.85,0.85,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","1025","73","0","2010","A","","Navajo County, Arizona","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,529,32345595,0,0,1175,61097,"",16.08,7.47,9.15,0.00,0.00,1.22,1.22,"",0,0.0,13,2.5,2309813,7.7,0,0.0,0,0.0,55,4.9,2850,4.9
"04017","1","1026","73","0","2010","A","","Navajo County, Arizona","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",5.91,4.52,7.03,0.00,0.00,1.56,1.56,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","1028","73","0","2010","A","","Navajo County, Arizona","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",38,1112,55241948,0,0,955,49659,"",6.47,3.26,2.97,0.00,0.00,0.91,0.91,"",1,2.7,93,9.1,3059071,5.9,0,0.0,0,0.0,-30,-3.0,-1568,-3.1
"04017","1","48-49","74","0","2010","A","","Navajo County, Arizona","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.46,0.92,1.06,0.00,0.00,1.15,1.15,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","491","75","0","2010","A","","Navajo County, Arizona","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.49,0.94,1.10,0.00,0.00,1.18,1.18,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","4911","76","0","2010","A","","Navajo County, Arizona","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.49,0.94,1.10,0.00,0.00,1.18,1.18,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","49111","77","0","2010","A","","Navajo County, Arizona","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.49,0.94,1.10,0.00,0.00,1.18,1.18,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","491110","78","0","2010","A","","Navajo County, Arizona","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,125,5924024,0,0,912,47424,"",3.49,0.94,1.10,0.00,0.00,1.18,1.18,"",0,0.0,-5,-3.8,13487,0.2,0,0.0,0,0.0,37,4.2,1929,4.2
"04017","1","52","74","0","2010","A","","Navajo County, Arizona","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",5.73,1.23,1.00,0.00,0.00,0.85,0.85,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","522","75","0","2010","A","","Navajo County, Arizona","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",6.83,2.76,2.74,0.00,0.00,1.04,1.04,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","5222","76","0","2010","A","","Navajo County, Arizona","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",6.84,2.77,2.75,0.00,0.00,1.04,1.04,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","52229","77","0","2010","A","","Navajo County, Arizona","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",6.84,2.77,2.75,0.00,0.00,1.04,1.04,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","522292","78","0","2010","A","","Navajo County, Arizona","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,219354,0,0,1100,57223,"",18.73,6.57,7.58,0.00,0.00,1.20,1.20,"",0,0.0,1,33.3,4801,2.2,0,0.0,0,0.0,-108,-8.9,-5573,-8.9
"04017","1","62","74","0","2010","A","","Navajo County, Arizona","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",4,529,32345595,0,0,1175,61097,"",17.68,7.71,9.43,0.00,0.00,1.22,1.22,"",0,0.0,13,2.5,2309813,7.7,0,0.0,0,0.0,55,4.9,2850,4.9
"04017","1","621","75","0","2010","A","","Navajo County, Arizona","Federal Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,1,111650,0,0,2147,111650,"",0.00,0.19,0.40,0.00,0.00,2.09,2.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04017","1","6211","76","0","2010","A","","Navajo County, Arizona","Federal Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,1,111650,0,0,2147,111650,"",0.00,0.31,0.61,0.00,0.00,2.00,2.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04017","1","62111","77","0","2010","A","","Navajo County, Arizona","Federal Government","Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,1,111650,0,0,2147,111650,"",0.00,0.31,0.61,0.00,0.00,2.00,2.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04017","1","621111","78","0","2010","A","","Navajo County, Arizona","Federal Government","Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,1,111650,0,0,2147,111650,"",0.00,0.31,0.61,0.00,0.00,2.00,2.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04017","1","622","75","0","2010","A","","Navajo County, Arizona","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,528,32233945,0,0,1173,61001,"",60.70,8.77,10.47,0.00,0.00,1.19,1.19,"",0,0.0,12,2.3,2198163,7.3,0,0.0,0,0.0,53,4.7,2754,4.7
"04017","1","6221","76","0","2010","A","","Navajo County, Arizona","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,528,32233945,0,0,1173,61001,"",62.59,8.96,10.68,0.00,0.00,1.19,1.19,"",0,0.0,12,2.3,2198163,7.3,0,0.0,0,0.0,53,4.7,2754,4.7
"04017","1","62211","77","0","2010","A","","Navajo County, Arizona","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,528,32233945,0,0,1173,61001,"",62.59,8.96,10.68,0.00,0.00,1.19,1.19,"",0,0.0,12,2.3,2198163,7.3,0,0.0,0,0.0,53,4.7,2754,4.7
"04017","1","622110","78","0","2010","A","","Navajo County, Arizona","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,528,32233945,0,0,1173,61001,"",62.59,8.96,10.68,0.00,0.00,1.19,1.19,"",0,0.0,12,2.3,2198163,7.3,0,0.0,0,0.0,53,4.7,2754,4.7
"04017","1","71","74","0","2010","A","","Navajo County, Arizona","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",8.17,6.23,8.36,0.00,0.00,1.35,1.35,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","712","75","0","2010","A","","Navajo County, Arizona","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",15.24,10.20,10.72,0.00,0.00,1.06,1.06,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","7121","76","0","2010","A","","Navajo County, Arizona","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",15.24,10.20,10.72,0.00,0.00,1.06,1.06,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","71219","77","0","2010","A","","Navajo County, Arizona","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",16.41,13.86,16.16,0.00,0.00,1.17,1.17,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","712190","78","0","2010","A","","Navajo County, Arizona","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,55,2390142,0,0,840,43656,"",16.41,13.86,16.16,0.00,0.00,1.17,1.17,"",0,0.0,2,3.8,202247,9.2,0,0.0,0,0.0,50,6.3,2569,6.3
"04017","1","92","74","0","2010","A","","Navajo County, Arizona","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",38,1112,55241948,0,0,955,49659,"",6.47,3.26,2.97,0.00,0.00,0.91,0.91,"",1,2.7,93,9.1,3059071,5.9,0,0.0,0,0.0,-30,-3.0,-1568,-3.1
"04017","1","921","75","0","2010","A","","Navajo County, Arizona","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,448,21906516,0,0,941,48944,"",22.11,12.63,11.58,0.00,0.00,0.92,0.92,"",0,0.0,3,0.7,314242,1.5,0,0.0,0,0.0,7,0.7,367,0.8
"04017","1","9211","76","0","2010","A","","Navajo County, Arizona","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,448,21906516,0,0,941,48944,"",22.11,12.63,11.58,0.00,0.00,0.92,0.92,"",0,0.0,3,0.7,314242,1.5,0,0.0,0,0.0,7,0.7,367,0.8
"04017","1","92119","77","0","2010","A","","Navajo County, Arizona","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,448,21906516,0,0,941,48944,"",29.34,54.29,48.87,0.00,0.00,0.90,0.90,"",0,0.0,3,0.7,314242,1.5,0,0.0,0,0.0,7,0.7,367,0.8
