"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08027","0","10","70","0","2010","A","","Custer County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",168,869,25636645,10589079,169144,568,29518,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.6,-3,-0.3,1380881,5.7,-43326,-0.4,39382,30.3,33,6.2,1704,6.1
"08027","1","10","71","0","2010","A","","Custer County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,21,812587,0,0,750,39004,"",3.20,1.04,0.92,0.00,0.00,0.89,0.89,"",0,0.0,5,31.2,125744,18.3,0,0.0,0,0.0,-55,-6.8,-2834,-6.8
"08027","1","102","72","0","2010","A","","Custer County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,21,812587,0,0,750,39004,"",3.20,1.05,0.93,0.00,0.00,0.89,0.89,"",0,0.0,5,31.2,125744,18.3,0,0.0,0,0.0,-55,-6.8,-2834,-6.8
"08027","1","1021","73","0","2010","A","","Custer County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.40,2.40,2.93,0.00,0.00,1.26,1.27,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","1028","73","0","2010","A","","Custer County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,300221,0,0,624,32456,"",3.62,0.79,0.55,0.00,0.00,0.68,0.68,"",0,0.0,5,125.0,155472,107.4,0,0.0,0,0.0,-153,-19.7,-7939,-19.7
"08027","1","48-49","74","0","2010","A","","Custer County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.50,2.64,3.14,0.00,0.00,1.23,1.23,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","491","75","0","2010","A","","Custer County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.53,2.69,3.26,0.00,0.00,1.25,1.25,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","4911","76","0","2010","A","","Custer County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.53,2.69,3.26,0.00,0.00,1.25,1.25,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","49111","77","0","2010","A","","Custer County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.53,2.69,3.26,0.00,0.00,1.25,1.25,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","491110","78","0","2010","A","","Custer County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,512366,0,0,851,44233,"",3.53,2.69,3.26,0.00,0.00,1.25,1.25,"",0,0.0,-1,-7.7,-29728,-5.5,0,0.0,0,0.0,39,4.8,1992,4.7
"08027","1","92","74","0","2010","A","","Custer County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,9,300221,0,0,624,32456,"",3.62,0.79,0.55,0.00,0.00,0.68,0.68,"",0,0.0,5,125.0,155472,107.4,0,0.0,0,0.0,-153,-19.7,-7939,-19.7
"08027","1","924","75","0","2010","A","","Custer County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,199078,0,0,867,45074,"",8.15,5.19,5.72,0.00,0.00,1.00,1.00,"",0,0.0,1,33.3,59088,42.2,0,0.0,0,0.0,79,10.0,4101,10.0
"08027","1","9241","76","0","2010","A","","Custer County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,199078,0,0,867,45074,"",8.15,5.19,5.72,0.00,0.00,1.00,1.00,"",0,0.0,1,33.3,59088,42.2,0,0.0,0,0.0,79,10.0,4101,10.0
"08027","1","92412","77","0","2010","A","","Custer County, Colorado","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,199078,0,0,867,45074,"",8.43,6.19,7.51,0.00,0.00,1.10,1.10,"",0,0.0,1,33.3,59088,42.2,0,0.0,0,0.0,79,10.0,4101,10.0
"08027","1","924120","78","0","2010","A","","Custer County, Colorado","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,199078,0,0,867,45074,"",8.43,6.19,7.51,0.00,0.00,1.10,1.10,"",0,0.0,1,33.3,59088,42.2,0,0.0,0,0.0,79,10.0,4101,10.0
"08027","1","926","75","0","2010","A","","Custer County, Colorado","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,101143,0,0,402,20926,"",4.70,1.99,1.06,0.00,0.00,0.55,0.55,"",0,0.0,5,100.0,96384,2025.3,0,0.0,0,0.0,-147,-26.8,-7628,-26.7
"08027","1","9261","76","0","2010","A","","Custer County, Colorado","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,101143,0,0,402,20926,"",4.70,1.99,1.06,0.00,0.00,0.55,0.55,"",0,0.0,5,100.0,96384,2025.3,0,0.0,0,0.0,-147,-26.8,-7628,-26.7
"08027","1","92611","77","0","2010","A","","Custer County, Colorado","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,101143,0,0,402,20926,"",10.42,4.28,3.77,0.00,0.00,0.91,0.91,"",0,0.0,5,100.0,96384,2025.3,0,0.0,0,0.0,-147,-26.8,-7628,-26.7
"08027","1","926110","78","0","2010","A","","Custer County, Colorado","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,101143,0,0,402,20926,"",10.42,4.28,3.77,0.00,0.00,0.91,0.91,"",0,0.0,5,100.0,96384,2025.3,0,0.0,0,0.0,-147,-26.8,-7628,-26.7
"08027","2","10","71","0","2010","A","N","Custer County, Colorado","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","101","72","0","2010","A","N","Custer County, Colorado","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","1012","73","0","2010","A","N","Custer County, Colorado","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","102","72","0","2010","A","N","Custer County, Colorado","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","1028","73","0","2010","A","N","Custer County, Colorado","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","23","74","0","2010","A","N","Custer County, Colorado","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","237","75","0","2010","A","N","Custer County, Colorado","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","2373","76","0","2010","A","N","Custer County, Colorado","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","23731","77","0","2010","A","N","Custer County, Colorado","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"08027","2","237310","78","0","2010","A","N","Custer County, Colorado","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",31.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
