"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13013","0","10","70","0","2010","A","","Barrow County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1127,14708,483956295,113605399,2133363,633,32904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-48,-4.1,-51,-0.3,10947723,2.3,2339561,2.1,644176,43.3,17,2.8,855,2.7
"13013","1","10","71","0","2010","A","","Barrow County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,186,9809602,0,0,1016,52834,"",1.31,0.54,0.59,0.00,0.00,1.08,1.08,"",0,0.0,10,5.7,352239,3.7,0,0.0,0,0.0,-16,-1.6,-825,-1.5
"13013","1","102","72","0","2010","A","","Barrow County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,186,9809602,0,0,1016,52834,"",1.31,0.55,0.60,0.00,0.00,1.09,1.09,"",0,0.0,10,5.7,352239,3.7,0,0.0,0,0.0,-16,-1.6,-825,-1.5
"13013","1","1021","73","0","2010","A","","Barrow County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.01,1.00,1.22,0.00,0.00,1.21,1.22,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
"13013","1","1028","73","0","2010","A","","Barrow County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,101,5783427,0,0,1105,57451,"",1.89,0.52,0.56,0.00,0.00,1.08,1.08,"",0,0.0,12,13.5,293276,5.3,0,0.0,0,0.0,-88,-7.4,-4585,-7.4
"13013","1","48-49","74","0","2010","A","","Barrow County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.04,1.10,1.31,0.00,0.00,1.18,1.18,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
"13013","1","491","75","0","2010","A","","Barrow County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.05,1.13,1.36,0.00,0.00,1.20,1.21,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
"13013","1","4911","76","0","2010","A","","Barrow County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.05,1.13,1.36,0.00,0.00,1.20,1.21,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
"13013","1","49111","77","0","2010","A","","Barrow County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.05,1.13,1.36,0.00,0.00,1.20,1.21,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
"13013","1","491110","78","0","2010","A","","Barrow County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,85,4026175,0,0,911,47367,"",1.05,1.13,1.36,0.00,0.00,1.20,1.21,"",0,0.0,-3,-3.4,58963,1.5,0,0.0,0,0.0,42,4.8,2157,4.8
