"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13229","0","10","70","0","2010","A","","Pierce County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",358,3646,104276222,26120099,442668,550,28601,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-2.5,-85,-2.3,701649,0.7,-114477,-0.4,136328,44.5,16,3.0,837,3.0
"13229","1","10","71","0","2010","A","","Pierce County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,55,2057365,0,0,723,37577,"",4.12,0.65,0.57,0.00,0.00,0.89,0.89,"",0,0.0,10,22.2,294767,16.7,0,0.0,0,0.0,-36,-4.7,-1884,-4.8
"13229","1","102","72","0","2010","A","","Pierce County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,55,2057365,0,0,723,37577,"",4.13,0.66,0.58,0.00,0.00,0.89,0.89,"",0,0.0,10,22.2,294767,16.7,0,0.0,0,0.0,-36,-4.7,-1884,-4.8
"13229","1","1021","73","0","2010","A","","Pierce County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",3.99,1.57,1.92,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","1023","73","0","2010","A","","Pierce County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",28.45,6.53,5.31,0.00,0.00,0.86,0.86,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","1028","73","0","2010","A","","Pierce County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,19,553504,0,0,563,29260,"",4.24,0.40,0.25,0.00,0.00,0.63,0.63,"",0,0.0,10,111.1,233425,72.9,0,0.0,0,0.0,-91,-13.9,-4731,-13.9
"13229","1","48-49","74","0","2010","A","","Pierce County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",4.11,1.73,2.05,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","491","75","0","2010","A","","Pierce County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",4.14,1.76,2.13,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","4911","76","0","2010","A","","Pierce County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",4.14,1.76,2.13,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","49111","77","0","2010","A","","Pierce County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",4.14,1.76,2.13,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","491110","78","0","2010","A","","Pierce County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,33,1365097,0,0,796,41367,"",4.14,1.76,2.13,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,22024,1.6,0,0.0,0,0.0,19,2.4,974,2.4
"13229","1","52","74","0","2010","A","","Pierce County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",28.58,6.57,5.32,0.00,0.00,0.86,0.86,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","522","75","0","2010","A","","Pierce County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",34.04,14.72,14.56,0.00,0.00,1.05,1.05,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","5222","76","0","2010","A","","Pierce County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",34.08,14.78,14.61,0.00,0.00,1.05,1.05,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","52229","77","0","2010","A","","Pierce County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",34.08,14.78,14.61,0.00,0.00,1.05,1.05,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","522298","78","0","2010","A","","Pierce County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,138764,0,0,942,48976,"",65.42,34.59,30.61,0.00,0.00,0.94,0.94,"",0,0.0,1,50.0,39318,39.5,0,0.0,0,0.0,-14,-1.5,-747,-1.5
"13229","1","92","74","0","2010","A","","Pierce County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,19,553504,0,0,563,29260,"",4.24,0.40,0.25,0.00,0.00,0.63,0.63,"",0,0.0,10,111.1,233425,72.9,0,0.0,0,0.0,-91,-13.9,-4731,-13.9
"13229","1","924","75","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,360402,0,0,866,45050,"",7.65,2.48,2.54,0.00,0.00,1.03,1.03,"",0,0.0,1,14.3,90554,33.6,0,0.0,0,0.0,142,19.6,7397,19.6
"13229","1","9241","76","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,360402,0,0,866,45050,"",7.65,2.48,2.54,0.00,0.00,1.03,1.03,"",0,0.0,1,14.3,90554,33.6,0,0.0,0,0.0,142,19.6,7397,19.6
"13229","1","92412","77","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,360402,0,0,866,45050,"",7.91,2.95,3.34,0.00,0.00,1.13,1.13,"",0,0.0,1,14.3,90554,33.6,0,0.0,0,0.0,142,19.6,7397,19.6
"13229","1","924120","78","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,360402,0,0,866,45050,"",7.91,2.95,3.34,0.00,0.00,1.13,1.13,"",0,0.0,1,14.3,90554,33.6,0,0.0,0,0.0,142,19.6,7397,19.6
"13229","1","926","75","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,193102,0,0,340,17689,"",6.61,1.04,0.50,0.00,0.00,0.48,0.48,"",0,0.0,9,450.0,142871,284.4,0,0.0,0,0.0,-89,-20.7,-4636,-20.8
"13229","1","9261","76","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,193102,0,0,340,17689,"",6.61,1.04,0.50,0.00,0.00,0.48,0.48,"",0,0.0,9,450.0,142871,284.4,0,0.0,0,0.0,-89,-20.7,-4636,-20.8
"13229","1","92611","77","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,193102,0,0,340,17689,"",9.78,2.24,1.77,0.00,0.00,0.80,0.80,"",0,0.0,9,450.0,142871,284.4,0,0.0,0,0.0,-89,-20.7,-4636,-20.8
"13229","1","926110","78","0","2010","A","","Pierce County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,193102,0,0,340,17689,"",9.78,2.24,1.77,0.00,0.00,0.80,0.80,"",0,0.0,9,450.0,142871,284.4,0,0.0,0,0.0,-89,-20.7,-4636,-20.8
"13229","1","92614","77","0","2010","A","","Pierce County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.10,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"13229","1","926140","78","0","2010","A","","Pierce County, Georgia","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",7.10,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"13229","2","10","71","0","2010","A","","Pierce County, Georgia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,1261848,0,0,544,28303,"",2.63,0.34,0.32,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-11067,-0.9,0,0.0,0,0.0,0,0.0,16,0.1
"13229","2","102","72","0","2010","A","","Pierce County, Georgia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,1261848,0,0,544,28303,"",2.70,0.35,0.33,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-11067,-0.9,0,0.0,0,0.0,0,0.0,16,0.1
"13229","2","1021","73","0","2010","A","N","Pierce County, Georgia","State Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",25.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","1025","73","0","2010","A","N","Pierce County, Georgia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","1028","73","0","2010","A","","Pierce County, Georgia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,471036,0,0,525,27306,"",2.08,0.32,0.29,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-31540,-6.3,0,0.0,0,0.0,-33,-5.9,-1689,-5.8
"13229","2","48-49","74","0","2010","A","N","Pierce County, Georgia","State Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",49.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","488","75","0","2010","A","N","Pierce County, Georgia","State Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",60.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","4881","76","0","2010","A","N","Pierce County, Georgia","State Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",110.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","48811","77","0","2010","A","N","Pierce County, Georgia","State Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",111.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","488111","78","0","2010","A","N","Pierce County, Georgia","State Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",114.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","62","74","0","2010","A","N","Pierce County, Georgia","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",8.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13229","2","621","75","0","2010","A","N","Pierce County, Georgia","State Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",24.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
