"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13247","0","10","70","0","2010","A","","Rockdale County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2123,29154,1153179679,241918486,6015375,761,39555,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-1.0,259,0.9,40249757,3.6,8704844,3.7,1708713,39.7,20,2.7,1038,2.7
"13247","1","10","71","0","2010","A","","Rockdale County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,132,6096871,0,0,889,46247,"",0.44,0.19,0.15,0.00,0.00,0.79,0.79,"",1,16.7,11,9.1,-28727,-0.5,0,0.0,0,0.0,-83,-8.5,-4273,-8.5
"13247","1","102","72","0","2010","A","","Rockdale County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,132,6096871,0,0,889,46247,"",0.44,0.20,0.16,0.00,0.00,0.79,0.79,"",1,16.7,11,9.1,-28727,-0.5,0,0.0,0,0.0,-83,-8.5,-4273,-8.5
"13247","1","1021","73","0","2010","A","","Rockdale County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.27,0.62,0.68,0.00,0.00,1.10,1.10,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
"13247","1","1028","73","0","2010","A","","Rockdale County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,28,738600,0,0,512,26616,"",0.72,0.07,0.03,0.00,0.00,0.42,0.42,"",1,25.0,16,133.3,230773,45.4,0,0.0,0,0.0,-308,-37.6,-15999,-37.5
"13247","1","48-49","74","0","2010","A","","Rockdale County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.28,0.68,0.73,0.00,0.00,1.07,1.07,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
"13247","1","491","75","0","2010","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.28,0.69,0.76,0.00,0.00,1.09,1.09,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
"13247","1","4911","76","0","2010","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.28,0.69,0.76,0.00,0.00,1.09,1.09,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
"13247","1","49111","77","0","2010","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.28,0.69,0.76,0.00,0.00,1.09,1.09,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
"13247","1","491110","78","0","2010","A","","Rockdale County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,104,5358271,0,0,990,51481,"",0.28,0.69,0.76,0.00,0.00,1.09,1.09,"",0,0.0,-5,-4.6,-259500,-4.6,0,0.0,0,0.0,2,0.2,99,0.2
