"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"16075","0","10","70","0","2010","A","","Payette County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",598,5760,173569729,104962301,3655026,580,30136,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-4.0,43,0.8,4215854,2.5,3858719,3.8,2021050,123.7,10,1.8,515,1.7
"16075","1","10","71","0","2010","A","","Payette County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,43,1622848,0,0,734,38185,"",1.80,0.32,0.27,0.00,0.00,0.85,0.86,"",0,0.0,3,7.5,-48846,-2.9,0,0.0,0,0.0,-80,-9.8,-4136,-9.8
"16075","1","102","72","0","2010","A","","Payette County, Idaho","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,43,1622848,0,0,734,38185,"",1.80,0.33,0.28,0.00,0.00,0.86,0.86,"",0,0.0,3,7.5,-48846,-2.9,0,0.0,0,0.0,-80,-9.8,-4136,-9.8
"16075","1","1021","73","0","2010","A","","Payette County, Idaho","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.43,0.90,1.10,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
"16075","1","1028","73","0","2010","A","","Payette County, Idaho","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,12,321941,0,0,512,26643,"",2.54,0.16,0.09,0.00,0.00,0.55,0.55,"",0,0.0,3,33.3,-32832,-9.3,0,0.0,0,0.0,-219,-30.0,-11368,-29.9
"16075","1","48-49","74","0","2010","A","","Payette County, Idaho","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.47,0.99,1.18,0.00,0.00,1.16,1.17,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
"16075","1","491","75","0","2010","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.49,1.01,1.22,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
"16075","1","4911","76","0","2010","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.49,1.01,1.22,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
"16075","1","49111","77","0","2010","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.49,1.01,1.22,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
"16075","1","491110","78","0","2010","A","","Payette County, Idaho","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,30,1300907,0,0,822,42770,"",1.49,1.01,1.22,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,-16014,-1.2,0,0.0,0,0.0,-18,-2.1,-885,-2.0
