"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17039","0","10","70","0","2010","A","","DeWitt County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",415,5296,217617365,55170686,1484722,790,41089,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,184,3.6,3248697,1.5,3284102,6.3,314205,26.8,-16,-2.0,-845,-2.0
"17039","1","10","71","0","2010","A","","DeWitt County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,59,2500119,0,0,820,42616,"",3.56,0.48,0.33,0.00,0.00,0.70,0.70,"",0,0.0,4,7.3,74792,3.1,0,0.0,0,0.0,-27,-3.2,-1414,-3.2
"17039","1","102","72","0","2010","A","","DeWitt County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,59,2500119,0,0,820,42616,"",3.56,0.49,0.34,0.00,0.00,0.70,0.70,"",0,0.0,4,7.3,74792,3.1,0,0.0,0,0.0,-27,-3.2,-1414,-3.2
"17039","1","1021","73","0","2010","A","","DeWitt County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",4.82,1.44,1.31,0.00,0.00,0.91,0.91,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","1028","73","0","2010","A","","DeWitt County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,559969,0,0,722,37540,"",2.93,0.21,0.12,0.00,0.00,0.57,0.57,"",0,0.0,4,36.4,99804,21.7,0,0.0,0,0.0,-114,-13.6,-5940,-13.7
"17039","1","48-49","74","0","2010","A","","DeWitt County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",4.96,1.59,1.40,0.00,0.00,0.89,0.89,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","491","75","0","2010","A","","DeWitt County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",5.00,1.62,1.45,0.00,0.00,0.90,0.90,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","4911","76","0","2010","A","","DeWitt County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",5.00,1.62,1.45,0.00,0.00,0.90,0.90,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","49111","77","0","2010","A","","DeWitt County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",5.00,1.62,1.45,0.00,0.00,0.90,0.90,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","491110","78","0","2010","A","","DeWitt County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,44,1940150,0,0,853,44346,"",5.00,1.62,1.45,0.00,0.00,0.90,0.90,"",0,0.0,-1,-2.2,-25012,-1.3,0,0.0,0,0.0,4,0.5,185,0.4
"17039","1","92","74","0","2010","A","","DeWitt County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,15,559969,0,0,722,37540,"",2.93,0.21,0.12,0.00,0.00,0.57,0.57,"",0,0.0,4,36.4,99804,21.7,0,0.0,0,0.0,-114,-13.6,-5940,-13.7
"17039","1","924","75","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,57474,0,0,1105,57474,"",3.30,0.21,0.19,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,-829,-1.4,0,0.0,0,0.0,-390,-26.1,-20263,-26.1
"17039","1","9241","76","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,57474,0,0,1105,57474,"",3.30,0.21,0.19,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,-829,-1.4,0,0.0,0,0.0,-390,-26.1,-20263,-26.1
"17039","1","92412","77","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,57474,0,0,1105,57474,"",3.41,0.25,0.26,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,-829,-1.4,0,0.0,0,0.0,-390,-26.1,-20263,-26.1
"17039","1","924120","78","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,57474,0,0,1105,57474,"",3.41,0.25,0.26,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,-829,-1.4,0,0.0,0,0.0,-390,-26.1,-20263,-26.1
"17039","1","926","75","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,502495,0,0,694,36107,"",5.70,0.91,0.62,0.00,0.00,0.68,0.68,"",0,0.0,4,40.0,100633,25.0,0,0.0,0,0.0,-92,-11.7,-4760,-11.6
"17039","1","9261","76","0","2010","A","","DeWitt County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,14,502495,0,0,694,36107,"",5.70,0.91,0.62,0.00,0.00,0.68,0.68,"",0,0.0,4,40.0,100633,25.0,0,0.0,0,0.0,-92,-11.7,-4760,-11.6
