"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17119","0","10","70","0","2010","A","","Madison County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5985,93242,3606562384,935305774,33779440,744,38680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,0.5,1900,2.1,126392026,3.6,22299160,2.4,9097706,36.9,11,1.5,580,1.5
"17119","1","10","71","0","2010","A","","Madison County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",43,687,33766994,0,0,945,49122,"",0.96,0.32,0.27,0.00,0.00,0.86,0.86,"",0,0.0,38,5.9,1244688,3.8,0,0.0,0,0.0,-19,-2.0,-996,-2.0
"17119","1","102","72","0","2010","A","","Madison County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",43,687,33766994,0,0,945,49122,"",0.97,0.32,0.28,0.00,0.00,0.86,0.86,"",0,0.0,38,5.9,1244688,3.8,0,0.0,0,0.0,-19,-2.0,-996,-2.0
"17119","1","1021","73","0","2010","A","","Madison County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,460,23560668,0,0,984,51172,"",1.29,0.86,0.96,0.00,0.00,1.12,1.12,"",0,0.0,-23,-4.8,-178798,-0.8,0,0.0,0,0.0,39,4.1,2056,4.2
"17119","1","1023","73","0","2010","A","","Madison County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,391619,0,0,1643,85444,"",3.40,0.43,0.43,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,11066,2.9,0,0.0,0,0.0,129,8.5,6709,8.5
"17119","1","1024","73","0","2010","A","","Madison County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,41,2902059,0,0,1353,70353,"",0.94,0.77,0.81,0.00,0.00,1.04,1.04,"",0,0.0,2,5.1,177765,6.5,0,0.0,0,0.0,24,1.8,1238,1.8
"17119","1","1028","73","0","2010","A","","Madison County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,181,6912648,0,0,734,38156,"",0.66,0.15,0.09,0.00,0.00,0.61,0.61,"",0,0.0,60,49.6,1234655,21.7,0,0.0,0,0.0,-166,-18.4,-8641,-18.5
"17119","1","48-49","74","0","2010","A","","Madison County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,460,23560668,0,0,984,51172,"",1.33,0.94,1.02,0.00,0.00,1.09,1.09,"",0,0.0,-23,-4.8,-178798,-0.8,0,0.0,0,0.0,39,4.1,2056,4.2
"17119","1","491","75","0","2010","A","","Madison County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,460,23560668,0,0,984,51172,"",1.34,0.96,1.07,0.00,0.00,1.11,1.11,"",0,0.0,-23,-4.8,-178798,-0.8,0,0.0,0,0.0,39,4.1,2056,4.2
"17119","1","4911","76","0","2010","A","","Madison County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,460,23560668,0,0,984,51172,"",1.34,0.96,1.07,0.00,0.00,1.11,1.11,"",0,0.0,-23,-4.8,-178798,-0.8,0,0.0,0,0.0,39,4.1,2056,4.2
