"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17999","0","10","70","0","2010","A","","Unknown Or Undefined, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",37361,130347,9040131396,2086568939,80960059,1334,69355,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2023,5.7,3480,2.7,570536123,6.7,108842595,5.5,19591456,31.9,50,3.9,2595,3.9
"17999","1","10","71","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,63,6580036,0,0,2009,104445,"",0.04,0.02,0.02,0.00,0.00,1.02,1.02,"",2,25.0,54,600.0,6008956,1052.2,0,0.0,0,0.0,730,57.1,37911,57.0
"17999","1","102","72","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,63,6580036,0,0,2009,104445,"",0.04,0.02,0.02,0.00,0.00,1.02,1.02,"",2,25.0,54,600.0,6008956,1052.2,0,0.0,0,0.0,730,57.1,37911,57.0
"17999","1","1024","73","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,196503,0,0,3779,196503,"",0.15,0.01,0.02,0.00,0.00,1.62,1.62,"",0,0.0,0,0.0,4529,2.4,0,0.0,0,0.0,87,2.4,4529,2.4
"17999","1","1025","73","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"",0.38,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"17999","1","1026","73","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",0.14,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"17999","1","1028","73","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,62,6383533,0,0,1980,102960,"",0.05,0.04,0.03,0.00,0.00,0.92,0.92,"",2,50.0,54,675.0,6004427,1583.8,0,0.0,0,0.0,1019,106.0,52968,106.0
"17999","1","54","74","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,196503,0,0,3779,196503,"",0.17,0.01,0.02,0.00,0.00,1.60,1.60,"",0,0.0,0,0.0,4529,2.4,0,0.0,0,0.0,87,2.4,4529,2.4
"17999","1","541","75","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,196503,0,0,3779,196503,"",0.17,0.01,0.02,0.00,0.00,1.60,1.60,"",0,0.0,0,0.0,4529,2.4,0,0.0,0,0.0,87,2.4,4529,2.4
"17999","1","5417","76","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,196503,0,0,3779,196503,"",2.13,0.11,0.15,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,4529,2.4,0,0.0,0,0.0,87,2.4,4529,2.4
"17999","1","54171","77","0","2010","A","","Unknown Or Undefined, Illinois","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,196503,0,0,3779,196503,"",2.13,0.11,0.15,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,4529,2.4,0,0.0,0,0.0,87,2.4,4529,2.4
