"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18037","0","10","70","0","2010","A","","Dubois County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1288,26191,905503868,178242026,4883298,665,34573,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-1.5,-351,-1.3,10065306,1.1,2599936,1.5,829851,20.5,16,2.5,836,2.5
"18037","1","10","71","0","2010","A","","Dubois County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,117,5220032,0,0,860,44711,"",1.67,0.19,0.17,0.00,0.00,0.87,0.87,"",0,0.0,4,3.5,160330,3.2,0,0.0,0,0.0,-2,-0.2,-98,-0.2
"18037","1","102","72","0","2010","A","","Dubois County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,117,5220032,0,0,860,44711,"",1.67,0.19,0.17,0.00,0.00,0.87,0.88,"",0,0.0,4,3.5,160330,3.2,0,0.0,0,0.0,-2,-0.2,-98,-0.2
"18037","1","1021","73","0","2010","A","","Dubois County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.00,0.52,0.54,0.00,0.00,1.03,1.03,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","1023","73","0","2010","A","","Dubois County, Indiana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,154092,0,0,988,51364,"",7.91,0.91,0.68,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,8768,6.0,0,0.0,0,0.0,56,6.0,2923,6.0
"18037","1","1024","73","0","2010","A","","Dubois County, Indiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,264629,0,0,1001,52058,"",4.37,0.34,0.29,0.00,0.00,0.86,0.86,"",0,0.0,0,0.0,26863,11.3,0,0.0,0,0.0,38,3.9,2002,4.0
"18037","1","1028","73","0","2010","A","","Dubois County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,29,1451999,0,0,955,49641,"",1.18,0.08,0.08,0.00,0.00,0.89,0.89,"",0,0.0,5,20.8,173453,13.6,0,0.0,0,0.0,-52,-5.2,-2723,-5.2
"18037","1","48-49","74","0","2010","A","","Dubois County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.05,0.58,0.58,0.00,0.00,1.00,1.00,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","491","75","0","2010","A","","Dubois County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.07,0.59,0.60,0.00,0.00,1.02,1.02,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","4911","76","0","2010","A","","Dubois County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.07,0.59,0.60,0.00,0.00,1.02,1.02,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","49111","77","0","2010","A","","Dubois County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.07,0.59,0.60,0.00,0.00,1.02,1.02,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","491110","78","0","2010","A","","Dubois County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,79,3349312,0,0,811,42174,"",2.07,0.59,0.60,0.00,0.00,1.02,1.02,"",0,0.0,-2,-2.5,-48754,-1.4,0,0.0,0,0.0,2,0.2,93,0.2
"18037","1","52","74","0","2010","A","","Dubois County, Indiana","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,154092,0,0,988,51364,"",7.94,0.91,0.68,0.00,0.00,0.74,0.74,"",0,0.0,0,0.0,8768,6.0,0,0.0,0,0.0,56,6.0,2923,6.0
"18037","1","522","75","0","2010","A","","Dubois County, Indiana","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,154092,0,0,988,51364,"",9.46,2.05,1.86,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,8768,6.0,0,0.0,0,0.0,56,6.0,2923,6.0
"18037","1","5222","76","0","2010","A","","Dubois County, Indiana","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,154092,0,0,988,51364,"",9.47,2.06,1.87,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,8768,6.0,0,0.0,0,0.0,56,6.0,2923,6.0
"18037","1","52229","77","0","2010","A","","Dubois County, Indiana","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,154092,0,0,988,51364,"",9.47,2.06,1.87,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,8768,6.0,0,0.0,0,0.0,56,6.0,2923,6.0
