"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18059","0","10","70","0","2010","A","","Hancock County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1414,18845,686859556,126861984,3907731,701,36448,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.6,399,2.2,22411689,3.4,8195326,6.9,858836,28.2,8,1.2,428,1.2
"18059","1","10","71","0","2010","A","","Hancock County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,109,5274566,0,0,933,48502,"",1.04,0.25,0.22,0.00,0.00,0.90,0.90,"",0,0.0,-13,-10.7,-294087,-5.3,0,0.0,0,0.0,57,6.5,2951,6.5
"18059","1","102","72","0","2010","A","","Hancock County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,109,5274566,0,0,933,48502,"",1.05,0.25,0.23,0.00,0.00,0.90,0.90,"",0,0.0,-13,-10.7,-294087,-5.3,0,0.0,0,0.0,57,6.5,2951,6.5
"18059","1","1021","73","0","2010","A","","Hancock County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.62,0.94,1.06,0.00,0.00,1.13,1.13,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","1028","73","0","2010","A","","Hancock County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,325867,0,0,906,47113,"",0.64,0.03,0.02,0.00,0.00,0.80,0.80,"",0,0.0,-3,-30.0,-40388,-11.0,0,0.0,0,0.0,219,31.9,11381,31.9
"18059","1","48-49","74","0","2010","A","","Hancock County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.66,1.03,1.13,0.00,0.00,1.10,1.10,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","491","75","0","2010","A","","Hancock County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.68,1.05,1.17,0.00,0.00,1.12,1.12,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","4911","76","0","2010","A","","Hancock County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.68,1.05,1.17,0.00,0.00,1.12,1.12,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","49111","77","0","2010","A","","Hancock County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.68,1.05,1.17,0.00,0.00,1.12,1.12,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","491110","78","0","2010","A","","Hancock County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,102,4948699,0,0,935,48596,"",1.68,1.05,1.17,0.00,0.00,1.12,1.12,"",0,0.0,-10,-8.9,-253699,-4.9,0,0.0,0,0.0,42,4.7,2146,4.6
"18059","1","92","74","0","2010","A","","Hancock County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,325867,0,0,906,47113,"",0.64,0.03,0.02,0.00,0.00,0.80,0.80,"",0,0.0,-3,-30.0,-40388,-11.0,0,0.0,0,0.0,219,31.9,11381,31.9
"18059","1","921","75","0","2010","A","","Hancock County, Indiana","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,85260,0,0,1640,85260,"",2.54,0.04,0.06,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,-8922,-9.5,0,0.0,0,0.0,-171,-9.4,-8922,-9.5
"18059","1","9211","76","0","2010","A","","Hancock County, Indiana","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,85260,0,0,1640,85260,"",2.54,0.04,0.06,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,-8922,-9.5,0,0.0,0,0.0,-171,-9.4,-8922,-9.5
"18059","1","92119","77","0","2010","A","","Hancock County, Indiana","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,85260,0,0,1640,85260,"",3.37,0.17,0.24,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-8922,-9.5,0,0.0,0,0.0,-171,-9.4,-8922,-9.5
"18059","1","921190","78","0","2010","A","","Hancock County, Indiana","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,85260,0,0,1640,85260,"",3.37,0.17,0.24,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-8922,-9.5,0,0.0,0,0.0,-171,-9.4,-8922,-9.5
"18059","1","926","75","0","2010","A","","Hancock County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,240607,0,0,782,40666,"",1.12,0.11,0.09,0.00,0.00,0.86,0.86,"",0,0.0,-3,-33.3,-31466,-11.6,0,0.0,0,0.0,216,38.2,11253,38.3
"18059","1","9261","76","0","2010","A","","Hancock County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,240607,0,0,782,40666,"",1.12,0.11,0.09,0.00,0.00,0.86,0.86,"",0,0.0,-3,-33.3,-31466,-11.6,0,0.0,0,0.0,216,38.2,11253,38.3
"18059","1","92611","77","0","2010","A","","Hancock County, Indiana","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,8247,0,0,476,24741,"",1.24,0.00,0.01,0.00,0.00,0.87,0.87,"",0,0.0,-4,-100.0,-36865,-81.7,0,0.0,0,0.0,259,119.4,13463,119.4
