"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18069","0","10","70","0","2010","A","","Huntington County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",863,13606,432778797,86752067,2747596,612,31808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-1.4,294,2.2,20085368,4.9,5259651,6.5,623956,29.4,16,2.7,806,2.6
"18069","1","10","71","0","2010","A","","Huntington County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,102,4415025,0,0,829,43108,"",1.56,0.32,0.30,0.00,0.00,0.91,0.92,"",0,0.0,10,10.9,339830,8.3,0,0.0,0,0.0,-24,-2.8,-1228,-2.8
"18069","1","102","72","0","2010","A","","Huntington County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,102,4415025,0,0,829,43108,"",1.56,0.33,0.30,0.00,0.00,0.92,0.92,"",0,0.0,10,10.9,339830,8.3,0,0.0,0,0.0,-24,-2.8,-1228,-2.8
"18069","1","1021","73","0","2010","A","","Huntington County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,70,3239742,0,0,890,46282,"",1.99,0.89,1.10,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,103595,3.3,0,0.0,0,0.0,25,2.9,1319,2.9
"18069","1","1024","73","0","2010","A","","Huntington County, Indiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,239966,0,0,1154,59992,"",6.52,0.52,0.56,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,26675,12.5,0,0.0,0,0.0,9,0.8,469,0.8
"18069","1","1028","73","0","2010","A","","Huntington County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,28,935317,0,0,633,32914,"",1.06,0.16,0.10,0.00,0.00,0.64,0.64,"",0,0.0,9,47.4,209560,28.9,0,0.0,0,0.0,-118,-15.7,-6140,-15.7
"18069","1","48-49","74","0","2010","A","","Huntington County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,70,3239742,0,0,890,46282,"",2.04,0.98,1.17,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,103595,3.3,0,0.0,0,0.0,25,2.9,1319,2.9
"18069","1","491","75","0","2010","A","","Huntington County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,70,3239742,0,0,890,46282,"",2.06,1.00,1.22,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,103595,3.3,0,0.0,0,0.0,25,2.9,1319,2.9
"18069","1","4911","76","0","2010","A","","Huntington County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,70,3239742,0,0,890,46282,"",2.06,1.00,1.22,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,103595,3.3,0,0.0,0,0.0,25,2.9,1319,2.9
"18069","1","49111","77","0","2010","A","","Huntington County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,70,3239742,0,0,890,46282,"",2.06,1.00,1.22,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,103595,3.3,0,0.0,0,0.0,25,2.9,1319,2.9
