"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19053","0","10","70","0","2010","A","","Decatur County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",207,2142,55802683,26677472,501566,501,26052,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.0,-59,-2.7,-1842756,-3.2,-659842,-2.4,163514,48.4,-3,-0.6,-143,-0.5
"19053","1","10","71","0","2010","A","","Decatur County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,43,1810285,0,0,808,42018,"",8.43,0.86,0.94,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,60659,3.5,0,0.0,0,0.0,19,2.4,1011,2.5
"19053","1","102","72","0","2010","A","","Decatur County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,43,1810285,0,0,808,42018,"",8.45,0.87,0.96,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,60659,3.5,0,0.0,0,0.0,19,2.4,1011,2.5
"19053","1","1021","73","0","2010","A","","Decatur County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.04,2.43,3.09,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","1028","73","0","2010","A","","Decatur County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,634125,0,0,932,48468,"",7.34,0.46,0.53,0.00,0.00,1.15,1.15,"",0,0.0,1,8.3,50339,8.6,0,0.0,0,0.0,22,2.4,1134,2.4
"19053","1","48-49","74","0","2010","A","","Decatur County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.36,2.67,3.31,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","491","75","0","2010","A","","Decatur County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.45,2.73,3.44,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","4911","76","0","2010","A","","Decatur County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.45,2.73,3.44,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","49111","77","0","2010","A","","Decatur County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.45,2.73,3.44,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","491110","78","0","2010","A","","Decatur County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,30,1176160,0,0,754,39205,"",11.45,2.73,3.44,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,10320,0.9,0,0.0,0,0.0,15,2.0,771,2.0
"19053","1","92","74","0","2010","A","","Decatur County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,634125,0,0,932,48468,"",7.34,0.46,0.53,0.00,0.00,1.15,1.15,"",0,0.0,1,8.3,50339,8.6,0,0.0,0,0.0,22,2.4,1134,2.4
"19053","1","924","75","0","2010","A","","Decatur County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,181850,0,0,999,51957,"",13.23,2.11,2.40,0.00,0.00,1.30,1.30,"",0,0.0,1,33.3,33549,22.6,0,0.0,0,0.0,21,2.1,1111,2.2
