"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20007","0","10","70","0","2010","A","","Barber County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",240,1776,46062605,24369026,308454,499,25941,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,3.0,-101,-5.4,-4586255,-9.1,-679988,-2.7,123908,67.1,-20,-3.9,-1044,-3.9
"20007","1","10","71","0","2010","A","","Barber County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,28,967902,0,0,671,34879,"",5.59,0.68,0.61,0.00,0.00,0.91,0.91,"",0,0.0,-1,-3.4,-66870,-6.5,0,0.0,0,0.0,-7,-1.0,-397,-1.1
"20007","1","102","72","0","2010","A","","Barber County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,28,967902,0,0,671,34879,"",5.60,0.69,0.62,0.00,0.00,0.91,0.91,"",0,0.0,-1,-3.4,-66870,-6.5,0,0.0,0,0.0,-7,-1.0,-397,-1.1
"20007","1","1021","73","0","2010","A","","Barber County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.14,1.76,2.23,0.00,0.00,1.25,1.25,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
"20007","1","1028","73","0","2010","A","","Barber County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,268201,0,0,543,28232,"",5.07,0.43,0.27,0.00,0.00,0.67,0.67,"",0,0.0,1,11.1,-32800,-10.9,0,0.0,0,0.0,-83,-13.3,-4309,-13.2
"20007","1","48-49","74","0","2010","A","","Barber County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.35,1.93,2.38,0.00,0.00,1.21,1.22,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
"20007","1","491","75","0","2010","A","","Barber County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.41,1.97,2.48,0.00,0.00,1.24,1.24,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
"20007","1","4911","76","0","2010","A","","Barber County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.41,1.97,2.48,0.00,0.00,1.24,1.24,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
"20007","1","49111","77","0","2010","A","","Barber County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.41,1.97,2.48,0.00,0.00,1.24,1.24,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
"20007","1","491110","78","0","2010","A","","Barber County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,18,699701,0,0,737,38340,"",7.41,1.97,2.48,0.00,0.00,1.24,1.24,"",0,0.0,-2,-10.0,-34070,-4.6,0,0.0,0,0.0,34,4.8,1804,4.9
