"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21045","0","10","70","0","2010","A","","Casey County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",244,3375,89303126,19627469,721465,509,26462,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.2,60,1.8,2791013,3.2,752822,4.0,110132,18.0,7,1.4,365,1.4
"21045","1","10","71","0","2010","A","","Casey County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,34,1208593,0,0,682,35460,"",4.95,0.43,0.39,0.00,0.00,0.90,0.91,"",0,0.0,0,0.0,-34623,-2.8,0,0.0,0,0.0,-18,-2.6,-927,-2.5
"21045","1","102","72","0","2010","A","","Casey County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,34,1208593,0,0,682,35460,"",4.96,0.44,0.40,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,-34623,-2.8,0,0.0,0,0.0,-18,-2.6,-927,-2.5
"21045","1","1021","73","0","2010","A","","Casey County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.03,1.13,1.31,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","1028","73","0","2010","A","","Casey County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,408493,0,0,650,33806,"",3.74,0.27,0.22,0.00,0.00,0.79,0.79,"",0,0.0,2,20.0,58824,16.8,0,0.0,0,0.0,-40,-5.8,-2057,-5.7
"21045","1","48-49","74","0","2010","A","","Casey County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.23,1.24,1.41,0.00,0.00,1.13,1.13,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","491","75","0","2010","A","","Casey County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.29,1.27,1.46,0.00,0.00,1.15,1.15,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","4911","76","0","2010","A","","Casey County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.29,1.27,1.46,0.00,0.00,1.15,1.15,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","49111","77","0","2010","A","","Casey County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.29,1.27,1.46,0.00,0.00,1.15,1.15,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","491110","78","0","2010","A","","Casey County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,22,800100,0,0,699,36368,"",7.29,1.27,1.46,0.00,0.00,1.15,1.15,"",0,0.0,-2,-8.3,-93447,-10.5,0,0.0,0,0.0,-5,-0.7,-228,-0.6
"21045","1","92","74","0","2010","A","","Casey County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,408493,0,0,650,33806,"",3.74,0.27,0.22,0.00,0.00,0.79,0.79,"",0,0.0,2,20.0,58824,16.8,0,0.0,0,0.0,-40,-5.8,-2057,-5.7
"21045","1","924","75","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,322975,0,0,801,41674,"",11.22,2.67,2.66,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,7130,2.3,0,0.0,0,0.0,42,5.5,2193,5.6
"21045","1","9241","76","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,322975,0,0,801,41674,"",11.22,2.67,2.66,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,7130,2.3,0,0.0,0,0.0,42,5.5,2193,5.6
"21045","1","92412","77","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,322975,0,0,801,41674,"",11.61,3.19,3.50,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,7130,2.3,0,0.0,0,0.0,42,5.5,2193,5.6
"21045","1","924120","78","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,322975,0,0,801,41674,"",11.61,3.19,3.50,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,7130,2.3,0,0.0,0,0.0,42,5.5,2193,5.6
"21045","1","926","75","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,85518,0,0,380,19735,"",3.23,0.41,0.26,0.00,0.00,0.58,0.58,"",0,0.0,2,100.0,51694,152.8,0,0.0,0,0.0,8,2.2,407,2.1
"21045","1","9261","76","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,85518,0,0,380,19735,"",3.23,0.41,0.26,0.00,0.00,0.58,0.58,"",0,0.0,2,100.0,51694,152.8,0,0.0,0,0.0,8,2.2,407,2.1
"21045","1","92611","77","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,85518,0,0,380,19735,"",7.17,0.88,0.92,0.00,0.00,0.96,0.96,"",0,0.0,2,100.0,51694,152.8,0,0.0,0,0.0,8,2.2,407,2.1
"21045","1","926110","78","0","2010","A","","Casey County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,85518,0,0,380,19735,"",7.17,0.88,0.92,0.00,0.00,0.96,0.96,"",0,0.0,2,100.0,51694,152.8,0,0.0,0,0.0,8,2.2,407,2.1
"21045","2","10","71","0","2010","A","","Casey County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,71,2350298,0,0,633,32910,"",7.71,0.58,0.70,0.00,0.00,1.19,1.19,"",1,7.7,0,0.0,-86058,-3.5,0,0.0,0,0.0,-25,-3.8,-1284,-3.8
"21045","2","102","72","0","2010","A","","Casey County, Kentucky","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,71,2350298,0,0,633,32910,"",7.93,0.59,0.71,0.00,0.00,1.19,1.19,"",1,7.7,0,0.0,-86058,-3.5,0,0.0,0,0.0,-25,-3.8,-1284,-3.8
"21045","2","1022","73","0","2010","A","N","Casey County, Kentucky","State Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",111.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","1025","73","0","2010","A","N","Casey County, Kentucky","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",8.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","1028","73","0","2010","A","","Casey County, Kentucky","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,41,1299186,0,0,603,31369,"",7.64,0.83,0.93,0.00,0.00,1.11,1.11,"",1,11.1,-1,-2.4,-18003,-1.4,0,0.0,0,0.0,-5,-0.8,-244,-0.8
"21045","2","51","74","0","2010","A","N","Casey County, Kentucky","State Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",111.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","515","75","0","2010","A","N","Casey County, Kentucky","State Government","Broadcasting, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",472.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","5151","76","0","2010","A","N","Casey County, Kentucky","State Government","Radio and television broadcasting","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",472.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","51512","77","0","2010","A","N","Casey County, Kentucky","State Government","Television broadcasting","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",478.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","515120","78","0","2010","A","N","Casey County, Kentucky","State Government","Television broadcasting","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",478.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","61","74","0","2010","A","N","Casey County, Kentucky","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","611","75","0","2010","A","N","Casey County, Kentucky","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","6115","76","0","2010","A","N","Casey County, Kentucky","State Government","Technical and trade schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",130.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","61151","77","0","2010","A","N","Casey County, Kentucky","State Government","Technical and trade schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",130.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"21045","2","611519","78","0","2010","A","N","Casey County, Kentucky","State Government","Other technical and trade schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",134.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
