"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21087","0","10","70","0","2010","A","","Green County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",191,1795,47221690,8508429,235843,506,26301,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.7,-4,-0.2,2273180,5.1,95864,1.1,22892,10.7,26,5.4,1319,5.3
"21087","1","10","71","0","2010","A","","Green County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,31,1103995,0,0,681,35422,"",3.51,0.74,0.68,0.00,0.00,0.91,0.91,"",0,0.0,2,6.9,63391,6.1,0,0.0,0,0.0,-7,-1.0,-358,-1.0
"21087","1","102","72","0","2010","A","","Green County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,31,1103995,0,0,681,35422,"",3.52,0.75,0.69,0.00,0.00,0.91,0.91,"",0,0.0,2,6.9,63391,6.1,0,0.0,0,0.0,-7,-1.0,-358,-1.0
"21087","1","1021","73","0","2010","A","","Green County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",2.99,1.93,2.47,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","1028","73","0","2010","A","","Green County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,309145,0,0,553,28758,"",4.77,0.46,0.31,0.00,0.00,0.68,0.68,"",0,0.0,2,22.2,51414,19.9,0,0.0,0,0.0,12,2.2,642,2.3
"21087","1","48-49","74","0","2010","A","","Green County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",3.08,2.13,2.64,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","491","75","0","2010","A","","Green County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",3.10,2.17,2.74,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","4911","76","0","2010","A","","Green County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",3.10,2.17,2.74,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","49111","77","0","2010","A","","Green County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",3.10,2.17,2.74,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","491110","78","0","2010","A","","Green County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,794850,0,0,749,38931,"",3.10,2.17,2.74,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,11977,1.5,0,0.0,0,0.0,-7,-0.9,-376,-1.0
"21087","1","92","74","0","2010","A","","Green County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,309145,0,0,553,28758,"",4.77,0.46,0.31,0.00,0.00,0.68,0.68,"",0,0.0,2,22.2,51414,19.9,0,0.0,0,0.0,12,2.2,642,2.3
"21087","1","924","75","0","2010","A","","Green County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,253986,0,0,659,34245,"",14.34,4.40,3.96,0.00,0.00,0.85,0.85,"",0,0.0,-1,-12.5,7654,3.1,0,0.0,0,0.0,96,17.1,4978,17.0
"21087","1","9241","76","0","2010","A","","Green County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,253986,0,0,659,34245,"",14.34,4.40,3.96,0.00,0.00,0.85,0.85,"",0,0.0,-1,-12.5,7654,3.1,0,0.0,0,0.0,96,17.1,4978,17.0
"21087","1","92412","77","0","2010","A","","Green County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,253986,0,0,659,34245,"",14.83,5.24,5.20,0.00,0.00,0.94,0.94,"",0,0.0,-1,-12.5,7654,3.1,0,0.0,0,0.0,96,17.1,4978,17.0
"21087","1","924120","78","0","2010","A","","Green County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,253986,0,0,659,34245,"",14.83,5.24,5.20,0.00,0.00,0.94,0.94,"",0,0.0,-1,-12.5,7654,3.1,0,0.0,0,0.0,96,17.1,4978,17.0
"21087","1","926","75","0","2010","A","","Green County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,55159,0,0,318,16548,"",4.13,0.58,0.31,0.00,0.00,0.49,0.49,"",0,0.0,2,200.0,43760,383.9,0,0.0,0,0.0,26,8.9,1349,8.9
"21087","1","9261","76","0","2010","A","","Green County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,55159,0,0,318,16548,"",4.13,0.58,0.31,0.00,0.00,0.49,0.49,"",0,0.0,2,200.0,43760,383.9,0,0.0,0,0.0,26,8.9,1349,8.9
"21087","1","92611","77","0","2010","A","","Green County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,55159,0,0,318,16548,"",9.16,1.24,1.12,0.00,0.00,0.81,0.81,"",0,0.0,2,200.0,43760,383.9,0,0.0,0,0.0,26,8.9,1349,8.9
"21087","1","926110","78","0","2010","A","","Green County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,55159,0,0,318,16548,"",9.16,1.24,1.12,0.00,0.00,0.81,0.81,"",0,0.0,2,200.0,43760,383.9,0,0.0,0,0.0,26,8.9,1349,8.9
