"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21113","0","10","70","0","2010","A","","Jessamine County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1184,14756,496270035,108477519,4125756,647,33632,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,4.0,-257,-1.7,5385546,1.1,-536374,-0.5,832088,25.3,18,2.9,935,2.9
"21113","1","10","71","0","2010","A","","Jessamine County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,94,4467578,0,0,919,47782,"",1.02,0.27,0.26,0.00,0.00,0.96,0.96,"",0,0.0,15,19.0,429004,10.6,0,0.0,0,0.0,-62,-6.3,-3232,-6.3
"21113","1","102","72","0","2010","A","","Jessamine County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,94,4467578,0,0,919,47782,"",1.02,0.28,0.27,0.00,0.00,0.96,0.96,"",0,0.0,15,19.0,429004,10.6,0,0.0,0,0.0,-62,-6.3,-3232,-6.3
"21113","1","1021","73","0","2010","A","","Jessamine County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,61,3188741,0,0,998,51920,"",0.97,0.72,0.94,0.00,0.00,1.30,1.30,"",0,0.0,-2,-3.2,18416,0.6,0,0.0,0,0.0,33,3.4,1730,3.4
"21113","1","1027","73","0","2010","A","","Jessamine County, Kentucky","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,544626,0,0,952,49511,"",36.17,11.66,13.88,0.00,0.00,1.19,1.19,"",1,100.0,6,120.0,299294,122.0,0,0.0,0,0.0,53,5.9,2781,6.0
"21113","1","1028","73","0","2010","A","","Jessamine County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,734211,0,0,670,34824,"",1.03,0.11,0.07,0.00,0.00,0.64,0.64,"",0,0.0,10,90.9,111294,17.9,0,0.0,0,0.0,-444,-39.9,-23122,-39.9
"21113","1","48-49","74","0","2010","A","","Jessamine County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,61,3188741,0,0,998,51920,"",0.99,0.79,1.01,0.00,0.00,1.27,1.27,"",0,0.0,-2,-3.2,18416,0.6,0,0.0,0,0.0,33,3.4,1730,3.4
"21113","1","491","75","0","2010","A","","Jessamine County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,61,3188741,0,0,998,51920,"",1.00,0.81,1.05,0.00,0.00,1.29,1.29,"",0,0.0,-2,-3.2,18416,0.6,0,0.0,0,0.0,33,3.4,1730,3.4
"21113","1","4911","76","0","2010","A","","Jessamine County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,61,3188741,0,0,998,51920,"",1.00,0.81,1.05,0.00,0.00,1.29,1.29,"",0,0.0,-2,-3.2,18416,0.6,0,0.0,0,0.0,33,3.4,1730,3.4
"21113","1","49111","77","0","2010","A","","Jessamine County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,61,3188741,0,0,998,51920,"",1.00,0.81,1.05,0.00,0.00,1.29,1.29,"",0,0.0,-2,-3.2,18416,0.6,0,0.0,0,0.0,33,3.4,1730,3.4
