"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26011","0","10","70","0","2010","A","","Arenac County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",370,4390,112081851,31490959,1697354,491,25533,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-2.4,-365,-7.7,-17074468,-13.2,-1547425,-4.7,215273,14.5,-31,-5.9,-1632,-6.0
"26011","1","10","71","0","2010","A","","Arenac County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,60,2007420,0,0,646,33597,"",3.63,0.59,0.52,0.00,0.00,0.89,0.89,"",0,0.0,9,17.6,199188,11.0,0,0.0,0,0.0,-41,-6.0,-2151,-6.0
"26011","1","102","72","0","2010","A","","Arenac County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,60,2007420,0,0,646,33597,"",3.63,0.60,0.53,0.00,0.00,0.89,0.89,"",0,0.0,9,17.6,199188,11.0,0,0.0,0,0.0,-41,-6.0,-2151,-6.0
"26011","1","1021","73","0","2010","A","","Arenac County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.41,1.58,1.89,0.00,0.00,1.21,1.21,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","1028","73","0","2010","A","","Arenac County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,20,564474,0,0,536,27875,"",2.46,0.35,0.24,0.00,0.00,0.68,0.68,"",0,0.0,11,122.2,221319,64.5,0,0.0,0,0.0,-177,-24.8,-9223,-24.9
"26011","1","48-49","74","0","2010","A","","Arenac County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.56,1.74,2.02,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","491","75","0","2010","A","","Arenac County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.61,1.77,2.10,0.00,0.00,1.20,1.20,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","4911","76","0","2010","A","","Arenac County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.61,1.77,2.10,0.00,0.00,1.20,1.20,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","49111","77","0","2010","A","","Arenac County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.61,1.77,2.10,0.00,0.00,1.20,1.20,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","491110","78","0","2010","A","","Arenac County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,40,1442946,0,0,703,36530,"",5.61,1.77,2.10,0.00,0.00,1.20,1.20,"",0,0.0,-1,-2.4,-22131,-1.5,0,0.0,0,0.0,21,3.1,1085,3.1
"26011","1","92","74","0","2010","A","","Arenac County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,564474,0,0,536,27875,"",2.46,0.35,0.24,0.00,0.00,0.68,0.68,"",0,0.0,11,122.2,221319,64.5,0,0.0,0,0.0,-177,-24.8,-9223,-24.9
"26011","1","924","75","0","2010","A","","Arenac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,407754,0,0,747,38834,"",7.40,2.83,2.68,0.00,0.00,0.99,0.99,"",0,0.0,4,57.1,92355,29.3,0,0.0,0,0.0,-71,-8.7,-3692,-8.7
