"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26065","0","10","70","0","2010","A","","Ingham County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6524,152319,6883848843,892191426,40412625,869,45194,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-136,-2.0,1845,1.2,281743953,4.3,38055418,4.5,5245073,14.9,25,3.0,1319,3.0
"26065","1","10","71","0","2010","A","","Ingham County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1986,120177234,0,0,1164,60517,"",0.97,0.56,0.51,0.00,0.00,0.90,0.90,"",3,6.8,-83,-4.0,-4446598,-3.6,0,0.0,0,0.0,5,0.4,269,0.4
"26065","1","102","72","0","2010","A","","Ingham County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,1986,120177234,0,0,1164,60517,"",0.97,0.57,0.51,0.00,0.00,0.91,0.91,"",3,6.8,-83,-4.0,-4446598,-3.6,0,0.0,0,0.0,5,0.4,269,0.4
"26065","1","1021","73","0","2010","A","","Ingham County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.66,1.10,1.20,0.00,0.00,1.09,1.09,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","1023","73","0","2010","A","","Ingham County, Michigan","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",1.56,2.14,1.72,0.00,0.00,0.80,0.80,"",-1,-50.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","1025","73","0","2010","A","","Ingham County, Michigan","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,1153035,0,0,1887,98131,"",1.10,0.03,0.04,0.00,0.00,1.47,1.47,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"26065","1","1028","73","0","2010","A","","Ingham County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,963,59652576,0,0,1191,61918,"",1.40,0.48,0.41,0.00,0.00,0.85,0.85,"",3,11.1,-39,-3.9,-5140205,-7.9,0,0.0,0,0.0,-52,-4.2,-2719,-4.2
"26065","1","48-49","74","0","2010","A","","Ingham County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.68,1.21,1.29,0.00,0.00,1.06,1.06,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","491","75","0","2010","A","","Ingham County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.68,1.24,1.34,0.00,0.00,1.08,1.08,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","4911","76","0","2010","A","","Ingham County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.68,1.24,1.34,0.00,0.00,1.08,1.08,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","49111","77","0","2010","A","","Ingham County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.68,1.24,1.34,0.00,0.00,1.08,1.08,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","491110","78","0","2010","A","","Ingham County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,969,56407855,0,0,1119,58192,"",0.68,1.24,1.34,0.00,0.00,1.08,1.08,"",0,0.0,-68,-6.6,-1285760,-2.2,0,0.0,0,0.0,49,4.6,2552,4.6
"26065","1","52","74","0","2010","A","","Ingham County, Michigan","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",1.57,2.15,1.72,0.00,0.00,0.79,0.79,"",-1,-50.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","522","75","0","2010","A","","Ingham County, Michigan","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",1.87,4.82,4.71,0.00,0.00,0.97,0.97,"",-1,-50.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","5222","76","0","2010","A","","Ingham County, Michigan","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",1.87,4.83,4.73,0.00,0.00,0.97,0.97,"",-1,-50.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","52229","77","0","2010","A","","Ingham County, Michigan","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",1.87,4.83,4.73,0.00,0.00,0.97,0.97,"",-1,-50.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","522298","78","0","2010","A","","Ingham County, Michigan","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,41,2963768,0,0,1379,71704,"",3.59,11.31,9.90,0.00,0.00,0.87,0.87,"",0,0.0,12,41.4,826332,38.7,0,0.0,0,0.0,-30,-2.1,-1580,-2.2
"26065","1","62","74","0","2010","A","","Ingham County, Michigan","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,1153035,0,0,1887,98131,"",1.21,0.03,0.04,0.00,0.00,1.47,1.47,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
