"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27085","0","10","70","0","2010","A","","McLeod County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",985,16151,595492691,249231169,5786248,709,36871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-34,-3.3,-313,-1.9,-6561563,-1.1,-10613737,-4.1,1410820,32.2,6,0.9,302,0.8
"27085","1","10","71","0","2010","A","","McLeod County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,89,3866071,0,0,832,43277,"",2.18,0.24,0.19,0.00,0.00,0.79,0.79,"",0,0.0,5,6.0,133080,3.6,0,0.0,0,0.0,-24,-2.8,-1252,-2.8
"27085","1","102","72","0","2010","A","","McLeod County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,89,3866071,0,0,832,43277,"",2.18,0.24,0.19,0.00,0.00,0.79,0.79,"",0,0.0,5,6.0,133080,3.6,0,0.0,0,0.0,-24,-2.8,-1252,-2.8
"27085","1","1021","73","0","2010","A","","McLeod County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,65,2942862,0,0,867,45101,"",2.32,0.70,0.72,0.00,0.00,1.03,1.03,"",0,0.0,-2,-3.0,-51904,-1.7,0,0.0,0,0.0,11,1.3,569,1.3
"27085","1","1023","73","0","2010","A","","McLeod County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",10.34,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"27085","1","1028","73","0","2010","A","","McLeod County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,24,923209,0,0,737,38334,"",2.16,0.11,0.07,0.00,0.00,0.64,0.64,"",0,0.0,7,41.2,184984,25.1,0,0.0,0,0.0,-119,-13.9,-6182,-13.9
"27085","1","48-49","74","0","2010","A","","McLeod County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,65,2942862,0,0,867,45101,"",2.39,0.77,0.78,0.00,0.00,1.00,1.01,"",0,0.0,-2,-3.0,-51904,-1.7,0,0.0,0,0.0,11,1.3,569,1.3
"27085","1","491","75","0","2010","A","","McLeod County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,65,2942862,0,0,867,45101,"",2.41,0.78,0.81,0.00,0.00,1.02,1.02,"",0,0.0,-2,-3.0,-51904,-1.7,0,0.0,0,0.0,11,1.3,569,1.3
"27085","1","4911","76","0","2010","A","","McLeod County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,65,2942862,0,0,867,45101,"",2.41,0.78,0.81,0.00,0.00,1.02,1.02,"",0,0.0,-2,-3.0,-51904,-1.7,0,0.0,0,0.0,11,1.3,569,1.3
"27085","1","49111","77","0","2010","A","","McLeod County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,65,2942862,0,0,867,45101,"",2.41,0.78,0.81,0.00,0.00,1.02,1.02,"",0,0.0,-2,-3.0,-51904,-1.7,0,0.0,0,0.0,11,1.3,569,1.3
