"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27165","0","10","70","0","2010","A","","Watonwan County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",328,3923,112783361,57529175,690399,553,28750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-78,-1.9,-2850066,-2.5,-62720,-0.1,169540,32.6,-3,-0.5,-149,-0.5
"27165","1","10","71","0","2010","A","","Watonwan County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,58,2741799,0,0,904,47002,"",5.32,0.63,0.70,0.00,0.00,1.10,1.10,"",-1,-7.1,3,5.5,127721,4.9,0,0.0,0,0.0,-7,-0.8,-383,-0.8
"27165","1","102","72","0","2010","A","","Watonwan County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,58,2741799,0,0,904,47002,"",5.33,0.64,0.72,0.00,0.00,1.11,1.11,"",-1,-7.1,3,5.5,127721,4.9,0,0.0,0,0.0,-7,-0.8,-383,-0.8
"27165","1","1021","73","0","2010","A","","Watonwan County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",6.97,1.37,1.65,0.00,0.00,1.20,1.21,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","1028","73","0","2010","A","","Watonwan County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,27,1469726,0,0,1034,53770,"",4.63,0.52,0.61,0.00,0.00,1.16,1.16,"",-1,-16.7,4,17.4,128317,9.6,0,0.0,0,0.0,-68,-6.2,-3514,-6.1
"27165","1","48-49","74","0","2010","A","","Watonwan County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",7.17,1.51,1.77,0.00,0.00,1.17,1.17,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","491","75","0","2010","A","","Watonwan County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",7.23,1.54,1.84,0.00,0.00,1.19,1.19,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","4911","76","0","2010","A","","Watonwan County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",7.23,1.54,1.84,0.00,0.00,1.19,1.19,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","49111","77","0","2010","A","","Watonwan County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",7.23,1.54,1.84,0.00,0.00,1.19,1.19,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","491110","78","0","2010","A","","Watonwan County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,31,1272073,0,0,789,41035,"",7.23,1.54,1.84,0.00,0.00,1.19,1.19,"",0,0.0,-1,-3.1,-596,0.0,0,0.0,0,0.0,18,2.3,951,2.4
"27165","1","92","74","0","2010","A","","Watonwan County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,27,1469726,0,0,1034,53770,"",4.63,0.52,0.61,0.00,0.00,1.16,1.16,"",-1,-16.7,4,17.4,128317,9.6,0,0.0,0,0.0,-68,-6.2,-3514,-6.1
"27165","1","924","75","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,78686,0,0,1068,55543,"",4.18,0.29,0.51,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,37242,89.9,0,0.0,0,0.0,199,22.9,10331,22.9
"27165","1","9241","76","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,78686,0,0,1068,55543,"",4.18,0.29,0.51,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,37242,89.9,0,0.0,0,0.0,199,22.9,10331,22.9
"27165","1","92412","77","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,78686,0,0,1068,55543,"",4.32,0.34,0.67,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,37242,89.9,0,0.0,0,0.0,199,22.9,10331,22.9
"27165","1","924120","78","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,78686,0,0,1068,55543,"",4.32,0.34,0.67,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,37242,89.9,0,0.0,0,0.0,199,22.9,10331,22.9
"27165","1","926","75","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,1391040,0,0,1032,53674,"",7.22,2.29,3.30,0.00,0.00,1.45,1.45,"",0,0.0,3,13.0,91075,7.0,0,0.0,0,0.0,-79,-7.1,-4102,-7.1
"27165","1","9261","76","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,1391040,0,0,1032,53674,"",7.22,2.29,3.30,0.00,0.00,1.45,1.45,"",0,0.0,3,13.0,91075,7.0,0,0.0,0,0.0,-79,-7.1,-4102,-7.1
"27165","1","92611","77","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,61879,0,0,264,13751,"",5.34,0.95,0.52,0.00,0.00,0.61,0.62,"",0,0.0,4,400.0,51831,515.8,0,0.0,0,0.0,-26,-9.0,-1321,-8.8
"27165","1","926110","78","0","2010","A","","Watonwan County, Minnesota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,61879,0,0,264,13751,"",5.34,0.95,0.52,0.00,0.00,0.61,0.62,"",0,0.0,4,400.0,51831,515.8,0,0.0,0,0.0,-26,-9.0,-1321,-8.8
"27165","1","92614","77","0","2010","A","","Watonwan County, Minnesota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,1329161,0,0,1193,62062,"",15.50,13.73,20.12,0.00,0.00,1.44,1.44,"",0,0.0,-1,-4.5,39244,3.0,0,0.0,0,0.0,57,5.0,2982,5.0
"27165","1","926140","78","0","2010","A","","Watonwan County, Minnesota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,1329161,0,0,1193,62062,"",15.50,13.73,20.12,0.00,0.00,1.44,1.44,"",0,0.0,-1,-4.5,39244,3.0,0,0.0,0,0.0,57,5.0,2982,5.0
"27165","1","928","75","0","2010","A","","Watonwan County, Minnesota","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.85,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"27165","1","9281","76","0","2010","A","","Watonwan County, Minnesota","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.85,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"27165","1","92811","77","0","2010","A","","Watonwan County, Minnesota","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.30,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"27165","1","928110","78","0","2010","A","","Watonwan County, Minnesota","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.30,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"27165","2","10","71","0","2010","A","","Watonwan County, Minnesota","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,36,1666348,0,0,882,45863,"",3.69,0.25,0.39,0.00,0.00,1.52,1.52,"",2,28.6,4,12.5,33107,2.0,0,0.0,0,0.0,-100,-10.2,-5176,-10.1
"27165","2","101","72","0","2010","A","N","Watonwan County, Minnesota","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",14.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","1012","73","0","2010","A","N","Watonwan County, Minnesota","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","102","72","0","2010","A","N","Watonwan County, Minnesota","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",3.37,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","1027","73","0","2010","A","N","Watonwan County, Minnesota","State Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",149.83,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","1028","73","0","2010","A","N","Watonwan County, Minnesota","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",3.98,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","23","74","0","2010","A","N","Watonwan County, Minnesota","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","237","75","0","2010","A","N","Watonwan County, Minnesota","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","2373","76","0","2010","A","N","Watonwan County, Minnesota","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","23731","77","0","2010","A","N","Watonwan County, Minnesota","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","237310","78","0","2010","A","N","Watonwan County, Minnesota","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","81","74","0","2010","A","N","Watonwan County, Minnesota","State Government","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",149.83,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"27165","2","813","75","0","2010","A","N","Watonwan County, Minnesota","State Government","Membership associations and organizations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",190.40,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
