"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29105","0","10","70","0","2010","A","","Laclede County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",865,12103,348095668,128806174,4495069,553,28762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-1.7,292,2.5,18506647,5.6,10825186,9.2,1668755,59.0,16,3.0,856,3.1
"29105","1","10","71","0","2010","A","","Laclede County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,97,4404398,0,0,875,45523,"",2.02,0.34,0.37,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,-30156,-0.7,0,0.0,0,0.0,-7,-0.8,-352,-0.8
"29105","1","102","72","0","2010","A","","Laclede County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,97,4404398,0,0,875,45523,"",2.02,0.35,0.37,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,-30156,-0.7,0,0.0,0,0.0,-7,-0.8,-352,-0.8
"29105","1","1021","73","0","2010","A","","Laclede County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",1.98,0.80,1.01,0.00,0.00,1.26,1.26,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","1028","73","0","2010","A","","Laclede County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,41,2009633,0,0,946,49216,"",2.46,0.26,0.27,0.00,0.00,1.06,1.06,"",0,0.0,3,7.9,16562,0.8,0,0.0,0,0.0,-76,-7.4,-3933,-7.4
"29105","1","48-49","74","0","2010","A","","Laclede County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",2.04,0.88,1.08,0.00,0.00,1.22,1.22,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","491","75","0","2010","A","","Laclede County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",2.06,0.90,1.12,0.00,0.00,1.25,1.25,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","4911","76","0","2010","A","","Laclede County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",2.06,0.90,1.12,0.00,0.00,1.25,1.25,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","49111","77","0","2010","A","","Laclede County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",2.06,0.90,1.12,0.00,0.00,1.25,1.25,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","491110","78","0","2010","A","","Laclede County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,56,2394765,0,0,824,42827,"",2.06,0.90,1.12,0.00,0.00,1.25,1.25,"",0,0.0,-3,-5.1,-46718,-1.9,0,0.0,0,0.0,30,3.8,1562,3.8
"29105","1","92","74","0","2010","A","","Laclede County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,41,2009633,0,0,946,49216,"",2.46,0.26,0.27,0.00,0.00,1.06,1.06,"",0,0.0,3,7.9,16562,0.8,0,0.0,0,0.0,-76,-7.4,-3933,-7.4
"29105","1","921","75","0","2010","A","","Laclede County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,149090,0,0,1434,74545,"",4.15,0.12,0.20,0.00,0.00,1.64,1.64,"",0,0.0,-1,-33.3,-45374,-23.3,0,0.0,0,0.0,74,5.4,3831,5.4
"29105","1","9211","76","0","2010","A","","Laclede County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,149090,0,0,1434,74545,"",4.15,0.12,0.20,0.00,0.00,1.64,1.64,"",0,0.0,-1,-33.3,-45374,-23.3,0,0.0,0,0.0,74,5.4,3831,5.4
"29105","1","92119","77","0","2010","A","","Laclede County, Missouri","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,149090,0,0,1434,74545,"",5.50,0.52,0.84,0.00,0.00,1.61,1.61,"",0,0.0,-1,-33.3,-45374,-23.3,0,0.0,0,0.0,74,5.4,3831,5.4
"29105","1","921190","78","0","2010","A","","Laclede County, Missouri","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,149090,0,0,1434,74545,"",5.50,0.52,0.84,0.00,0.00,1.61,1.61,"",0,0.0,-1,-33.3,-45374,-23.3,0,0.0,0,0.0,74,5.4,3831,5.4
"29105","1","922","75","0","2010","A","","Laclede County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,151237,0,0,1454,75619,"",2.72,0.08,0.11,0.00,0.00,1.37,1.37,"",0,0.0,-1,-33.3,-31526,-17.2,0,0.0,0,0.0,136,10.3,7083,10.3
