"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30027","0","10","70","0","2010","A","","Fergus County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",520,4423,131698138,72706114,1134334,573,29775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-37,-0.8,1688839,1.3,2610747,3.7,364633,47.4,12,2.1,623,2.1
"30027","1","10","71","0","2010","A","","Fergus County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,178,8641414,0,0,935,48638,"",4.65,1.73,1.90,0.00,0.00,1.10,1.10,"",1,5.9,7,4.1,270203,3.2,0,0.0,0,0.0,-7,-0.7,-340,-0.7
"30027","1","102","72","0","2010","A","","Fergus County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,178,8641414,0,0,935,48638,"",4.66,1.75,1.93,0.00,0.00,1.10,1.11,"",1,5.9,7,4.1,270203,3.2,0,0.0,0,0.0,-7,-0.7,-340,-0.7
"30027","1","1021","73","0","2010","A","","Fergus County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",4.95,1.41,1.38,0.00,0.00,0.97,0.97,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","1028","73","0","2010","A","","Fergus County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,142,7402024,0,0,1005,52280,"",5.26,2.44,2.64,0.00,0.00,1.09,1.09,"",1,12.5,11,8.4,415559,5.9,0,0.0,0,0.0,-23,-2.2,-1154,-2.2
"30027","1","48-49","74","0","2010","A","","Fergus County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",5.09,1.55,1.48,0.00,0.00,0.95,0.95,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","491","75","0","2010","A","","Fergus County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",5.13,1.59,1.53,0.00,0.00,0.97,0.97,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","4911","76","0","2010","A","","Fergus County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",5.13,1.59,1.53,0.00,0.00,0.97,0.97,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","49111","77","0","2010","A","","Fergus County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",5.13,1.59,1.53,0.00,0.00,0.97,0.97,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","491110","78","0","2010","A","","Fergus County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,36,1239390,0,0,661,34348,"",5.13,1.59,1.53,0.00,0.00,0.97,0.97,"",0,0.0,-4,-10.0,-145356,-10.5,0,0.0,0,0.0,-2,-0.3,-127,-0.4
"30027","1","92","74","0","2010","A","","Fergus County, Montana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,142,7402024,0,0,1005,52280,"",5.26,2.44,2.64,0.00,0.00,1.09,1.09,"",1,12.5,11,8.4,415559,5.9,0,0.0,0,0.0,-23,-2.2,-1154,-2.2
"30027","1","923","75","0","2010","A","","Fergus County, Montana","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,120772,0,0,546,28417,"",6.36,0.70,0.40,0.00,0.00,0.54,0.55,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","1","9231","76","0","2010","A","","Fergus County, Montana","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,120772,0,0,546,28417,"",6.36,0.70,0.40,0.00,0.00,0.54,0.55,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","1","92314","77","0","2010","A","","Fergus County, Montana","Federal Government","Administration of veterans' affairs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,120772,0,0,546,28417,"",43.24,3.74,2.41,0.00,0.00,0.61,0.61,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","1","923140","78","0","2010","A","","Fergus County, Montana","Federal Government","Administration of veterans' affairs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,120772,0,0,546,28417,"",43.24,3.74,2.41,0.00,0.00,0.61,0.61,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","1","924","75","0","2010","A","","Fergus County, Montana","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,123,6733701,0,0,1056,54932,"",15.80,31.37,37.63,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,166811,2.5,0,0.0,0,0.0,31,3.0,1615,3.0
"30027","1","9241","76","0","2010","A","","Fergus County, Montana","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,123,6733701,0,0,1056,54932,"",15.80,31.37,37.63,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,166811,2.5,0,0.0,0,0.0,31,3.0,1615,3.0
"30027","1","92412","77","0","2010","A","","Fergus County, Montana","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,123,6733701,0,0,1056,54932,"",16.34,37.40,49.43,0.00,0.00,1.32,1.33,"",0,0.0,0,0.0,166811,2.5,0,0.0,0,0.0,31,3.0,1615,3.0
"30027","1","924120","78","0","2010","A","","Fergus County, Montana","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,123,6733701,0,0,1056,54932,"",16.34,37.40,49.43,0.00,0.00,1.32,1.33,"",0,0.0,0,0.0,166811,2.5,0,0.0,0,0.0,31,3.0,1615,3.0
"30027","1","926","75","0","2010","A","","Fergus County, Montana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,547551,0,0,714,37122,"",3.03,1.17,1.11,0.00,0.00,0.97,0.97,"",0,0.0,7,87.5,127976,30.5,0,0.0,0,0.0,-350,-32.9,-18207,-32.9
"30027","1","9261","76","0","2010","A","","Fergus County, Montana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,547551,0,0,714,37122,"",3.03,1.17,1.11,0.00,0.00,0.97,0.97,"",0,0.0,7,87.5,127976,30.5,0,0.0,0,0.0,-350,-32.9,-18207,-32.9
"30027","1","92611","77","0","2010","A","","Fergus County, Montana","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,163430,0,0,322,16762,"",3.37,1.68,1.19,0.00,0.00,0.72,0.72,"",0,0.0,7,233.3,117837,258.5,0,0.0,0,0.0,-17,-5.0,-887,-5.0
"30027","1","926110","78","0","2010","A","","Fergus County, Montana","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,163430,0,0,322,16762,"",3.37,1.68,1.19,0.00,0.00,0.72,0.72,"",0,0.0,7,233.3,117837,258.5,0,0.0,0,0.0,-17,-5.0,-887,-5.0
"30027","1","92614","77","0","2010","A","","Fergus County, Montana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,384121,0,0,1477,76824,"",4.89,2.90,4.98,0.00,0.00,1.72,1.72,"",0,0.0,0,0.0,10139,2.7,0,0.0,0,0.0,39,2.7,2028,2.7
"30027","1","926140","78","0","2010","A","","Fergus County, Montana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,384121,0,0,1477,76824,"",4.89,2.90,4.98,0.00,0.00,1.72,1.72,"",0,0.0,0,0.0,10139,2.7,0,0.0,0,0.0,39,2.7,2028,2.7
"30027","2","10","71","0","2010","A","","Fergus County, Montana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,247,8465784,8465784,6988,660,34309,"",3.10,1.55,1.70,20.03,7.48,1.10,1.10,"",0,0.0,15,6.5,-127099,-1.5,-127099,-1.5,-9275,-57.0,-54,-7.6,-2796,-7.5
"30027","2","101","72","0","2010","A","N","Fergus County, Montana","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","2","1012","73","0","2010","A","N","Fergus County, Montana","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","2","102","72","0","2010","A","N","Fergus County, Montana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",2.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"30027","2","1025","73","0","2010","A","N","Fergus County, Montana","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
