"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33013","0","10","70","0","2010","A","","Merrimack County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5025,72685,3108857039,494994423,16478557,823,42771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-47,-0.9,547,0.8,69949015,2.3,85033620,20.7,7611845,85.8,13,1.6,644,1.5
"33013","1","10","71","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,926,61754810,0,0,1283,66726,"",1.52,0.55,0.58,0.00,0.00,1.05,1.05,"",1,1.8,13,1.4,1409289,2.3,0,0.0,0,0.0,12,0.9,612,0.9
"33013","1","102","72","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,926,61754810,0,0,1283,66726,"",1.53,0.55,0.59,0.00,0.00,1.05,1.06,"",1,1.8,13,1.4,1409289,2.3,0,0.0,0,0.0,12,0.9,612,0.9
"33013","1","1021","73","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.19,0.60,0.60,0.00,0.00,0.99,0.99,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","1023","73","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,40,4064541,0,0,1938,100774,"",4.05,4.37,5.22,0.00,0.00,1.18,1.18,"",0,0.0,-3,-7.0,111359,2.8,0,0.0,0,0.0,173,9.8,9017,9.8
"33013","1","1024","73","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,878270,0,0,1165,60570,"",1.12,0.36,0.28,0.00,0.00,0.81,0.81,"",0,0.0,2,15.4,51964,6.3,0,0.0,0,0.0,-19,-1.6,-1018,-1.7
"33013","1","1026","73","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",1.05,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"33013","1","1028","73","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",32,618,44188444,0,0,1375,71483,"",1.94,0.65,0.67,0.00,0.00,1.04,1.04,"",1,3.2,30,5.1,1726772,4.1,0,0.0,0,0.0,-15,-1.1,-792,-1.1
"33013","1","48-49","74","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.23,0.66,0.64,0.00,0.00,0.96,0.96,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","491","75","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.24,0.68,0.66,0.00,0.00,0.98,0.98,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","4911","76","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.24,0.68,0.66,0.00,0.00,0.98,0.98,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","49111","77","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.24,0.68,0.66,0.00,0.00,0.98,0.98,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","491110","78","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,253,12623555,0,0,961,49994,"",1.24,0.68,0.66,0.00,0.00,0.98,0.98,"",0,0.0,-16,-5.9,-480806,-3.7,0,0.0,0,0.0,23,2.5,1234,2.5
"33013","1","52","74","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,40,4064541,0,0,1938,100774,"",4.07,4.39,5.22,0.00,0.00,1.18,1.18,"",0,0.0,-3,-7.0,111359,2.8,0,0.0,0,0.0,173,9.8,9017,9.8
"33013","1","522","75","0","2010","A","","Merrimack County, New Hampshire","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,1296612,0,0,1439,74805,"",2.43,4.18,4.56,0.00,0.00,1.07,1.07,"",0,0.0,1,6.2,148230,12.9,0,0.0,0,0.0,59,4.3,3031,4.2
