"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34007","0","10","70","0","2010","A","","Camden County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",12758,193103,9157451869,3514996961,87844601,912,47423,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-0.2,-2959,-1.5,2870453,0.0,24155146,0.7,16354644,22.9,14,1.6,731,1.6
"34007","1","10","71","0","2010","A","","Camden County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,2827,175813596,0,0,1196,62196,"",0.61,0.63,0.56,0.00,0.00,0.89,0.89,"",1,1.8,94,3.4,6519323,3.9,0,0.0,0,0.0,5,0.4,244,0.4
"34007","1","102","72","0","2010","A","","Camden County, New Jersey","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,2827,175813596,0,0,1196,62196,"",0.61,0.64,0.57,0.00,0.00,0.89,0.89,"",1,1.8,94,3.4,6519323,3.9,0,0.0,0,0.0,5,0.4,244,0.4
"34007","1","1021","73","0","2010","A","","Camden County, New Jersey","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,2056,118191902,0,0,1106,57486,"",0.60,1.85,1.89,0.00,0.00,1.02,1.02,"",0,0.0,-38,-1.8,213350,0.2,0,0.0,0,0.0,22,2.0,1138,2.0
"34007","1","1024","73","0","2010","A","","Camden County, New Jersey","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,823892,0,0,1981,102987,"",0.44,0.07,0.09,0.00,0.00,1.25,1.25,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"34007","1","1028","73","0","2010","A","","Camden County, New Jersey","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,763,56797802,0,0,1432,74465,"",0.71,0.30,0.29,0.00,0.00,0.97,0.97,"",0,0.0,124,19.4,5482081,10.7,0,0.0,0,0.0,-113,-7.3,-5852,-7.3
"34007","1","48-49","74","0","2010","A","","Camden County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,2056,118191902,0,0,1106,57486,"",0.62,2.03,2.03,0.00,0.00,1.00,1.00,"",0,0.0,-38,-1.8,213350,0.2,0,0.0,0,0.0,22,2.0,1138,2.0
"34007","1","491","75","0","2010","A","","Camden County, New Jersey","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,2056,118191902,0,0,1106,57486,"",0.63,2.07,2.10,0.00,0.00,1.02,1.01,"",0,0.0,-38,-1.8,213350,0.2,0,0.0,0,0.0,22,2.0,1138,2.0
"34007","1","4911","76","0","2010","A","","Camden County, New Jersey","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,2056,118191902,0,0,1106,57486,"",0.63,2.07,2.10,0.00,0.00,1.02,1.01,"",0,0.0,-38,-1.8,213350,0.2,0,0.0,0,0.0,22,2.0,1138,2.0
"34007","1","49111","77","0","2010","A","","Camden County, New Jersey","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",27,2056,118191902,0,0,1106,57486,"",0.63,2.07,2.10,0.00,0.00,1.02,1.01,"",0,0.0,-38,-1.8,213350,0.2,0,0.0,0,0.0,22,2.0,1138,2.0
