"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35055","0","10","70","0","2010","A","","Taos County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1331,10449,303393950,136355269,2655448,558,29036,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.5,-368,-3.4,-14474364,-4.6,-8947510,-6.2,327070,14.0,-7,-1.2,-350,-1.2
"35055","1","10","71","0","2010","A","","Taos County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,346,16976302,0,0,944,49100,"",3.13,1.42,1.62,0.00,0.00,1.14,1.14,"",-1,-3.1,29,9.1,694193,4.3,0,0.0,0,0.0,-43,-4.4,-2223,-4.3
"35055","1","102","72","0","2010","A","","Taos County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,346,16976302,0,0,944,49100,"",3.13,1.44,1.65,0.00,0.00,1.14,1.14,"",-1,-3.1,29,9.1,694193,4.3,0,0.0,0,0.0,-43,-4.4,-2223,-4.3
"35055","1","1021","73","0","2010","A","","Taos County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",3.86,0.88,1.13,0.00,0.00,1.28,1.28,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","1025","73","0","2010","A","","Taos County, New Mexico","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,1385971,0,0,919,47792,"",5.39,1.02,1.13,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,-81846,-5.6,0,0.0,0,0.0,-66,-6.7,-3411,-6.7
"35055","1","1028","73","0","2010","A","","Taos County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,264,13256910,0,0,967,50295,"",2.74,1.92,2.05,0.00,0.00,1.07,1.07,"",-1,-7.7,31,13.3,982527,8.0,0,0.0,0,0.0,-45,-4.4,-2309,-4.4
"35055","1","48-49","74","0","2010","A","","Taos County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",3.98,0.97,1.21,0.00,0.00,1.24,1.24,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","491","75","0","2010","A","","Taos County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",4.01,0.99,1.25,0.00,0.00,1.27,1.27,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","4911","76","0","2010","A","","Taos County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",4.01,0.99,1.25,0.00,0.00,1.27,1.27,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","49111","77","0","2010","A","","Taos County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",4.01,0.99,1.25,0.00,0.00,1.27,1.27,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","491110","78","0","2010","A","","Taos County, New Mexico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,53,2333421,0,0,844,43889,"",4.01,0.99,1.25,0.00,0.00,1.27,1.27,"",0,0.0,-2,-3.6,-206488,-8.1,0,0.0,0,0.0,-40,-4.5,-2082,-4.5
"35055","1","62","74","0","2010","A","","Taos County, New Mexico","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,1385971,0,0,919,47792,"",5.93,1.05,1.16,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,-81846,-5.6,0,0.0,0,0.0,-66,-6.7,-3411,-6.7
