"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36063","0","10","70","0","2010","A","","Niagara County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4703,69527,2485101349,426575907,20483498,687,35743,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,0.9,-416,-0.6,22833544,0.9,-4878204,-1.1,3201639,18.5,10,1.5,539,1.5
"36063","1","10","71","0","2010","A","","Niagara County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,1138,69012121,0,0,1167,60661,"",1.03,0.70,0.80,0.00,0.00,1.15,1.15,"",2,5.9,29,2.6,1119967,1.6,0,0.0,0,0.0,-11,-0.9,-581,-0.9
"36063","1","102","72","0","2010","A","","Niagara County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,1138,69012121,0,0,1167,60661,"",1.03,0.71,0.82,0.00,0.00,1.15,1.15,"",2,5.9,29,2.6,1119967,1.6,0,0.0,0,0.0,-11,-0.9,-581,-0.9
"36063","1","1021","73","0","2010","A","","Niagara County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.03,0.82,1.08,0.00,0.00,1.32,1.32,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","1024","73","0","2010","A","","Niagara County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",1.20,0.05,0.08,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","1025","73","0","2010","A","","Niagara County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,502252,0,0,1364,70906,"",1.53,0.04,0.05,0.00,0.00,1.34,1.34,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"36063","1","1026","73","0","2010","A","","Niagara County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,20,315079,0,0,306,15886,"",2.24,0.61,0.33,0.00,0.00,0.54,0.54,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"36063","1","1028","73","0","2010","A","","Niagara County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,782,49773322,0,0,1224,63656,"",1.03,0.85,0.94,0.00,0.00,1.10,1.10,"",0,0.0,17,2.2,503580,1.0,0,0.0,0,0.0,-15,-1.2,-749,-1.2
"36063","1","48-49","74","0","2010","A","","Niagara County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.06,0.90,1.15,0.00,0.00,1.28,1.28,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","491","75","0","2010","A","","Niagara County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.07,0.92,1.20,0.00,0.00,1.31,1.31,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","4911","76","0","2010","A","","Niagara County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.07,0.92,1.20,0.00,0.00,1.31,1.31,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","49111","77","0","2010","A","","Niagara County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.07,0.92,1.20,0.00,0.00,1.31,1.31,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","491110","78","0","2010","A","","Niagara County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,327,18235333,0,0,1073,55794,"",1.07,0.92,1.20,0.00,0.00,1.31,1.31,"",0,0.0,-15,-4.4,-203367,-1.1,0,0.0,0,0.0,35,3.4,1814,3.4
"36063","1","54","74","0","2010","A","","Niagara County, New York","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",1.31,0.05,0.08,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","541","75","0","2010","A","","Niagara County, New York","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",1.31,0.05,0.08,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","5413","76","0","2010","A","","Niagara County, New York","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",2.35,0.07,0.11,0.00,0.00,1.51,1.50,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","54133","77","0","2010","A","","Niagara County, New York","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",2.35,0.07,0.11,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","541330","78","0","2010","A","","Niagara County, New York","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,186135,0,0,1790,93068,"",2.35,0.07,0.11,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,2423,1.3,0,0.0,0,0.0,24,1.4,1212,1.3
"36063","1","62","74","0","2010","A","","Niagara County, New York","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,502252,0,0,1364,70906,"",1.68,0.04,0.05,0.00,0.00,1.34,1.34,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"36063","1","621","75","0","2010","A","","Niagara County, New York","Federal Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,502252,0,0,1364,70906,"",3.81,0.49,0.63,0.00,0.00,1.26,1.25,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"36063","1","6214","76","0","2010","A","","Niagara County, New York","Federal Government","Outpatient care centers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,502252,0,0,1364,70906,"",15.94,1.33,1.84,0.00,0.00,1.37,1.37,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
