"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36065","0","10","70","0","2010","A","","Oneida County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5256,107278,3983648045,563254753,22770629,714,37134,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-31,-0.6,-718,-0.7,61850763,1.6,-1018124,-0.2,4255417,23.0,16,2.3,820,2.3
"36065","1","10","71","0","2010","A","","Oneida County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",76,2886,159061322,0,0,1060,55108,"",1.94,1.15,1.16,0.00,0.00,1.00,1.00,"",1,1.3,254,9.7,9787625,6.6,0,0.0,0,0.0,-31,-2.8,-1602,-2.8
"36065","1","102","72","0","2010","A","","Oneida County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",76,2886,159061322,0,0,1060,55108,"",1.94,1.17,1.18,0.00,0.00,1.00,1.00,"",1,1.3,254,9.7,9787625,6.6,0,0.0,0,0.0,-31,-2.8,-1602,-2.8
"36065","1","1021","73","0","2010","A","","Oneida County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",51,555,29098975,0,0,1009,52478,"",2.77,0.90,1.07,0.00,0.00,1.19,1.19,"",0,0.0,-50,-8.3,-1629128,-5.3,0,0.0,0,0.0,32,3.3,1667,3.3
"36065","1","1023","73","0","2010","A","","Oneida County, New York","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,12,783481,0,0,1291,67156,"",3.88,0.89,0.78,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,15513,2.0,0,0.0,0,0.0,25,2.0,1330,2.0
"36065","1","1024","73","0","2010","A","","Oneida County, New York","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,262810,0,0,1685,87603,"",1.07,0.05,0.07,0.00,0.00,1.35,1.35,"",0,0.0,-1,-25.0,-43323,-14.2,0,0.0,0,0.0,42,2.6,2171,2.5
"36065","1","1025","73","0","2010","A","","Oneida County, New York","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,711059,0,0,1164,60516,"",1.37,0.04,0.04,0.00,0.00,1.10,1.10,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","1026","73","0","2010","A","","Oneida County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,22,883088,0,0,769,39989,"",1.00,0.44,0.57,0.00,0.00,1.30,1.30,"",0,0.0,2,10.0,103121,13.2,0,0.0,0,0.0,13,1.7,663,1.7
"36065","1","1028","73","0","2010","A","","Oneida County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,2283,127321909,0,0,1072,55761,"",1.16,1.61,1.50,0.00,0.00,0.93,0.93,"",0,0.0,291,14.6,10630383,9.1,0,0.0,0,0.0,-54,-4.8,-2807,-4.8
"36065","1","48-49","74","0","2010","A","","Oneida County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",51,555,29098975,0,0,1009,52478,"",2.85,0.99,1.15,0.00,0.00,1.16,1.16,"",0,0.0,-50,-8.3,-1629128,-5.3,0,0.0,0,0.0,32,3.3,1667,3.3
