"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36095","0","10","70","0","2010","A","","Schoharie County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",674,8638,284540238,51196118,2432523,633,32940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.0,-174,-2.0,5058754,1.8,2910843,6.0,411684,20.4,23,3.8,1225,3.9
"36095","1","10","71","0","2010","A","","Schoharie County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,88,3627921,0,0,797,41462,"",4.98,0.44,0.37,0.00,0.00,0.85,0.85,"",0,0.0,-2,-2.2,24671,0.7,0,0.0,0,0.0,31,4.0,1610,4.0
"36095","1","102","72","0","2010","A","","Schoharie County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,88,3627921,0,0,797,41462,"",4.99,0.44,0.38,0.00,0.00,0.85,0.85,"",0,0.0,-2,-2.2,24671,0.7,0,0.0,0,0.0,31,4.0,1610,4.0
"36095","1","1021","73","0","2010","A","","Schoharie County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.05,1.43,1.54,0.00,0.00,1.08,1.08,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","1028","73","0","2010","A","","Schoharie County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,17,639497,0,0,745,38757,"",2.71,0.15,0.11,0.00,0.00,0.73,0.73,"",0,0.0,-1,-5.6,9804,1.6,0,0.0,0,0.0,84,12.7,4410,12.8
"36095","1","48-49","74","0","2010","A","","Schoharie County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.29,1.57,1.65,0.00,0.00,1.05,1.05,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","491","75","0","2010","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.35,1.60,1.71,0.00,0.00,1.07,1.07,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","4911","76","0","2010","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.35,1.60,1.71,0.00,0.00,1.07,1.07,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","49111","77","0","2010","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.35,1.60,1.71,0.00,0.00,1.07,1.07,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","491110","78","0","2010","A","","Schoharie County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,71,2988424,0,0,809,42090,"",8.35,1.60,1.71,0.00,0.00,1.07,1.07,"",0,0.0,-1,-1.4,14867,0.5,0,0.0,0,0.0,16,2.0,838,2.0
"36095","1","92","74","0","2010","A","","Schoharie County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,17,639497,0,0,745,38757,"",2.71,0.15,0.11,0.00,0.00,0.73,0.73,"",0,0.0,-1,-5.6,9804,1.6,0,0.0,0,0.0,84,12.7,4410,12.8
"36095","1","921","75","0","2010","A","","Schoharie County, New York","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,8028,0,0,154,8028,"",5.32,0.08,0.01,0.00,0.00,0.15,0.15,"",0,0.0,0,0.0,1771,28.3,0,0.0,0,0.0,-6,-3.8,-315,-3.8
"36095","1","9211","76","0","2010","A","","Schoharie County, New York","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,8028,0,0,154,8028,"",5.32,0.08,0.01,0.00,0.00,0.15,0.15,"",0,0.0,0,0.0,1771,28.3,0,0.0,0,0.0,-6,-3.8,-315,-3.8
"36095","1","92119","77","0","2010","A","","Schoharie County, New York","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,8028,0,0,154,8028,"",7.06,0.36,0.06,0.00,0.00,0.15,0.15,"",0,0.0,0,0.0,1771,28.3,0,0.0,0,0.0,-6,-3.8,-315,-3.8
"36095","1","921190","78","0","2010","A","","Schoharie County, New York","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,8028,0,0,154,8028,"",7.06,0.36,0.06,0.00,0.00,0.15,0.15,"",0,0.0,0,0.0,1771,28.3,0,0.0,0,0.0,-6,-3.8,-315,-3.8
"36095","1","922","75","0","2010","A","","Schoharie County, New York","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,131718,0,0,1382,71846,"",3.49,0.12,0.12,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,-20025,-13.2,0,0.0,0,0.0,174,14.4,9056,14.4
"36095","1","9221","76","0","2010","A","","Schoharie County, New York","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,131718,0,0,1382,71846,"",3.49,0.12,0.12,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,-20025,-13.2,0,0.0,0,0.0,174,14.4,9056,14.4
