"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38047","0","10","70","0","2010","A","","Logan County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",94,600,14552666,5837010,37190,467,24261,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,36,6.4,698752,5.0,478937,8.9,10111,37.3,-6,-1.3,-324,-1.3
"38047","1","10","71","0","2010","A","","Logan County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,726866,0,0,671,34890,"",8.57,1.50,1.45,0.00,0.00,0.97,0.97,"",0,0.0,2,10.5,9581,1.3,0,0.0,0,0.0,-58,-8.0,-3028,-8.0
"38047","1","102","72","0","2010","A","","Logan County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,726866,0,0,671,34890,"",8.58,1.52,1.47,0.00,0.00,0.97,0.97,"",0,0.0,2,10.5,9581,1.3,0,0.0,0,0.0,-58,-8.0,-3028,-8.0
"38047","1","1021","73","0","2010","A","","Logan County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.12,2.60,3.03,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","1028","73","0","2010","A","","Logan County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,425822,0,0,717,37298,"",9.70,1.39,1.38,0.00,0.00,0.95,0.95,"",0,0.0,1,10.0,14824,3.6,0,0.0,0,0.0,-67,-8.5,-3462,-8.5
"38047","1","48-49","74","0","2010","A","","Logan County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.38,2.86,3.25,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","491","75","0","2010","A","","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.46,2.92,3.37,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","4911","76","0","2010","A","","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.46,2.92,3.37,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","49111","77","0","2010","A","","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.46,2.92,3.37,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","491110","78","0","2010","A","","Logan County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,9,301044,0,0,615,31969,"",9.46,2.92,3.37,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-5243,-1.7,0,0.0,0,0.0,-52,-7.8,-2705,-7.8
"38047","1","92","74","0","2010","A","","Logan County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,425822,0,0,717,37298,"",9.70,1.39,1.38,0.00,0.00,0.95,0.95,"",0,0.0,1,10.0,14824,3.6,0,0.0,0,0.0,-67,-8.5,-3462,-8.5
"38047","1","924","75","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,143243,0,0,1066,55449,"",14.57,5.64,7.24,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,-22295,-13.5,0,0.0,0,0.0,5,0.5,270,0.5
"38047","1","9241","76","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,143243,0,0,1066,55449,"",14.57,5.64,7.24,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,-22295,-13.5,0,0.0,0,0.0,5,0.5,270,0.5
"38047","1","92412","77","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,143243,0,0,1066,55449,"",15.07,6.72,9.52,0.00,0.00,1.64,1.64,"",0,0.0,0,0.0,-22295,-13.5,0,0.0,0,0.0,5,0.5,270,0.5
"38047","1","924120","78","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,143243,0,0,1066,55449,"",15.07,6.72,9.52,0.00,0.00,1.64,1.64,"",0,0.0,0,0.0,-22295,-13.5,0,0.0,0,0.0,5,0.5,270,0.5
"38047","1","926","75","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,282579,0,0,615,31990,"",16.79,5.18,5.20,0.00,0.00,1.02,1.02,"",0,0.0,2,28.6,37119,15.1,0,0.0,0,0.0,-51,-7.7,-2663,-7.7
"38047","1","9261","76","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,282579,0,0,615,31990,"",16.79,5.18,5.20,0.00,0.00,1.02,1.02,"",0,0.0,2,28.6,37119,15.1,0,0.0,0,0.0,-51,-7.7,-2663,-7.7
"38047","1","92611","77","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,20494,0,0,430,22357,"",18.62,1.24,1.35,0.00,0.00,1.18,1.19,"",0,0.0,1,100.0,16484,411.1,0,0.0,0,0.0,199,86.1,10327,85.8
"38047","1","926110","78","0","2010","A","","Logan County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,20494,0,0,430,22357,"",18.62,1.24,1.35,0.00,0.00,1.18,1.19,"",0,0.0,1,100.0,16484,411.1,0,0.0,0,0.0,199,86.1,10327,85.8
"38047","1","92614","77","0","2010","A","","Logan County, North Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,262085,0,0,637,33105,"",27.04,34.21,30.75,0.00,0.00,0.91,0.91,"",0,0.0,1,14.3,20635,8.5,0,0.0,0,0.0,-51,-7.4,-2665,-7.5
"38047","1","926140","78","0","2010","A","","Logan County, North Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,262085,0,0,637,33105,"",27.04,34.21,30.75,0.00,0.00,0.91,0.91,"",0,0.0,1,14.3,20635,8.5,0,0.0,0,0.0,-51,-7.4,-2665,-7.5
"38047","2","10","71","0","2010","A","","Logan County, North Dakota","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,10,363633,0,0,723,37617,"",5.72,0.46,0.66,0.00,0.00,1.48,1.48,"",-2,-33.3,1,11.1,40207,12.4,0,0.0,0,0.0,57,8.6,2964,8.6
"38047","2","101","72","0","2010","A","N","Logan County, North Dakota","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",51.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","1012","73","0","2010","A","N","Logan County, North Dakota","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","102","72","0","2010","A","N","Logan County, North Dakota","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",4.41,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","1025","73","0","2010","A","N","Logan County, North Dakota","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","1026","73","0","2010","A","N","Logan County, North Dakota","State Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",112.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","1028","73","0","2010","A","N","Logan County, North Dakota","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.98,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","23","74","0","2010","A","N","Logan County, North Dakota","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","237","75","0","2010","A","N","Logan County, North Dakota","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","2373","76","0","2010","A","N","Logan County, North Dakota","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","23731","77","0","2010","A","N","Logan County, North Dakota","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","237310","78","0","2010","A","N","Logan County, North Dakota","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38047","2","62","74","0","2010","A","N","Logan County, North Dakota","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.16,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
