"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39037","0","10","70","0","2010","A","","Darke County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1239,16715,541797820,125024794,3494947,623,32414,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-37,-2.9,-211,-1.2,2531430,0.5,-2220595,-1.7,497325,16.6,10,1.6,554,1.7
"39037","1","10","71","0","2010","A","","Darke County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,120,5173642,0,0,829,43084,"",1.84,0.31,0.28,0.00,0.00,0.90,0.90,"",0,0.0,3,2.6,103203,2.0,0,0.0,0,0.0,-6,-0.7,-346,-0.8
"39037","1","102","72","0","2010","A","","Darke County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,120,5173642,0,0,829,43084,"",1.85,0.31,0.28,0.00,0.00,0.90,0.90,"",0,0.0,3,2.6,103203,2.0,0,0.0,0,0.0,-6,-0.7,-346,-0.8
"39037","1","1021","73","0","2010","A","","Darke County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.00,0.86,1.00,0.00,0.00,1.16,1.16,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","1028","73","0","2010","A","","Darke County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,37,1460149,0,0,761,39553,"",0.98,0.17,0.13,0.00,0.00,0.76,0.76,"",0,0.0,10,37.0,205765,16.4,0,0.0,0,0.0,-124,-14.0,-6479,-14.1
"39037","1","48-49","74","0","2010","A","","Darke County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.08,0.95,1.08,0.00,0.00,1.13,1.13,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","491","75","0","2010","A","","Darke County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.11,0.97,1.12,0.00,0.00,1.15,1.15,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","4911","76","0","2010","A","","Darke County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.11,0.97,1.12,0.00,0.00,1.15,1.15,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","49111","77","0","2010","A","","Darke County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.11,0.97,1.12,0.00,0.00,1.15,1.15,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","491110","78","0","2010","A","","Darke County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,83,3713493,0,0,859,44651,"",3.11,0.97,1.12,0.00,0.00,1.15,1.15,"",0,0.0,-7,-7.8,-102562,-2.7,0,0.0,0,0.0,39,4.8,2014,4.7
"39037","1","92","74","0","2010","A","","Darke County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,37,1460149,0,0,761,39553,"",0.98,0.17,0.13,0.00,0.00,0.76,0.76,"",0,0.0,10,37.0,205765,16.4,0,0.0,0,0.0,-124,-14.0,-6479,-14.1
"39037","1","924","75","0","2010","A","","Darke County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,201029,0,0,1289,67010,"",1.11,0.20,0.27,0.00,0.00,1.35,1.35,"",0,0.0,1,50.0,32387,19.2,0,0.0,0,0.0,-53,-3.9,-2773,-4.0
"39037","1","9241","76","0","2010","A","","Darke County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,201029,0,0,1289,67010,"",1.11,0.20,0.27,0.00,0.00,1.35,1.35,"",0,0.0,1,50.0,32387,19.2,0,0.0,0,0.0,-53,-3.9,-2773,-4.0
