"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39055","0","10","70","0","2010","A","","Geauga County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2975,31783,1166281052,245276447,8539296,706,36696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-53,-1.8,-301,-0.9,9902794,0.9,-4137860,-1.7,1634581,23.7,13,1.9,653,1.8
"39055","1","10","71","0","2010","A","","Geauga County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,170,7883115,0,0,892,46394,"",0.63,0.23,0.20,0.00,0.00,0.85,0.85,"",0,0.0,8,4.9,333386,4.4,0,0.0,0,0.0,-4,-0.4,-209,-0.4
"39055","1","102","72","0","2010","A","","Geauga County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,170,7883115,0,0,892,46394,"",0.63,0.23,0.20,0.00,0.00,0.85,0.86,"",0,0.0,8,4.9,333386,4.4,0,0.0,0,0.0,-4,-0.4,-209,-0.4
"39055","1","1021","73","0","2010","A","","Geauga County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.15,0.82,0.95,0.00,0.00,1.16,1.16,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","1028","73","0","2010","A","","Geauga County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",0.20,0.05,0.01,0.00,0.00,0.29,0.29,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","1","48-49","74","0","2010","A","","Geauga County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.19,0.90,1.01,0.00,0.00,1.13,1.13,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","491","75","0","2010","A","","Geauga County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.20,0.92,1.05,0.00,0.00,1.15,1.15,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","4911","76","0","2010","A","","Geauga County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.20,0.92,1.05,0.00,0.00,1.15,1.15,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","49111","77","0","2010","A","","Geauga County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.20,0.92,1.05,0.00,0.00,1.15,1.15,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","491110","78","0","2010","A","","Geauga County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,150,7537884,0,0,970,50421,"",1.20,0.92,1.05,0.00,0.00,1.15,1.15,"",0,0.0,-7,-4.5,93852,1.3,0,0.0,0,0.0,56,6.1,2881,6.1
"39055","1","92","74","0","2010","A","","Geauga County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",0.20,0.05,0.01,0.00,0.00,0.29,0.29,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","1","926","75","0","2010","A","","Geauga County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",0.53,0.22,0.08,0.00,0.00,0.36,0.36,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","1","9261","76","0","2010","A","","Geauga County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",0.53,0.22,0.08,0.00,0.00,0.36,0.36,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","1","92611","77","0","2010","A","","Geauga County, Ohio","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",1.18,0.47,0.28,0.00,0.00,0.59,0.59,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","1","926110","78","0","2010","A","","Geauga County, Ohio","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,345231,0,0,325,16909,"",1.18,0.47,0.28,0.00,0.00,0.59,0.59,"",0,0.0,15,300.0,239534,226.6,0,0.0,0,0.0,-50,-13.3,-2604,-13.3
"39055","2","10","71","0","2010","A","","Geauga County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,245,11708770,0,0,918,47726,"",0.54,0.21,0.27,0.00,0.00,1.24,1.24,"",0,0.0,22,9.9,889510,8.2,0,0.0,0,0.0,-16,-1.7,-863,-1.8
"39055","2","102","72","0","2010","A","","Geauga County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,245,11708770,0,0,918,47726,"",0.56,0.22,0.27,0.00,0.00,1.24,1.24,"",0,0.0,22,9.9,889510,8.2,0,0.0,0,0.0,-16,-1.7,-863,-1.8
"39055","2","1025","73","0","2010","A","N","Geauga County, Ohio","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39055","2","1028","73","0","2010","A","N","Geauga County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"39055","2","61","74","0","2010","A","N","Geauga County, Ohio","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
