"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39069","0","10","70","0","2010","A","","Henry County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",678,10874,377581586,74014162,3712311,668,34724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-2.4,224,2.1,15441013,4.3,718193,1.0,347420,10.3,14,2.1,720,2.1
"39069","1","10","71","0","2010","A","","Henry County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,83,3432588,0,0,795,41356,"",3.17,0.33,0.26,0.00,0.00,0.80,0.80,"",0,0.0,5,6.4,261422,8.2,0,0.0,0,0.0,13,1.7,700,1.7
"39069","1","102","72","0","2010","A","","Henry County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,83,3432588,0,0,795,41356,"",3.17,0.33,0.27,0.00,0.00,0.81,0.81,"",0,0.0,5,6.4,261422,8.2,0,0.0,0,0.0,13,1.7,700,1.7
"39069","1","1021","73","0","2010","A","","Henry County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.21,0.99,0.98,0.00,0.00,0.99,0.99,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","1028","73","0","2010","A","","Henry County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,21,899595,0,0,834,43354,"",2.69,0.15,0.11,0.00,0.00,0.77,0.77,"",0,0.0,6,40.0,172285,23.7,0,0.0,0,0.0,-83,-9.1,-4338,-9.1
"39069","1","48-49","74","0","2010","A","","Henry County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.34,1.09,1.05,0.00,0.00,0.96,0.96,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","491","75","0","2010","A","","Henry County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.37,1.11,1.09,0.00,0.00,0.98,0.98,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","4911","76","0","2010","A","","Henry County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.37,1.11,1.09,0.00,0.00,0.98,0.98,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","49111","77","0","2010","A","","Henry County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.37,1.11,1.09,0.00,0.00,0.98,0.98,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","491110","78","0","2010","A","","Henry County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,62,2532993,0,0,783,40691,"",4.37,1.11,1.09,0.00,0.00,0.98,0.98,"",0,0.0,-1,-1.6,89137,3.6,0,0.0,0,0.0,34,4.5,1745,4.5
"39069","1","92","74","0","2010","A","","Henry County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,21,899595,0,0,834,43354,"",2.69,0.15,0.11,0.00,0.00,0.77,0.77,"",0,0.0,6,40.0,172285,23.7,0,0.0,0,0.0,-83,-9.1,-4338,-9.1
"39069","1","924","75","0","2010","A","","Henry County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2,167699,0,0,1612,83850,"",4.04,0.21,0.33,0.00,0.00,1.57,1.58,"",0,0.0,0,0.0,3937,2.4,0,0.0,0,0.0,37,2.3,1969,2.4
"39069","1","9241","76","0","2010","A","","Henry County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,2,167699,0,0,1612,83850,"",4.04,0.21,0.33,0.00,0.00,1.57,1.58,"",0,0.0,0,0.0,3937,2.4,0,0.0,0,0.0,37,2.3,1969,2.4
"39069","1","92412","77","0","2010","A","","Henry County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,167699,0,0,1612,83850,"",4.18,0.25,0.43,0.00,0.00,1.73,1.74,"",0,0.0,0,0.0,3937,2.4,0,0.0,0,0.0,37,2.3,1969,2.4
