"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41047","0","10","70","0","2010","A","","Marion County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9091,132520,4860502532,1941764362,52382833,705,36678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,0.2,-1406,-1.0,-19007136,-0.4,-13691640,-0.7,15300679,41.3,4,0.6,244,0.7
"41047","1","10","71","0","2010","A","","Marion County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,1714,94362251,0,0,1059,55054,"",0.97,0.55,0.56,0.00,0.00,1.01,1.01,"",1,1.5,212,14.1,8430190,9.8,0,0.0,0,0.0,-42,-3.8,-2174,-3.8
"41047","1","101","72","0","2010","A","","Marion County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",16.22,1.53,1.36,0.00,0.00,0.89,0.89,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","1011","73","0","2010","A","","Marion County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",23.84,18.95,22.55,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","102","72","0","2010","A","","Marion County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,1642,90511445,0,0,1060,55123,"",0.95,0.54,0.55,0.00,0.00,1.02,1.02,"",1,1.6,220,15.5,8622899,10.5,0,0.0,0,0.0,-48,-4.3,-2484,-4.3
"41047","1","1021","73","0","2010","A","","Marion County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,608,36154864,0,0,1144,59465,"",0.94,0.80,1.09,0.00,0.00,1.37,1.37,"",0,0.0,-36,-5.6,159058,0.4,0,0.0,0,0.0,68,6.3,3535,6.3
"41047","1","1023","73","0","2010","A","","Marion County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,55378,0,0,2556,132907,"",2.24,0.00,0.05,0.00,0.00,1.82,1.82,"",0,0.0,-1,-100.0,-61499,-52.6,0,0.0,0,0.0,308,13.7,16030,13.7
"41047","1","1025","73","0","2010","A","","Marion County, Oregon","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,135,8113971,0,0,1154,60029,"",1.58,0.37,0.41,0.00,0.00,1.11,1.11,"",1,100.0,38,39.2,3154330,63.6,0,0.0,0,0.0,166,16.8,8678,16.9
"41047","1","1028","73","0","2010","A","","Marion County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",31,898,46187232,0,0,989,51410,"",1.04,0.51,0.45,0.00,0.00,0.87,0.87,"",1,3.3,218,32.1,5371010,13.2,0,0.0,0,0.0,-165,-14.3,-8584,-14.3
"41047","1","11","74","0","2010","A","","Marion County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",23.84,18.95,22.55,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","113","75","0","2010","A","","Marion County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",26.03,19.13,22.69,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","1131","76","0","2010","A","","Marion County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",26.03,19.13,22.69,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","11311","77","0","2010","A","","Marion County, Oregon","Federal Government","Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",26.03,19.13,22.69,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","113110","78","0","2010","A","","Marion County, Oregon","Federal Government","Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,72,3850806,0,0,1029,53483,"",26.03,19.13,22.69,0.00,0.00,1.19,1.19,"",0,0.0,-8,-10.0,-192709,-4.8,0,0.0,0,0.0,58,6.0,2992,5.9
"41047","1","22","74","0","2010","A","","Marion County, Oregon","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",3,46,4382531,0,0,1846,95968,"",20.05,3.28,4.43,0.00,0.00,1.36,1.36,"",0,0.0,5,12.2,663574,17.8,0,0.0,0,0.0,105,6.0,5446,6.0
"41047","1","221","75","0","2010","A","","Marion County, Oregon","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,46,4382531,0,0,1846,95968,"",20.05,3.28,4.43,0.00,0.00,1.36,1.36,"",0,0.0,5,12.2,663574,17.8,0,0.0,0,0.0,105,6.0,5446,6.0
"41047","1","2211","76","0","2010","A","","Marion County, Oregon","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,46,4382531,0,0,1846,95968,"",21.35,3.47,4.62,0.00,0.00,1.34,1.34,"",0,0.0,5,12.2,663574,17.8,0,0.0,0,0.0,105,6.0,5446,6.0
"41047","1","22111","77","0","2010","A","","Marion County, Oregon","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,46,4382531,0,0,1846,95968,"",38.05,4.42,5.93,0.00,0.00,1.35,1.35,"",0,0.0,5,12.2,663574,17.8,0,0.0,0,0.0,105,6.0,5446,6.0
