"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41067","0","10","70","0","2010","A","","Washington County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",15584,234706,12674698579,5365831513,144145577,1039,54002,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,0.4,2836,1.2,763745713,6.4,183973397,3.6,48455530,50.6,51,5.2,2633,5.1
"41067","1","10","71","0","2010","A","","Washington County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,993,55400238,0,0,1073,55795,"",0.40,0.18,0.13,0.00,0.00,0.70,0.70,"",1,2.2,137,16.0,5748090,11.6,0,0.0,0,0.0,-42,-3.8,-2210,-3.8
"41067","1","101","72","0","2010","A","","Washington County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,5,297322,0,0,1271,66072,"",4.73,0.06,0.04,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,21474,7.8,0,0.0,0,0.0,92,7.8,4772,7.8
"41067","1","1011","73","0","2010","A","","Washington County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",1,5,297322,0,0,1271,66072,"",6.95,0.74,0.67,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,21474,7.8,0,0.0,0,0.0,92,7.8,4772,7.8
"41067","1","102","72","0","2010","A","","Washington County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,988,55102916,0,0,1072,55749,"",0.40,0.18,0.13,0.00,0.00,0.70,0.70,"",1,2.2,136,16.0,5726616,11.6,0,0.0,0,0.0,-43,-3.9,-2238,-3.9
"41067","1","1021","73","0","2010","A","","Washington County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,535,30042651,0,0,1080,56154,"",0.29,0.40,0.35,0.00,0.00,0.88,0.88,"",0,0.0,-41,-7.1,-611679,-2.0,0,0.0,0,0.0,57,5.6,2965,5.6
"41067","1","1023","73","0","2010","A","","Washington County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,112373,0,0,2161,112373,"",0.65,0.03,0.04,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,1792,1.6,0,0.0,0,0.0,34,1.6,1792,1.6
"41067","1","1025","73","0","2010","A","","Washington County, Oregon","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,55,3783407,0,0,1331,69209,"",0.46,0.09,0.07,0.00,0.00,0.87,0.87,"",1,100.0,43,358.3,3016765,393.5,0,0.0,0,0.0,49,3.8,2544,3.8
"41067","1","1026","73","0","2010","A","","Washington County, Oregon","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,42906,0,0,1650,85812,"",0.34,0.01,0.01,0.00,0.00,1.92,1.92,"",0,0.0,0,0.0,-36216,-45.8,0,0.0,0,0.0,128,8.4,6690,8.5
"41067","1","1028","73","0","2010","A","","Washington County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,397,21121579,0,0,1022,53169,"",0.53,0.13,0.08,0.00,0.00,0.61,0.61,"",0,0.0,135,51.5,3355954,18.9,0,0.0,0,0.0,-284,-21.7,-14725,-21.7
"41067","1","11","74","0","2010","A","","Washington County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,297322,0,0,1271,66072,"",6.95,0.74,0.67,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,21474,7.8,0,0.0,0,0.0,92,7.8,4772,7.8
