"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42017","0","10","70","0","2010","A","","Bucks County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",19361,248619,11209688423,1854281011,103155270,867,45088,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-205,-1.0,-883,-0.4,48107863,0.4,3243743,0.2,16715605,19.3,7,0.8,353,0.8
"42017","1","10","71","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,1328,75322524,0,0,1091,56726,"",0.49,0.23,0.19,0.00,0.00,0.85,0.85,"",3,4.4,100,8.1,3028618,4.2,0,0.0,0,0.0,-41,-3.6,-2125,-3.6
"42017","1","102","72","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",71,1328,75322524,0,0,1091,56726,"",0.49,0.23,0.20,0.00,0.00,0.85,0.85,"",3,4.4,100,8.1,3028618,4.2,0,0.0,0,0.0,-41,-3.6,-2125,-3.6
"42017","1","1021","73","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.81,0.71,0.79,0.00,0.00,1.11,1.11,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","1022","73","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",3.81,0.41,0.55,0.00,0.00,1.34,1.34,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
"42017","1","1027","73","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,882947,0,0,1120,58216,"",2.21,0.94,1.00,0.00,0.00,1.04,1.04,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"42017","1","1028","73","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,284,13431582,0,0,908,47225,"",0.22,0.09,0.06,0.00,0.00,0.65,0.65,"",2,16.7,131,85.6,3126475,30.3,0,0.0,0,0.0,-390,-30.0,-20276,-30.0
"42017","1","48-49","74","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.84,0.78,0.85,0.00,0.00,1.08,1.08,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","491","75","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.84,0.80,0.88,0.00,0.00,1.10,1.10,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","4911","76","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.84,0.80,0.88,0.00,0.00,1.10,1.10,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","49111","77","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.84,0.80,0.88,0.00,0.00,1.10,1.10,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","491110","78","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",55,1022,60468755,0,0,1138,59157,"",0.84,0.80,0.88,0.00,0.00,1.10,1.10,"",0,0.0,-47,-4.4,-921146,-1.5,0,0.0,0,0.0,33,3.0,1716,3.0
"42017","1","51","74","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",3.81,0.41,0.55,0.00,0.00,1.34,1.34,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
"42017","1","511","75","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Publishing industries, except internet","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",58.06,19.77,25.50,0.00,0.00,1.27,1.27,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
"42017","1","5111","76","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Newspaper, book, and directory publishers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",58.06,19.77,25.50,0.00,0.00,1.27,1.27,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
"42017","1","51113","77","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Book publishers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",66.36,44.07,61.58,0.00,0.00,1.39,1.38,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
"42017","1","511130","78","0","2010","A","","Bucks County, Pennsylvania","Federal Government","Book publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,539240,0,0,1705,88642,"",66.36,44.07,61.58,0.00,0.00,1.39,1.38,"",0,0.0,-1,-14.3,-59658,-10.0,0,0.0,0,0.0,60,3.6,3085,3.6
