"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42113","0","10","70","0","2010","A","N","Sullivan County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",204,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,"N",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"42113","1","10","71","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,29,840166,0,0,551,28642,"N",6.58,0,0,0,0,0,0,"",0,0.0,3,11.5,-8630,-1.0,0,0.0,0,0.0,-67,-10.8,-3489,-10.9
"42113","1","102","72","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,29,840166,0,0,551,28642,"N",6.59,0,0,0,0,0,0,"",0,0.0,3,11.5,-8630,-1.0,0,0.0,0,0.0,-67,-10.8,-3489,-10.9
"42113","1","1021","73","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",12.60,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
"42113","1","1028","73","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,98439,0,0,316,16407,"N",1.49,0,0,0,0,0,0,"",0,0.0,5,500.0,83368,553.2,0,0.0,0,0.0,48,17.9,2495,17.9
"42113","1","48-49","74","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",12.97,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
"42113","1","491","75","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",13.07,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
"42113","1","4911","76","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",13.07,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
"42113","1","49111","77","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",13.07,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
"42113","1","491110","78","0","2010","A","","Sullivan County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,23,741727,0,0,611,31788,"N",13.07,0,0,0,0,0,0,"",0,0.0,-2,-8.0,-91998,-11.0,0,0.0,0,0.0,-22,-3.5,-1122,-3.4
