"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"44007","0","10","70","0","2010","A","","Providence County, Rhode Island","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",17492,266020,12345617607,3362512564,123090461,892,46409,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-258,-1.5,-759,-0.3,277857803,2.3,96533771,3.0,13701211,12.5,22,2.5,1174,2.6
"44007","1","10","71","0","2010","A","","Providence County, Rhode Island","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",95,4468,295184001,0,0,1271,66074,"",0.73,0.72,0.69,0.00,0.00,0.96,0.96,"",0,0.0,160,3.7,21595673,7.9,0,0.0,0,0.0,50,4.1,2573,4.1
"44007","1","102","72","0","2010","A","","Providence County, Rhode Island","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",95,4468,295184001,0,0,1271,66074,"",0.73,0.73,0.70,0.00,0.00,0.96,0.96,"",0,0.0,160,3.7,21595673,7.9,0,0.0,0,0.0,50,4.1,2573,4.1
"44007","1","1021","73","0","2010","A","","Providence County, Rhode Island","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1948,118876844,0,0,1173,61012,"",0.75,1.27,1.41,0.00,0.00,1.11,1.11,"",0,0.0,-136,-6.5,-2288202,-1.9,0,0.0,0,0.0,55,4.9,2867,4.9
"44007","1","1023","73","0","2010","A","","Providence County, Rhode Island","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,230103,0,0,2213,115052,"",0.58,0.06,0.07,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,25926,12.7,0,0.0,0,0.0,250,12.7,12963,12.7
"44007","1","1025","73","0","2010","A","","Providence County, Rhode Island","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1239,92257158,0,0,1432,74471,"",0.41,1.70,1.85,0.00,0.00,1.09,1.08,"",0,0.0,31,2.6,15039909,19.5,0,0.0,0,0.0,203,16.5,10554,16.5
"44007","1","1026","73","0","2010","A","","Providence County, Rhode Island","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,21,1022055,0,0,940,48863,"",0.60,0.17,0.21,0.00,0.00,1.27,1.27,"",0,0.0,-1,-4.5,-157760,-13.4,0,0.0,0,0.0,-99,-9.5,-5174,-9.6
"44007","1","1028","73","0","2010","A","","Providence County, Rhode Island","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",45,1257,82797841,0,0,1266,65852,"",0.78,0.36,0.32,0.00,0.00,0.88,0.88,"",-1,-2.2,264,26.6,8975800,12.2,0,0.0,0,0.0,-164,-11.5,-8515,-11.4
"44007","1","48-49","74","0","2010","A","","Providence County, Rhode Island","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",46,1948,118876844,0,0,1173,61012,"",0.77,1.40,1.51,0.00,0.00,1.08,1.08,"",0,0.0,-136,-6.5,-2288202,-1.9,0,0.0,0,0.0,55,4.9,2867,4.9
"44007","1","491","75","0","2010","A","","Providence County, Rhode Island","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",46,1948,118876844,0,0,1173,61012,"",0.78,1.43,1.57,0.00,0.00,1.10,1.10,"",0,0.0,-136,-6.5,-2288202,-1.9,0,0.0,0,0.0,55,4.9,2867,4.9
"44007","1","4911","76","0","2010","A","","Providence County, Rhode Island","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",46,1948,118876844,0,0,1173,61012,"",0.78,1.43,1.57,0.00,0.00,1.10,1.10,"",0,0.0,-136,-6.5,-2288202,-1.9,0,0.0,0,0.0,55,4.9,2867,4.9
"44007","1","49111","77","0","2010","A","","Providence County, Rhode Island","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",46,1948,118876844,0,0,1173,61012,"",0.78,1.43,1.57,0.00,0.00,1.10,1.10,"",0,0.0,-136,-6.5,-2288202,-1.9,0,0.0,0,0.0,55,4.9,2867,4.9
